keyword,search_volume,competition,difficulty,intent,category,notes
accountant for solicitors fees,140,medium,32,informational,Pricing,Fee inquiry for solicitor accounting services
solicitors tax planning,450,medium,42,transactional,Tax Services,Tax planning services for solicitors
nottingham accountant for solicitors,105,low,25,transactional,Location-Based,Nottingham local market opportunity
accountant for solicitors bristol,105,low,25,transactional,Location-Based,Bristol local market opportunity
accountant for solicitors services,160,medium,30,transactional,General Services,Service offering for solicitor accounting
solicitors financial planning,350,medium,40,transactional,Financial Planning,Financial planning for solicitor practices
sheffield accountant for solicitors,105,low,25,transactional,Location-Based,Sheffield local market opportunity
bristol accountant for solicitors,105,low,25,transactional,Location-Based,Bristol local market opportunity
accountant for solicitors near me,140,low,25,transactional,Location-Based,Local proximity search query
solicitors vat registration,280,medium,38,transactional,VAT Services,VAT registration service for solicitors
for vat registration,650,medium,48,transactional,VAT Services,Generic VAT registration service
solicitors payroll services,320,medium,40,transactional,Payroll Services,Payroll services for solicitor practices
for bookkeeping,800,high,55,transactional,Bookkeeping,Generic bookkeeping service search
accountant accountant birmingham,220,medium,35,transactional,Location-Based,Birmingham accountant search query
accountant for solicitors help,160,low,30,informational,General Services,Help-seeking query for solicitor accounting
accountant for solicitors liverpool,105,low,25,transactional,Location-Based,Liverpool local market opportunity
what does a accountant for solicitors do,90,low,18,informational,General Services,Role explanation query
leeds accountant for solicitors,105,low,25,transactional,Location-Based,Leeds local market opportunity
accountant for solicitors leeds,105,low,25,transactional,Location-Based,Leeds local market opportunity
accountant for solicitors manchester,105,low,25,transactional,Location-Based,Manchester local market opportunity
accountant accounting services,480,high,45,transactional,General Services,Generic accounting services search
best accountant for solicitors manchester,70,low,20,transactional,Location-Based,Manchester quality-focused search
solicitors tax advice,380,medium,40,transactional,Tax Services,Tax advice for solicitor practices
london accountant for solicitors,105,medium,30,transactional,Location-Based,London local market opportunity
accountant tax accountant london,280,medium,35,transactional,Location-Based,London tax accountant search
accountant for solicitors newcastle,105,low,25,transactional,Location-Based,Newcastle local market opportunity
cardiff accountant for solicitors,105,low,25,transactional,Location-Based,Cardiff local market opportunity
specialist accountant for solicitors,180,medium,32,transactional,Specialist Services,Specialist service positioning
accountant for solicitors,800,high,58,transactional,General Services,Main target keyword
accountant tax accountant birmingham,210,medium,35,transactional,Location-Based,Birmingham tax accountant search
accountant self assessment,520,medium,45,transactional,Tax Services,Self assessment service search
accountant tax accountant manchester,210,medium,35,transactional,Location-Based,Manchester tax accountant search
how much does a accountant for solicitors cost,80,low,18,informational,Pricing,Cost inquiry query
do accountants give free advice,90,low,20,informational,General Services,Free consultation inquiry
solicitors self assessment,350,medium,38,transactional,Tax Services,Self assessment for solicitors
accountant for solicitors bradford,105,low,25,transactional,Location-Based,Bradford local market opportunity
