Keyword,Difficulty,"Search vol.","Search intent","SERP features",CPC,Competition
"marketing agency accountants",21,0,"L, C","Local pack, Reviews, Video",0,0
"accountants for marketing agencies",2,210,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",3.23,0.18
"accountant for marketing agency",4,210,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches",3.23,0.18
"accountants for marketing agency",10,210,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",3.23,0.18
"account based marketing agency",10,140,I,"Reviews, Video, Related searches",14.9,0.1
"accounting software for marketing agencies",12,90,I,"Reviews, Video, AI Overview, Related searches",0,0.08
"accounting for marketing agencies",0,50,,,0,0.16
"b2b account based marketing agency",10,50,I,"Reviews, Video, Related searches",0,0.08
"account based marketing agency uk",10,40,I,"Reviews, Related searches",0,0.06
"account manager marketing agency",10,20,"L, C","Local pack, Reviews, Video, People also ask, Related searches",0.74,0.18
"account based marketing agency services",9,20,I,"Reviews, Video, AI Overview, Related searches",0,0
"top account based marketing agency",6,20,I,"Reviews, Video, Top Ads, Bottom Ads, AI Overview, Related searches, Sites",0,0
"marketing agency account manager",7,20,I,"Reviews, Video, People also ask, Related searches",0.74,0.18
"marketing agency for accountants",17,20,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",4.02,0.44
"top account based marketing marketing agency",5,20,I,"Reviews, Video, Top Ads, AI Overview, Related searches",0,0
"account manager for marketing agency",0,10,,,0,0
"account director marketing agency",0,10,,,0,0
"marketing agency account executive job description",0,10,,,0,0
"accounting marketing agency",20,10,"L, C","Local pack, Reviews, Video, Related searches",3.23,0.8
"digital marketing agency for accountants",0,10,,,0,0.08
"marketing agency accountant",20,10,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches",0,0
"marketing agency instagram accounts",10,10,I,"Reviews, People also ask, Related searches, Image",0,0
"accounting for digital marketing agency",0,10,,,0,0.14
"marketing agency account manager salary",0,10,,,0,0
"account manager marketing agency job description",0,10,,,0,0
"account manager marketing agency salary",0,10,,,0,0
"accountant digital marketing agency",16,10,I,"Related searches",0,0
"accounting firm marketing agency",22,10,I,"Reviews, Top Ads, Related searches",0,0
"accountant marketing agency",21,10,I,"Reviews, Related searches, Image",3.23,0.8
"account executive marketing agency",0,10,,,5.38,0
"marketing agency account manager job description",0,10,,,0,0
"best marketing agency instagram accounts",22,10,I,"Reviews, Images, Related searches, Image, positions.title.discussions_and_forums",0,0.71
"accountant internet marketing agency",16,0,"L, C","Local pack, Reviews, Related searches, Image",0,0
"marketing agency account management",0,0,,,0,0
"accountancy services for marketing agency",9,0,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",0,0
"account executive job description marketing agency",0,0,,,0,0
"accountancy web marketing agency",12,0,I,"Reviews, Related searches",0,0
"accountant social media marketing agency",16,0,"L, C","Local pack, Reviews, Video, Related searches",0,0
"marketing agency account planner",0,0,,,0,0
"accountant online marketing agency",16,0,I,"Reviews, People also ask, Related searches, Image",0,0
"accountancy social media marketing agency",11,0,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",0,0
"account manager marketing agency london",0,0,,,0,0
"accounting solutions for design and marketing agencies",3,0,I,"Related searches, Sites",0,0
"accounting for digital marketing agencies",1,0,I,"People also ask",0,0
"accounting services for marketing agency",10,0,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",0,0
"accountant for for marketing agency",3,0,I,"Reviews, People also ask, Related searches, Image",0,0
"account manager marketing agency jobs",0,0,,,0,0
"digital marketing agency account executive",0,0,,,0,0
"accountancy firm marketing agency",22,0,"L, C","Local pack, Reviews, People also ask, Related searches",0,0
"account manager salary marketing agency",0,0,,,0,0
"accountants marketing agencies",21,0,"L, C","Local pack, Reviews, Images, AI Overview, Related searches",0,0
"accountancy digital marketing agency",16,0,I,"Reviews, People also ask, Related searches",0,0
"abm account based marketing account based marketing agency abm agency",0,0,,,0,0
"account manager at marketing agency salary",0,0,,,0,0
"marketing agencies accounting",16,0,"L, C","Local pack, Reviews, People also ask, Related searches, Image",0,0
"accountant web marketing agency",22,0,I,"Reviews, Related searches, Image",0,0
"accountancy internet marketing agency",16,0,I,"Reviews, People also ask, Related searches, Image",0,0
"accountancy recruitment agencies london marketing",0,0,,,0,0
"marketing agency account manager jobs",0,0,,,0,0
"marketing agency account director job description",0,0,,,0,0
"account executive marketing agency jobs",0,0,,,0,0
"account management marketing agency",0,0,,,0,0
"vaughan account based marketing agency",0,0,,,0,0
"senior account manager marketing agency",0,0,,,0,0
"marketing agencies for accountants",22,0,"L, C","Local pack, Reviews, Related searches",0,0
"accountancy online marketing agency",16,0,I,"Reviews, People also ask, Related searches, Image",0,0
"marketing agency account service",0,0,,,0,0
"accountancy marketing agency",20,0,"L, C","Local pack, Reviews, People also ask, Top Ads, Related searches",0,0
