month,68100,68201,68209,68320,union
2015-09,708,13,1207,435,2059
2015-10,805,29,1262,456,2240
2015-11,819,37,1342,444,2296
2015-12,752,49,1267,431,2137
2016-01,817,49,1466,462,2384
2016-02,1062,54,1895,589,3093
2016-03,1141,44,1890,541,3147
2016-04,923,39,1464,545,2547
2016-05,893,32,1504,455,2471
2016-06,884,45,1376,530,2413
2016-07,993,49,1334,426,2323
2016-08,1152,76,1595,571,2744
2016-09,1260,43,1678,525,2853
2016-10,1327,51,1850,612,3051
2016-11,1449,74,2042,675,3340
2016-12,1143,53,1639,503,2674
2017-01,1448,54,2037,659,3253
2017-02,1728,61,2325,693,3790
2017-03,2085,105,2919,951,4595
2017-04,1425,80,2034,641,3222
2017-05,1802,80,2384,757,3853
2017-06,1699,74,2299,686,3667
2017-07,1617,102,2101,710,3402
2017-08,1628,102,2163,675,3446
2017-09,1594,104,2140,755,3452
2017-10,1878,121,2457,862,3930
2017-11,1954,107,2470,851,3989
2017-12,1335,74,1685,604,2823
2018-01,1747,111,2292,823,3686
2018-02,2001,139,2611,869,4150
2018-03,1917,153,2595,931,4103
2018-04,1851,133,2476,826,3844
2018-05,1877,169,2548,814,3947
2018-06,1694,115,2410,786,3772
2018-07,1755,143,2443,725,3729
2018-08,1812,172,2494,817,3856
2018-09,1727,157,2393,771,3704
2018-10,2117,197,2736,919,4319
2018-11,2140,180,2816,926,4409
2018-12,1395,95,1922,651,2946
2019-01,1978,168,2724,920,4161
2019-02,2154,198,3011,992,4545
2019-03,2328,197,3389,1049,5071
2019-04,2060,191,3012,964,4444
2019-05,2230,205,3167,1078,4738
2019-06,1972,171,2820,923,4189
2019-07,2448,213,3458,1048,5148
2019-08,2060,191,2994,1003,4405
2019-09,2093,190,3127,969,4568
2019-10,2353,233,3412,1154,5064
2019-11,2055,170,3126,1033,4562
2019-12,1820,184,2479,817,3743
2020-01,2474,240,3604,1061,5197
2020-02,2793,273,4001,1222,5748
2020-03,2237,236,3117,1051,4632
2020-04,1148,114,1562,533,2432
2020-05,2162,214,2775,897,4158
2020-06,3387,370,4432,1388,6504
2020-07,3844,409,5212,1560,7440
2020-08,3017,327,4395,1258,6143
2020-09,3247,331,4499,1305,6415
2020-10,3102,343,4516,1340,6410
2020-11,3053,303,4119,1254,6025
2020-12,2897,273,3570,1014,5471
2021-01,3025,341,4153,1238,5872
2021-02,3435,364,4780,1391,6768
2021-03,3873,426,5677,1666,7867
2021-04,3186,361,4742,1326,6488
2021-05,3033,295,4357,1231,6096
2021-06,2776,268,3910,1131,5536
2021-07,2561,283,3806,1087,5279
2021-08,2519,285,3624,1051,5081
2021-09,2820,233,4074,1110,5659
2021-10,2837,282,3979,1152,5645
2021-11,2903,294,4227,1177,5904
2021-12,2349,238,3360,947,4731
2022-01,3027,360,4347,1310,6053
2022-02,3291,351,4846,1379,6694
2022-03,3527,375,5288,1507,7304
2022-04,3063,323,4457,1244,6130
2022-05,3307,337,4909,1377,6762
2022-06,3088,339,4683,1269,6413
2022-07,2881,306,4298,1243,5926
2022-08,3014,370,4577,1322,6394
2022-09,2874,347,4369,1246,6054
2022-10,2403,290,3670,1160,5191
2022-11,2443,251,3700,1127,5337
2022-12,1897,237,2794,898,4021
2023-01,2774,333,3957,1270,5721
2023-02,3042,304,4545,1343,6357
2023-03,3682,398,5535,1474,7717
2023-04,2773,327,4104,1248,5770
2023-05,3377,415,4897,1421,6896
2023-06,3085,363,4618,1302,6499
2023-07,2830,303,4094,1212,5855
2023-08,2670,333,3937,1139,5669
2023-09,2997,348,4339,1283,6204
2023-10,3130,363,4659,1348,6505
2023-11,3049,350,4580,1307,6340
2023-12,2499,279,3685,1072,5106
2024-01,3787,442,5455,1633,7614
2024-02,4083,467,5731,1642,8062
2024-03,3814,417,5394,1456,7460
2024-04,4499,507,6219,1720,8713
2024-05,3524,381,5041,1274,6966
2024-06,3509,365,5083,1299,7035
2024-07,3757,408,5250,1432,7335
2024-08,3574,401,5186,1443,7172
2024-09,4087,421,5550,1498,7806
2024-10,4534,488,6350,1713,8727
2024-11,3757,407,5248,1410,7269
2024-12,3017,308,4076,1156,5698
2025-01,4248,447,5644,1566,7925
2025-02,4359,488,5809,1613,8154
2025-03,4503,487,6102,1675,8564
2025-04,4144,437,5672,1551,7915
2025-05,4121,434,5887,1462,8036
2025-06,4247,446,6054,1589,8232
2025-07,4331,429,6011,1597,8304
2025-08,3955,448,5561,1420,7644
2025-09,4650,427,6672,1670,9035
2025-10,4544,436,6409,1645,8777
2025-11,3439,317,4958,1258,6796
2025-12,2907,259,4260,1086,5758
2026-01,4223,388,6027,1492,8223
2026-02,3878,314,5444,1342,7474
2026-03,4130,369,6264,1717,8423
2026-04,3401,294,5132,1420,6936
2026-05,3094,238,4734,1328,6406
2026-06,3291,266,4840,1373,6614
2026-07,3354,299,5195,1470,7003
2026-08,2699,245,4205,1190,5716
