keyword,volume,sources,best_peer_pos,peer_domain,bucket,note
renters rights act 2026,12100,gads|bing-kwstats,1,wikipedia.org,assigned,page 1 (ddg p1-p2 = wikipedia + gov.uk)
renters rights act information sheet,5400,gads|bing-kwstats,1,gov.uk,assigned,page 1 (statutory duty SI 2026/324; document-shaped)
renters rights act summary,260,gads,n/a,n/a,assigned,page 1
renters rights act timeline,170,gads,1,tenancypilot.co.uk,assigned,page 1
when does the renters rights act come into force,110,gads,n/a,n/a,assigned,page 1
renters rights act changes for landlords,10,gads,1,gov.uk,assigned,page 1
renters rights act commencement dates,0,gads-novol,1,tenancypilot.co.uk,assigned,page 1
renters rights act 2026 landlords,0,gads-novol,n/a,n/a,assigned,page 1
assured shorthold tenancy abolished,10,gads,n/a,n/a,assigned,page 1
periodic tenancy,2400,gads,n/a,n/a,already-covered,a-complete-guide-to-periodic-tenancy (armed to 2026-11-16)
renters rights act periodic tenancy,50,gads,1,clickinventories.com,already-covered,existing periodic pair; page 1 section links them
notice period periodic tenancy,110,gads,n/a,n/a,already-covered,existing periodic pair
tenant notice to quit periodic tenancy,20,gads,n/a,n/a,already-covered,existing periodic pair
fixed term tenancy renters rights act,0,gads-novol,n/a,n/a,assigned,page 1
mees regulations,720,gads,1,wrigleys.co.uk,already-covered,mees-regulations-landlords (armed to 2026-11-19); page 2 declines
epc requirements for landlords,720,gads,2,lawhive.co.uk,already-covered,mees-regulations-landlords + energy-performance-certificates-epc
minimum energy efficiency standard,30,gads,n/a,n/a,already-covered,mees-regulations-landlords
epc c 2030 landlords,0,gads-novol,n/a,n/a,assigned,page 2 (myth table; sibling epc-c-2030 linked not edited)
epc rules rental property,0,gads-novol,n/a,n/a,already-covered,mees-regulations-landlords
landlord epc exemptions,0,gads-novol,n/a,n/a,assigned,page 2
mees cost cap,0,gads-novol,n/a,n/a,assigned,page 2
making tax digital landlords,590,gads,n/a,n/a,already-covered,MTD cluster pillar pages; page 3 declines + links
making tax digital rental income,50,gads,n/a,n/a,assigned,page 3 (REFRAME extend)
mtd for landlords 2026,0,gads-novol,n/a,n/a,assigned,page 3
letting agent mtd,0,gads-novol,n/a,n/a,assigned,page 3
mtd quarterly updates landlords,0,gads-novol,n/a,n/a,assigned,page 3
tenancy deposit tax treatment,0,gads-novol,n/a,n/a,assigned,page 4
is a tenancy deposit taxable income,0,gads-novol,n/a,n/a,assigned,page 4
deposit deductions tax landlord,0,gads-novol,n/a,n/a,assigned,page 4
client money protection letting agents,10,gads,n/a,n/a,assigned,page 4 (definitional scope only)
property redress scheme,27100,gads,4,mydeposits.co.uk,already-covered,renters-rights-act-property-redress-scheme page (Bing pos 4-10; armed to 2026-08-22); page 5 declines
private rented sector database,1000,gads,n/a,n/a,assigned,page 5 (REFRAME extend)
landlord ombudsman,480,gads,n/a,n/a,assigned,page 5
landlord database,320,gads,n/a,n/a,assigned,page 5
landlord redress scheme,140,gads,n/a,n/a,assigned,page 5
prs database registration,70,gads,n/a,n/a,assigned,page 5
letting agent resources,0,gads-novol,n/a,n/a,assigned,hub
renters rights act letting agents,0,gads-novol,n/a,n/a,assigned,hub
questions landlords ask letting agents,0,gads-novol,n/a,n/a,assigned,hub
