cluster,volume,peer_winnable,domains,assigned_page,grade,kw_count
inheritance tax farmers,38000,3990,5,NO-PAGE,NO-PAGE,97
business property relief,10110,6140,7,maximising-business-relief-to-reduce-inheritance-tax,REFRAME,42
farming taxation,2810,1090,2,NO-PAGE,NO-PAGE,7
agricultural accounting,2170,260,1,NO-PAGE,NO-PAGE,17
snail farms,1210,70,1,NO-PAGE,NO-PAGE,6
woodland for rent,880,0,1,NO-PAGE,NO-PAGE,6
agricultural tenancies act 1995,610,0,1,NO-PAGE,NO-PAGE,3
farmers budget,590,70,1,NO-PAGE,NO-PAGE,7
woodland mortgages,270,0,1,NO-PAGE,NO-PAGE,3
farmers averaging rules,250,160,1,NO-PAGE,NO-PAGE,3
