keyword,volume,sources,best_peer_pos,peer_domain,bucket,note
farmers inheritance tax,4400,competitor,50,saffery.com,assigned,net-new queued
inheritance tax farmers,4400,competitor,51,saffery.com,assigned,net-new queued
farming inheritance tax,2900,competitor|ideas,35,saffery.com,assigned,net-new queued
farms and inheritance tax,2900,competitor,38,saffery.com,assigned,net-new queued
inheritance tax and farms,2900,competitor,28,saffery.com,assigned,net-new queued
inheritance tax farm,2900,competitor,31,saffery.com,assigned,net-new queued
inheritance tax farmland,2900,competitor,36,saffery.com,assigned,net-new queued
bpr,1900,competitor,4,saffery.com,assigned,
business property relief,1900,competitor,3,saffery.com,assigned,
uk farm inheritance tax,1300,competitor|ideas,27,saffery.com,assigned,net-new queued
uk farming inheritance tax,1300,competitor,40,ukpropertyaccountants.co.uk,assigned,net-new queued
agricultural property relief,1000,competitor,4,saffery.com,assigned,net-new queued
farm tax,1000,competitor|ideas,25,saffery.com,assigned,net-new queued
farm taxes,1000,competitor,36,rossmartin.co.uk,assigned,net-new queued
farming taxation,1000,competitor,10,rossmartin.co.uk,assigned,net-new queued
business relief,720,competitor,16,saffery.com,assigned,
snail farms,720,competitor,15,rossmartin.co.uk,excluded,off-niche
business relief inheritance tax,590,competitor|ideas,17,rossmartin.co.uk,assigned,
farm inheritance tax uk,480,competitor|ideas,33,saffery.com,assigned,net-new queued
tax for farmers,480,competitor,32,saffery.com,assigned,net-new queued
farmer inheritance tax uk,480,competitor,51,ukpropertyaccountants.co.uk,assigned,net-new queued
small business relief,480,competitor,15,taxfix.com,assigned,
taxation of farmers,480,competitor,50,dnsassociates.co.uk,assigned,net-new queued
farmers tax,480,ideas,,,assigned,net-new queued
business property relief inheritance tax,390,competitor,17,rossmartin.co.uk,assigned,
gunfleet sands offshore wind farm,390,competitor,2,saffery.com,excluded,off-niche
gunfleet sands wind farm,390,competitor,2,saffery.com,excluded,off-niche
iht business property relief,390,competitor,4,rossmartin.co.uk,assigned,
saffery farm,390,competitor,9,saffery.com,excluded,brand
wine farming,390,competitor,31,saffery.com,excluded,off-niche
bpr relief,320,competitor,3,saffery.com,assigned,
agricultural accountants,320,competitor,40,om.uk,excluded,conceded-scope
agricultural accounting,320,competitor,77,om.uk,excluded,conceded-scope
farmers inheritance tax uk,320,competitor,43,ukpropertyaccountants.co.uk,assigned,net-new queued
business property relief changes,260,competitor,3,saffery.com,assigned,
business relief iht,260,competitor,22,rossmartin.co.uk,assigned,
rates on agricultural land,260,competitor,11,saffery.com,assigned,net-new queued
what is bpr,260,competitor,4,saffery.com,assigned,
farm inheritance tax changes,260,competitor,44,ukpropertyaccountants.co.uk,assigned,net-new queued
farming inheritance tax changes,260,competitor,44,ukpropertyaccountants.co.uk,assigned,net-new queued
agricultural holdings act 1995,260,competitor,27,landlordzone.co.uk,excluded,conceded-scope
agricultural tenancies act 1995,260,competitor,27,landlordzone.co.uk,excluded,conceded-scope
council farms for rent,260,competitor,86,getground.co.uk,excluded,off-niche
woodland for rent,260,competitor,61,getground.co.uk,excluded,conceded-scope
agricultural relief,210,competitor,5,saffery.com,assigned,net-new queued
agriculture land stamp duty,210,competitor,3,dnsassociates.co.uk,assigned,net-new queued
bpr definition,210,competitor,7,saffery.com,assigned,
bpr meaning,210,competitor,14,saffery.com,assigned,
definition of bpr,210,competitor,11,saffery.com,assigned,
farmer iht,210,competitor,29,saffery.com,assigned,net-new queued
farming iht,210,competitor,31,saffery.com,assigned,net-new queued
farming tax uk,210,competitor,22,saffery.com,assigned,net-new queued
farms iht,210,competitor,32,saffery.com,assigned,net-new queued
how to avoid inheritance tax on farms,210,competitor,10,taxaccountant.co.uk,assigned,net-new queued
stamp duty agricultural land,210,competitor,5,dnsassociates.co.uk,assigned,net-new queued
stamp duty for agricultural land,210,competitor,5,dnsassociates.co.uk,assigned,net-new queued
stamp duty on agricultural land,210,competitor,7,dnsassociates.co.uk,assigned,net-new queued
farm iht,210,competitor,34,rossmartin.co.uk,assigned,net-new queued
farm tax uk,210,competitor,42,ukpropertyaccountants.co.uk,assigned,net-new queued
farmers inheritance tax explained,210,competitor,61,ukpropertyaccountants.co.uk,assigned,net-new queued
agricultural land stamp duty,210,competitor,3,dnsassociates.co.uk,assigned,net-new queued
business relief investments,170,competitor,22,saffery.com,assigned,
farm accountant,170,competitor,20,om.uk,excluded,conceded-scope
farm accountants,170,competitor,7,om.uk,excluded,conceded-scope
farmer accounting,170,competitor,35,om.uk,excluded,conceded-scope
farming accountants,170,competitor,22,om.uk,excluded,conceded-scope
business rates small business relief calculator,170,competitor,50,dnsassociates.co.uk,assigned,net-new queued
agricultural inheritance tax relief,140,competitor,4,saffery.com,assigned,net-new queued
agricultural relief for inheritance tax,140,competitor,15,saffery.com,assigned,net-new queued
agricultural relief inheritance tax,140,competitor|ideas,4,saffery.com,assigned,net-new queued
agricultural relief on inheritance tax,140,competitor,4,saffery.com,assigned,net-new queued
budget farmers,140,competitor,21,saffery.com,excluded,news-cycle
business relief tax,140,competitor,21,rossmartin.co.uk,assigned,
farmers budget,140,competitor,31,saffery.com,excluded,news-cycle
inheritance tax agricultural relief,140,competitor,4,saffery.com,assigned,net-new queued
single farm payment 2025,140,competitor,33,saffery.com,deferred,no consensus cluster / tail
trust farming,140,competitor,21,om.uk,deferred,no consensus cluster / tail
snail farm london,140,competitor,17,rossmartin.co.uk,excluded,off-niche
snail farms london,140,competitor,16,rossmartin.co.uk,excluded,off-niche
tax farming,140,competitor,49,dnsassociates.co.uk,assigned,net-new queued
farmers tax uk,140,ideas,,,assigned,net-new queued
farmers inheritance tax u turn,140,ideas,,,excluded,news-cycle
agricultural inheritance tax,110,competitor,19,saffery.com,assigned,net-new queued
agricultural land capital gains tax,110,competitor,15,protaxaccountant.co.uk,assigned,net-new queued
apr farming,110,competitor,3,saffery.com,assigned,net-new queued
bpr changes,110,competitor,16,saffery.com,assigned,
bpr iht,110,competitor,10,rossmartin.co.uk,assigned,
business property relief examples,110,competitor,7,rossmartin.co.uk,assigned,
business relief changes,110,competitor,20,saffery.com,assigned,
capital gains tax on agricultural land,110,competitor,19,protaxaccountant.co.uk,assigned,net-new queued
capital gains tax on farm land,110,competitor,17,protaxaccountant.co.uk,assigned,net-new queued
cgt on agricultural land,110,competitor,7,protaxaccountant.co.uk,assigned,net-new queued
iht farmers,110,competitor,30,saffery.com,assigned,net-new queued
inheritance tax on farms uk,110,competitor,33,saffery.com,assigned,net-new queued
what is business relief,110,competitor,18,saffery.com,assigned,
farm accounts,110,competitor,52,om.uk,excluded,conceded-scope
farming accounts,110,competitor,67,om.uk,excluded,conceded-scope
keir starmer farmers inheritance tax,110,competitor,9,ukpropertyaccountants.co.uk,excluded,news-cycle
capital gains tax agricultural land,110,competitor,11,protaxaccountant.co.uk,assigned,net-new queued
capital gains tax farm land,110,competitor,13,protaxaccountant.co.uk,assigned,net-new queued
solar farm for sale,110,competitor,91,getground.co.uk,excluded,off-niche
woodland to rent near me,110,competitor,48,getground.co.uk,excluded,off-niche
agricultural relief iht,90,competitor|ideas,4,saffery.com,assigned,net-new queued
apr and bpr,90,competitor,2,saffery.com,assigned,
apr budget,90,competitor,28,saffery.com,assigned,
bpr inheritance tax,90,competitor,5,saffery.com,assigned,
business relief qualifying investments,90,competitor,14,saffery.com,assigned,
farm profits,90,competitor,44,saffery.com,excluded,conceded-scope
farm succession planning,90,competitor,3,saffery.com,excluded,conceded-scope
farmers averaging rules,90,competitor,3,saffery.com,excluded,conceded-scope
inheritance tax bpr,90,competitor,7,rossmartin.co.uk,assigned,
farm bookkeeper,90,competitor,56,om.uk,excluded,conceded-scope
farm bookkeeping,90,competitor,77,om.uk,excluded,conceded-scope
farming bookkeeping,90,competitor,64,om.uk,excluded,conceded-scope
inheritance tax farmers uk,90,competitor,51,ukpropertyaccountants.co.uk,assigned,net-new queued
national insurance small business relief,90,competitor,36,rossmartin.co.uk,deferred,no consensus cluster / tail
student loan apr,90,competitor,21,rossmartin.co.uk,excluded,off-niche
mortgage for woodland,90,competitor,65,protaxaccountant.co.uk,excluded,off-niche
mortgages for woodland,90,competitor,64,protaxaccountant.co.uk,excluded,off-niche
woodland mortgages,90,competitor,64,protaxaccountant.co.uk,excluded,conceded-scope
agricultural tenancy,90,competitor,61,landlordzone.co.uk,excluded,conceded-scope
iht agricultural relief,90,ideas,,,assigned,net-new queued
agricultural flat rate scheme,70,competitor,77,saffery.com,assigned,net-new queued
agricultural land and inheritance tax,70,competitor,10,saffery.com,assigned,net-new queued
agricultural land inheritance tax,70,competitor,19,rossmartin.co.uk,assigned,net-new queued
agricultural property,70,competitor,10,saffery.com,assigned,net-new queued
bpr investments,70,competitor,19,saffery.com,assigned,
budget farm,70,competitor,14,saffery.com,excluded,news-cycle
budget farms,70,competitor,9,saffery.com,excluded,news-cycle
business relief scheme,70,competitor,20,saffery.com,assigned,
changes to agricultural property relief,70,competitor,3,saffery.com,assigned,
farm land inheritance tax,70,competitor,10,saffery.com,assigned,net-new queued
farmers averaging,70,competitor,3,saffery.com,excluded,conceded-scope
farming budget,70,competitor,28,saffery.com,excluded,news-cycle
iht farm,70,competitor,31,saffery.com,assigned,net-new queued
iht farming,70,competitor,28,saffery.com,assigned,net-new queued
iht farmland,70,competitor,12,rossmartin.co.uk,assigned,net-new queued
iht farms,70,competitor,36,saffery.com,assigned,net-new queued
iht on farms,70,competitor,32,saffery.com,assigned,net-new queued
inheritance tax on agricultural land,70,competitor,5,saffery.com,assigned,net-new queued
inheritance tax on farm land,70,competitor,29,saffery.com,assigned,net-new queued
stamp duty on farms,70,competitor,5,dnsassociates.co.uk,assigned,net-new queued
what is agricultural property relief,70,competitor,4,saffery.com,assigned,net-new queued
agricultural planning consultants,70,competitor,104,om.uk,excluded,conceded-scope
windmill farm yeovil,70,competitor,45,om.uk,excluded,off-niche
capital gains tax on agricultural land calculator,70,competitor,8,protaxaccountant.co.uk,assigned,net-new queued
farm inheritance tax calculator,70,competitor,40,ukpropertyaccountants.co.uk,assigned,net-new queued
inheritance tax on farmers,70,competitor,52,ukpropertyaccountants.co.uk,assigned,net-new queued
farmyard funworld,70,competitor,17,rossmartin.co.uk,excluded,off-niche
snail farms uk,70,competitor,7,rossmartin.co.uk,excluded,off-niche
uk snail farming,70,competitor,14,rossmartin.co.uk,excluded,off-niche
uk snail farms,70,competitor,13,rossmartin.co.uk,excluded,off-niche
bpr properties,70,competitor,17,landlordzone.co.uk,deferred,no consensus cluster / tail
cheap council farms to rent near me,70,competitor,77,getground.co.uk,excluded,off-niche
farm barns to rent near me,70,competitor,61,getground.co.uk,excluded,off-niche
accountants for agriculture,50,competitor,56,om.uk,excluded,conceded-scope
agriculture accountant near me,50,competitor,16,om.uk,excluded,conceded-scope
are farmers rich uk,50,competitor,39,saffery.com,excluded,off-niche
bpr tax,50,competitor,4,saffery.com,assigned,
budget agriculture,50,competitor,31,saffery.com,excluded,news-cycle
budget for agriculture,50,competitor,36,saffery.com,excluded,news-cycle
business property relief on shares,50,competitor,3,saffery.com,assigned,
business property relief pitfalls,50,competitor,2,rossmartin.co.uk,assigned,
business property relief shares,50,competitor,3,saffery.com,assigned,
changes to business property relief,50,competitor,2,saffery.com,assigned,
inheritance tax business property relief,50,competitor|ideas,19,saffery.com,assigned,
inheritance tax for farmers uk,50,competitor,29,saffery.com,assigned,net-new queued
is there stamp duty on agricultural land,50,competitor,4,dnsassociates.co.uk,assigned,net-new queued
lockerley hall farms,50,competitor,11,saffery.com,excluded,off-niche
what qualifies for business property relief,50,competitor,2,saffery.com,assigned,
agricultural accountant near me,50,competitor,15,om.uk,excluded,conceded-scope
agricultural accountants near me,50,competitor,15,om.uk,excluded,conceded-scope
do farmers pay tax,50,competitor,36,dnsassociates.co.uk,assigned,net-new queued
do farmers pay taxes,50,competitor,34,dnsassociates.co.uk,assigned,net-new queued
business relief fund,40,competitor,28,saffery.com,assigned,
business relief funds,40,competitor,16,saffery.com,assigned,
what is bpr relief,40,competitor,5,saffery.com,assigned,
woodland relief,40,competitor,4,saffery.com,deferred,no consensus cluster / tail
labour farm inheritance tax,40,ideas,,,excluded,news-cycle
uk farmers inheritance tax,40,ideas,,,assigned,net-new queued
agricultural property relief inheritance tax,30,ideas,,,assigned,net-new queued
agricultural property relief iht,30,ideas,,,assigned,net-new queued
iht agricultural property relief,30,ideas,,,assigned,net-new queued
agricultural and business property relief,20,ideas,,,assigned,
labour inheritance tax farmers,10,ideas,,,excluded,news-cycle
labour farmers inheritance tax,10,ideas,,,excluded,news-cycle
inheritance tax for farmers explained,10,ideas,,,assigned,net-new queued
inheritance tax on farmers uk,10,ideas,,,assigned,net-new queued
inheritance tax farmers protest,10,ideas,,,excluded,news-cycle
"""5 year clock"" ""business relief"" investment",0,gsc,,,already-covered,own impressions
"""bpr"" ""boundary property revenue""",0,gsc,,,already-covered,own impressions
a smallholding,0,gsc,,,already-covered,own impressions
agricultural land,0,gsc,,,assigned,net-new queued + own impressions
agricultural land rent,0,gsc,,,assigned,net-new queued + own impressions
agriculture,0,gsc,,,assigned,net-new queued + own impressions
business property loan apr,0,gsc,,,assigned,cluster + own impressions
can i get a bridging loan to pay inheritance tax,0,gsc,,,already-covered,own impressions
changes to iht april 2027,0,gsc,,,assigned,net-new queued + own impressions
grazing licences in agricultural property relief qualification,0,gsc,,,already-covered,own impressions
how long after paying inheritance tax will probate be granted,0,gsc,,,excluded,conceded-scope
how long does hmrc take to process inheritance tax,0,gsc,,,already-covered,own impressions
how to qualify for agricultural property relief: essential criteria and tips,0,gsc,,,assigned,net-new queued + own impressions
if i sell my agricultural land taxable,0,gsc,,,already-covered,own impressions
iht test,0,gsc,,,already-covered,own impressions
ihtm14333,0,gsc,,,already-covered,own impressions
impact of tenancy agreements on agricultural property relief eligibility,0,gsc,,,excluded,conceded-scope
inheritance tax calculations for chargeable lifetime transfers,0,gsc,,,already-covered,own impressions
inheritance tax for unmarried couples,0,gsc,,,assigned,net-new queued + own impressions
inheritance tax if not married,0,gsc,,,already-covered,own impressions
inheritance tax mitigation strategies for landlords,0,gsc,,,already-covered,own impressions
inheritance tax not married,0,gsc,,,already-covered,own impressions
inheritance tax on buy to let,0,gsc,,,assigned,net-new queued + own impressions
inheritance tax on rental property,0,gsc,,,assigned,net-new queued + own impressions
inheritance tax on second home,0,gsc,,,assigned,net-new queued + own impressions
inheritance tax planning for landlords,0,gsc,,,assigned,net-new queued + own impressions
inheritance tax unmarried,0,gsc,,,assigned,net-new queued + own impressions
inheritance tax unmarried couples,0,gsc,,,already-covered,own impressions
joint tenants inheritance tax,0,gsc,,,already-covered,own impressions
s142 ihta,0,gsc,,,already-covered,own impressions
schedule a1 ihta,0,gsc,,,already-covered,own impressions
section 142 inheritance tax act 1984,0,gsc,,,already-covered,own impressions
settlor interested trust iht,0,gsc,,,already-covered,own impressions
tenancy agreements and agricultural property relief eligibility,0,gsc,,,excluded,conceded-scope
uk capital gains tax residential property rates 18% 24% april 2024 2025 2026,0,gsc,,,already-covered,own impressions
uk inheritance tax on landlords,0,gsc,,,assigned,net-new queued + own impressions
unmarried couples inheritance tax,0,gsc,,,already-covered,own impressions
ihta1984,0,bing,,,already-covered,own impressions
ihtm25000,0,bing,,,already-covered,own impressions
ihta 1984 apr relief percentage,0,bing,,,already-covered,own impressions
bpr april 2026,0,bing,,,already-covered,own impressions
bpr allwaonce 2026/2027,0,bing,,,already-covered,own impressions
apr bpr changes april 2026,0,bing,,,assigned,cluster + own impressions
"bpr eligible, not gwvis",0,bing,,,already-covered,own impressions
s124d ihta 1984,0,bing,,,already-covered,own impressions
when are bpr invalid? trading,0,bing,,,already-covered,own impressions
ihta 1984 schedule 1,0,bing,,,already-covered,own impressions
apr cap,0,bing,,,already-covered,own impressions
bpr capped at £1m,0,bing,,,already-covered,own impressions
ihta 124(a) (5) (a),0,bing,,,already-covered,own impressions
new bpr £2.5m pro rata 10 year charge,0,bing,,,already-covered,own impressions
bpr april,0,bing,,,already-covered,own impressions
uk serviced apartment tax scheme,0,bing,,,assigned,net-new queued + own impressions
