query,volume,best_peer_position,peer_holder,our_google_impr,our_google_pos,our_bing_impr,our_bing_clicks,bucket,cluster,assigned_page
calculate stamp duty,246000,39,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty calculator,246000,43,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty estimator,246000,10,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
calculate stamp duty uk,60500,31,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
uk stamp duty calculator,60500,33,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
england stamp duty calculator,60500,56,landlordstudio.com,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty calculator uk,60500,33,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty calculator england,60500,31,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp tax calculator uk,60500,30,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty land tax calculator,40500,28,ukpropertyaccountants.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
sdlt calculator,40500,26,ukpropertyaccountants.co.uk,70,63.3,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
calculate sdlt,40500,25,uklandlordtax.co.uk,0,0,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty first time buyer,18100,68,ukpropertyaccountants.co.uk,58,84.2,0,0,assigned,stamp duty first time buyer,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty for first time buyers,18100,65,ukpropertyaccountants.co.uk,52,78.0,0,0,assigned,stamp duty first time buyer,/calculators/first-time-buyer-stamp-duty-calculator
first time buyers and stamp duty,18100,69,ukpropertyaccountants.co.uk,0,0,0,0,assigned,stamp duty first time buyer,/calculators/first-time-buyer-stamp-duty-calculator
first time buyer stamp duty,18100,70,ukpropertyaccountants.co.uk,117,86.6,0,0,assigned,stamp duty first time buyer,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty first time buyers,18100,69,ukpropertyaccountants.co.uk,16,39.6,0,0,assigned,stamp duty first time buyer,/calculators/first-time-buyer-stamp-duty-calculator
stamp duty on a second house,14800,57,ukpropertyaccountants.co.uk,0,0,0,0,assigned,stamp duty on a second house,/calculators/stamp-duty-calculator
second house stamp duty,14800,53,ukpropertyaccountants.co.uk,1,3,0,0,assigned,stamp duty on a second house,/calculators/stamp-duty-calculator
second home stamp duty,14800,48,ukpropertyaccountants.co.uk,0,0,0,0,assigned,stamp duty on a second house,/calculators/stamp-duty-calculator
stamp duty 2nd home,14800,24,optimiseaccountants.co.uk,0,0,0,0,assigned,stamp duty on a second house,/calculators/stamp-duty-calculator
stamp duty on second home,14800,46,ukpropertyaccountants.co.uk,1,1,0,0,assigned,stamp duty on a second house,/calculators/stamp-duty-calculator
how much is stamp duty,12100,46,uklandlordtax.co.uk,4,1,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
how much stamp duty,12100,78,landlordstudio.com,1,6,0,0,assigned,calculate stamp duty,/calculators/first-time-buyer-stamp-duty-calculator
