path,type,in_scope_because,family_mentions,words,google_impr,google_clicks,google_pos,bing_impr,bing_clicks,bing_pos,bing_queries,title
/blog/landlord-tax-essentials/scottish-lbtt-rates-bands-2026-27-residential-buyers-complete-guide,post,named,130,4852,16184,18,7.1,108,3,6.4,53,"Scottish LBTT 2026/27 Residential Rates: Bands, Reliefs, and the Devolved Framework"
/blog/capital-gains-tax/capital-gains-tax-property-complete-guide-uk,post,body,6,3355,13436,63,6.1,1745,118,5.4,504,Capital Gains Tax on UK Property: Complete Guide for Landlords (2026/27)
/blog/landlord-tax-essentials/land-transaction-tax-a-complete-guide,post,named,77,3764,3509,12,7.7,599,6,8.1,132,"Land Transaction Tax: A Complete Guide to Welsh LTT for Buyers, Investors, and Their Advisers"
/blog/section-24-and-tax-relief/mortgage-arrangement-fees-deductible-landlord,post,body,8,3403,3222,93,6.5,135,38,2.6,93,Are Mortgage Arrangement Fees Tax Deductible for Landlords?
/calculators/lbtt-calculator-scotland,tool,named,57,1738,32,0,13.8,2571,21,7.2,165,LBTT Calculator Scotland | incl. 8% ADS (2026/27) | Property Tax Partners
/blog/incorporation-and-company-structures/ated-complete-guide-2026-27,post,body,18,4487,2473,8,6.3,32,0,7.0,24,ATED 2026/27: Complete Guide to Annual Tax on Enveloped Dwellings
/blog/landlord-tax-essentials/essential-guide-for-first-time-homebuyers-in-scotland,post,named,85,4108,2484,14,8.0,0,0,0,0,"Essential Guide for First-Time Homebuyers in Scotland: LBTT, FTB Relief, and What to Plan For in 2026/27"
/blog/landlord-tax-essentials/scottish-lbtt-additional-dwelling-supplement-ads-mechanics-second-home-buyers,post,named,93,4996,2135,2,8.1,6,0,7.4,5,"Scottish LBTT Additional Dwelling Supplement: 8% on Entire Price, 36-Month Replacement Window"
/blog/landlord-tax-essentials/welsh-ltt-higher-rates-residential-second-homes-additional-properties-surcharge-mechanics,post,named,43,5079,1654,2,5.2,0,0,0,0,Welsh LTT Higher Rates: Mechanics for Second Homes and Additional Property Buyers
/blog/landlord-tax-essentials/sdlt-leasehold-extension-vs-fresh-purchase,post,named,111,4078,1646,16,11.6,0,0,0.0,0,SDLT on Leasehold Extensions: How the Premium Is Taxed and Why It Beats a Fresh Purchase
/blog/incorporation-and-company-structures/partnership-sdlt-relief-schedule-15-fa-2003-incorporation-sum-lower-proportions,post,named,89,6312,1604,2,7.0,40,3,5.8,23,Partnership SDLT Relief on Incorporation: FA 2003 Sch 15 SLP Mechanics
/blog/landlord-tax-essentials/welsh-land-transaction-tax-ltt-rates-bands-2026-27-residential-buyers,post,named,56,4616,1478,0,4.5,152,3,6.9,63,"Welsh Land Transaction Tax (LTT) 2026/27: Rates, Bands, and What Welsh Buyers Need to Know"
/blog/incorporation-and-company-structures/how-to-transfer-property-into-limited-company-uk,post,body,58,4440,788,5,25.6,796,196,2.8,487,How to Transfer Property Into a Limited Company UK: Complete Guide for Landlords
/blog/property-types-and-specialist-tax/a-complete-guide-on-community-infrastructure-levy-cil,post,body,14,4423,538,4,12.0,1023,20,6.6,184,"A Complete Guide to the Community Infrastructure Levy (CIL): Statutory Location, Calculation, Reliefs, and the s.106 Overlay"
/blog/property-types-and-specialist-tax/how-much-tax-holiday-let-property-uk,post,body,14,3522,1335,2,52.9,188,23,4.2,133,How Much Tax Do You Pay on a Holiday Let Property in the UK?
/blog/incorporation-and-company-structures/sdlt-transfer-property-company-cost,post,named,77,3530,981,1,8.4,443,60,5.0,262,SDLT on Transferring Property to a Limited Company (Connected Party)
/blog/section-24-and-tax-relief/claim-mortgage-interest-rental-property-uk-section-24,post,body,5,3373,133,1,13.7,1257,256,3.5,664,How to Claim Mortgage Interest on UK Rental Property 2025/26 (Section 24 in Practice)
/calculators/first-time-buyer-stamp-duty-calculator,tool,named,60,1983,1311,0,81.1,0,0,0,0,First-Time Buyer Stamp Duty Calculator | SDLT Relief (England &amp; NI) | Property Tax Partners
/blog/portfolio-management/buying-commercial-property-through-a-sipp,post,body,5,5380,1283,13,10.1,0,0,0,0,Buying Commercial Property Through a SIPP or SSAS: The Complete Tax Guide
/blog/property-types-and-specialist-tax/lease-extensions-in-the-uk-surrender-and-regrant,post,named,63,4898,1057,7,13.5,97,2,6.3,48,"Lease Extensions in the UK: How the Surrender-and-Regrant Doctrine Works at Law and Why It Drives the SDLT, LBTT and LTT Treatment of Every Lease Extension"
/blog/property-types-and-specialist-tax/how-owning-property-abroad-leads-higher-stamp-duty-rates,post,named,76,5246,1061,6,8.0,74,8,3.9,51,How Owning Property Abroad Leads to Higher SDLT Rates: The Three Statutory Routes
/blog/capital-gains-tax/cgt-gifting-property-family-members-uk,post,body,25,3852,306,0,16.6,825,144,5.0,504,CGT on Gifting Property to Family Members in the UK (2026 Guide)
/blog/landlord-tax-essentials/higher-rates-of-land-transaction-tax-a-complete-guide,post,named,40,4087,1120,1,8.6,0,0,0,0,Higher Rates of Land Transaction Tax: A Complete Guide to Welsh LTT Higher Residential Rates for Additional-Property Purchases
/blog/incorporation-and-company-structures/sdlt-group-relief-for-corporate-landlord-portfolios,post,named,66,3718,998,7,7.7,26,0,9.7,15,SDLT Group Relief for Corporate Landlord Portfolios: Qualifying Conditions and the 3-Year Clawback
/blog/property-accountant-services/how-to-become-property-accountant,post,body,16,3910,997,15,18.8,0,0,0,0,How to Become a Property Accountant: Complete UK Career Guide
/blog/property-types-and-specialist-tax/lease-variation-and-lease-surrender,post,named,87,4931,788,13,8.4,92,2,6.7,53,"Lease Variation and Lease Surrender: The SDLT, LBTT, LTT, and CGT Treatment of Voluntary Variations, Voluntary Surrenders, Reverse Premiums, and Deemed Surrenders by Operation of Law"
/blog/incorporation-and-company-structures/settlor-interested-trust-iht-s49-1a-cgt-s169b-property-attribution-rules,post,body,8,8998,867,18,10.5,0,0,0,0,Settlor-Interested Property Trust: The Three-Statute Trap
/blog/property-types-and-specialist-tax/vat-mixed-use-property-purchase-residential-commercial-element-apportionment,post,body,25,3881,759,23,6.2,0,0,0.0,0,VAT on Mixed-Use Property Purchases: Apportionment and the Dwellings Carve-Out
/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk,post,body,26,4972,648,1,15.8,110,6,3.2,78,Buy-to-Let Limited Company: Complete Guide UK 2026
