keyword,bucket,owner_or_reason,volume,best_peer_pos,best_peer_domain,our_gsc_imp,our_gsc_clicks,our_bing_imp,our_bing_clicks
salary calculator,excluded,off-niche:salary/employment,368000,26,taxd.co.uk,,,,
bring home pay calculator,excluded,off-niche:salary/employment,301000,34,taxd.co.uk,,,,
pay calculator take home,excluded,off-niche:salary/employment,301000,6,taxd.co.uk,,,,
paycheck calculator take home,excluded,off-niche:salary/employment,301000,28,taxd.co.uk,,,,
take home pay calculator,excluded,off-niche:salary/employment,301000,9,taxd.co.uk,,,,
take home pay salary calculator,excluded,off-niche:salary/employment,301000,31,taxd.co.uk,,,,
wage take home calculator,excluded,off-niche:salary/employment,301000,26,ukpropertyaccountants.co.uk,,,,
stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",246000,43,uklandlordtax.co.uk,,,,
earning calculator uk,excluded,off-niche:salary/employment,165000,35,taxd.co.uk,,,,
earnings calculator uk,excluded,off-niche:salary/employment,165000,32,taxd.co.uk,,,,
income calculator uk,excluded,off-niche:salary/employment,165000,43,taxd.co.uk,,,,
pay calculator uk,excluded,off-niche:salary/employment,165000,7,taxd.co.uk,,,,
paycheck calculator uk,excluded,off-niche:salary/employment,165000,13,taxd.co.uk,,,,
payroll calculator uk,excluded,off-niche:salary/employment,165000,33,taxd.co.uk,,,,
salary calculator england,excluded,off-niche:salary/employment,165000,28,taxd.co.uk,,,,
salary uk calculator,excluded,off-niche:salary/employment,165000,19,taxd.co.uk,,,,
uk pay calculator,excluded,off-niche:salary/employment,165000,4,taxd.co.uk,,,,
uk payroll calculator,excluded,off-niche:salary/employment,165000,35,taxd.co.uk,,,,
uk salary calculator,excluded,off-niche:salary/employment,165000,29,taxd.co.uk,,,,
uk wage calculator,excluded,off-niche:salary/employment,165000,18,taxd.co.uk,,,,
wage calculator uk,excluded,off-niche:salary/employment,165000,35,taxd.co.uk,,,,
wages calculator uk,excluded,off-niche:salary/employment,165000,25,taxd.co.uk,,,,
home loan calculator repayment,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",90500,52,ukpropertyaccountants.co.uk,,,,
housing loan repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",90500,48,uklandlordtax.co.uk,,,,
