month,87100,87200,87300,87900,88100,88990,union
2015-07,46,38,45,43,63,306,522
2015-08,39,26,42,48,66,238,439
2015-09,39,34,70,53,79,274,521
2015-10,44,37,60,56,65,233,471
2015-11,41,38,34,60,51,197,399
2015-12,31,33,38,39,39,211,376
2016-01,35,31,63,53,58,234,442
2016-02,43,40,46,64,80,294,541
2016-03,86,43,69,70,151,289,682
2016-04,50,46,60,72,73,396,667
2016-05,60,45,58,55,73,269,540
2016-06,47,45,44,75,74,261,515
2016-07,43,62,71,92,103,270,575
2016-08,76,91,106,112,115,304,702
2016-09,97,117,99,116,111,327,743
2016-10,69,110,99,116,110,283,680
2016-11,79,118,104,147,131,299,771
2016-12,69,85,82,81,93,191,497
2017-01,69,98,107,118,149,231,660
2017-02,52,70,99,113,106,195,549
2017-03,63,88,124,139,82,204,591
2017-04,60,81,101,91,82,176,477
2017-05,61,86,90,105,83,186,498
2017-06,70,79,97,93,61,146,446
2017-07,80,100,113,116,73,143,500
2017-08,99,130,117,126,77,153,563
2017-09,117,131,151,121,83,181,603
2017-10,100,120,120,137,97,210,633
2017-11,113,151,148,133,80,192,652
2017-12,84,109,96,98,67,148,489
2018-01,163,149,130,152,94,185,719
2018-02,105,127,133,114,82,162,578
2018-03,92,144,137,124,92,174,604
2018-04,119,162,133,135,86,186,657
2018-05,105,206,142,147,80,214,733
2018-06,118,175,125,128,90,197,685
2018-07,108,228,151,145,72,218,761
2018-08,123,203,152,163,79,195,758
2018-09,121,259,166,152,82,194,789
2018-10,136,265,177,207,108,218,888
2018-11,117,234,176,168,82,215,804
2018-12,113,172,115,109,76,172,628
2019-01,139,277,201,157,94,229,896
2019-02,136,239,181,174,108,219,875
2019-03,143,215,151,185,110,241,853
2019-04,125,251,156,194,101,222,828
2019-05,140,248,160,192,110,224,847
2019-06,117,244,152,180,91,209,806
2019-07,140,270,163,197,119,219,896
2019-08,149,216,163,163,92,207,789
2019-09,140,222,181,201,106,203,850
2019-10,130,253,180,225,133,237,943
2019-11,131,243,178,199,82,220,853
2019-12,97,188,112,138,68,204,664
2020-01,157,260,194,223,107,245,927
2020-02,123,211,158,204,108,214,818
2020-03,107,217,148,215,89,223,796
2020-04,92,222,155,165,103,185,737
2020-05,100,303,162,235,116,223,900
2020-06,111,337,204,274,129,309,1071
2020-07,135,353,223,351,161,346,1226
2020-08,121,322,203,273,133,275,1045
2020-09,140,319,216,316,151,317,1124
2020-10,142,313,225,287,141,280,1090
2020-11,130,312,173,245,125,240,973
2020-12,114,264,159,206,130,252,895
2021-01,128,269,182,220,135,247,949
2021-02,111,265,165,217,115,250,917
2021-03,112,224,179,229,145,308,989
2021-04,89,177,148,180,104,237,769
2021-05,100,205,147,196,121,230,765
2021-06,98,218,149,182,97,209,745
2021-07,100,209,174,199,99,202,783
2021-08,120,236,178,191,126,220,837
2021-09,118,242,197,220,127,239,892
2021-10,151,249,182,203,149,257,930
2021-11,138,311,219,214,232,246,1082
2021-12,123,258,180,204,113,230,888
2022-01,164,348,218,243,152,261,1085
2022-02,180,338,247,287,210,255,1186
2022-03,184,378,257,288,228,343,1325
2022-04,153,308,226,228,151,297,1071
2022-05,189,387,219,296,189,306,1212
2022-06,151,326,192,266,144,268,1086
2022-07,185,334,231,289,144,257,1109
2022-08,209,328,252,317,153,245,1160
2022-09,190,396,277,304,162,325,1283
2022-10,176,364,269,311,159,289,1196
2022-11,199,372,281,356,163,292,1274
2022-12,145,356,227,265,142,233,1025
2023-01,202,446,287,356,175,291,1303
2023-02,194,457,297,366,161,319,1318
2023-03,190,454,331,377,219,345,1415
2023-04,154,351,262,309,138,265,1093
2023-05,180,411,299,392,167,311,1313
2023-06,174,375,279,342,169,308,1229
2023-07,166,344,265,348,144,247,1138
2023-08,167,373,258,352,143,274,1181
2023-09,160,392,265,336,158,307,1205
2023-10,171,397,280,366,171,296,1258
2023-11,147,386,284,390,161,309,1219
2023-12,132,288,212,272,122,232,899
2024-01,130,342,252,363,162,287,1161
2024-02,139,306,238,304,158,299,1093
2024-03,120,300,190,300,130,250,985
2024-04,105,337,226,312,159,336,1119
2024-05,88,235,142,242,124,233,815
2024-06,100,263,185,255,118,242,889
2024-07,93,238,156,267,115,245,851
2024-08,99,274,192,271,130,223,878
2024-09,95,246,142,273,114,242,847
2024-10,93,296,191,333,132,282,982
2024-11,112,246,191,312,109,239,905
2024-12,77,204,164,272,92,229,787
2025-01,105,231,207,325,143,245,944
2025-02,99,271,189,293,134,288,960
2025-03,112,258,190,310,175,304,1035
2025-04,96,268,205,307,167,347,1044
2025-05,107,261,191,299,156,313,1033
2025-06,75,224,172,261,165,297,923
2025-07,79,254,176,320,172,368,1064
2025-08,79,223,167,290,162,332,963
2025-09,94,245,163,330,159,393,1104
2025-10,73,284,171,308,195,415,1116
2025-11,66,180,137,240,148,393,923
2025-12,50,167,139,230,145,354,842
2026-01,63,202,153,275,204,495,1085
2026-02,67,148,144,269,154,361,923
2026-03,71,195,163,269,192,481,1080
2026-04,83,166,150,244,194,447,1008
2026-05,53,176,142,234,209,496,1046
2026-06,80,152,139,246,199,485,1023
