Keyword,Difficulty,"Search vol.","Search intent","SERP features",Relevance,CPC,Competition
"recruitment agency",74,20100,"L, C","Local pack, Reviews, Video, People also ask",,0.58,0.41
"recruitment agencies near me",73,60500,"L, C","Local pack, Reviews, Video, People also ask, Related searches",46,0.35,0.39
"agency jobs near me",71,33100,"L, C","Local pack, Reviews, People also ask, Related searches",21,0.35,0.39
"job agencies near me",65,33100,"L, C","Local pack, Reviews, People also ask, Related searches",39,0.35,0.39
"recruitment agency near me",53,27100,"L, C","Local pack, Reviews, Video, People also ask, Related searches",44,0.35,0.39
"recruitment agencies london",66,27100,"L, C","Local pack, Reviews, People also ask, Related searches",31,0.5,0.42
agency,65,22200,"L, C","Local pack, Reviews, Video, People also ask, Related searches",19,0.53,0.15
recruitment,59,22200,"L, C","Local pack, Reviews, People also ask, Bottom Ads, Related searches",32,0.65,0.12
"recruitment agencies",73,22200,"L, C","Local pack, Reviews, Video, People also ask, Related searches",73,0.58,0.41
"recruitment agency -inda",75,20100,"L, C","Local pack, Reviews, People also ask, Related searches",26,0.58,0.41
"agency jobs london",66,18100,I,"Video, Bottom Ads, Related searches",14,0.5,0.42
"the recruitment",58,18100,"L, C","Local pack, Reviews, Video, People also ask, Related searches",15,1.01,0
"agency recruitment",71,14800,"L, C","Local pack, Reviews, Video, People also ask, Related searches",62,0.58,0.41
"job agency near me",67,14800,"L, C","Local pack, Reviews, Video, People also ask, Related searches",42,0.35,0.39
"reed recruitment agency",86,14800,"L, N","Local pack, Reviews, Sitelinks, People also ask, Knowledge Panel, AI Overview, Related searches",7,0.28,0.12
"recruitment agency london",67,12100,"L, C","Local pack, Reviews, Video, People also ask, Related searches",39,0.5,0.42
employment,78,12100,"L, C","Local pack, Reviews, Video, People also ask, FAQ, Related searches",7,0.41,0.02
"agency near me",55,12100,"L, C","Local pack, Reviews, People also ask, Bottom Ads, Related searches",34,0.44,0.45
"agencies near me",39,9900,"L, C","Local pack, Reviews, People also ask, Related searches",37,0.44,0.45
"agency work",50,9900,"L, C","Local pack, Reviews, Video, People also ask, Related searches",18,0.23,0.41
"agency jobs",47,8100,"L, C","Local pack, Reviews, Video, People also ask, Related searches",24,0.38,0.38
"work agencies",49,8000,"L, C","Local pack, Reviews, Video, People also ask, Related searches",39,0.23,0.41
"recruitment companies",57,6600,"L, C","Local pack, Reviews, Video, People also ask, Related searches",65,0.89,0.14
"recruitment co",64,6600,"L, N","Local pack, Reviews, Sitelinks, Video, Related searches",6,0.89,0.14
"recruitment company",51,5700,"L, C","Local pack, Reviews, Video, People also ask, Top Ads, Related searches",47,0.89,0.14
"recruiting agency",55,5700,"L, C","Local pack, Reviews, Video, People also ask, Related searches",71,0.58,0.41
