Keyword,Difficulty,"Search vol.","Search intent","SERP features",CPC,Competition
"accountants for marketing agencies",2,210,"L, C","Local pack, Reviews, Video, AI Overview",3.23,0.18
"accountant for marketing agency",4,210,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches",3.23,0.18
"accountants for marketing agency",10,210,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",3.23,0.18
"accounting software for marketing agencies",12,90,I,"Reviews, Video, AI Overview, Related searches",0,0.08
"accounting for marketing agencies",0,50,,,0,0.16
"marketing agency for accountants",17,20,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",4.02,0.44
"account manager for marketing agency",0,10,,,0,0
"digital marketing agency for accountants",0,10,,,0,0.08
"accounting for digital marketing agency",0,10,,,0,0.14
"accountancy services for marketing agency",9,0,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",0,0
"accounting solutions for design and marketing agencies",3,0,I,"Related searches, Sites",0,0
"accounting for digital marketing agencies",1,0,I,"People also ask",0,0
"accounting services for marketing agency",10,0,"L, C","Local pack, Reviews, Video, AI Overview, Related searches",0,0
"accountant for for marketing agency",3,0,I,"Reviews, People also ask, Related searches, Image",0,0
"marketing agencies for accountants",22,0,"L, C","Local pack, Reviews, Related searches",0,0
