Keyword,Difficulty,"Search vol.","Search intent","SERP features",CPC,Competition
"agency accounting",10,390,"L, C","Local pack, Reviews, Video, People also ask, Images, AI Overview",1.88,0.55
"employment agencies for accounting",8,500,"L, C","Local pack, Reviews, People also ask, Images, Related searches",0.58,0.35
"employment agencies for accountants",17,500,I,"Reviews, People also ask, Images, Related searches",0.58,0.35
"accountancy agencies in london",12,480,"L, C","Local pack, Reviews, Video, Related searches",0.84,0.51
"accounting job agencies in london",13,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"recruitment agencies accountancy london",8,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accountancy recruitment agencies in london",8,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"london accounting recruitment agencies",13,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"london recruitment agencies accounting",12,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accounting recruitment agencies in london",13,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accountant recruitment agencies london",10,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accounting recruitment agencies london",13,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accounts recruitment agencies london",9,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accountancy agency london",17,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accounting employment agencies in london",13,480,"L, C","Local pack, Reviews, Video, Related searches",0.84,0.51
"accountancy recruitment agencies london",12,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"london accountancy recruitment agencies",8,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"recruitment agencies london accountancy",9,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"recruitment agencies for accountants in london",12,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"recruitment agency accounting london",13,480,"L, C","Local pack, Reviews, Related searches",0,0
"accounting recruitment agency london",14,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accountancy agencies london",12,480,"L, C","Local pack, Reviews, Related searches",0.84,0.51
"accounting agency jobs",8,390,"L, C","Local pack, Reviews, Video, Related searches",0.79,0.37
"accountancy agencies",16,390,"L, C","Local pack, Reviews, Video, Related searches",1.88,0.55
"accounting recruitment agencies",13,390,"L, C","Local pack, Reviews, Related searches",0.79,0.37
"accounting staffing agencies",10,390,"L, C","Local pack, Reviews, Video, Related searches",0.79,0.37
