# UK Divorce and Financial Remedy Index: annual series, England and Wales
# Source: Ministry of Justice, Family Court Statistics Quarterly Oct-Dec 2025 (OGL v3.0)
# Divorce = dissolution of marriage only. Timeliness = all case types, both legal regimes. Blank = not published.
# Free to reuse with attribution to {{BRAND}}.
year,divorce_applications,conditional_orders,final_orders,mean_weeks_to_conditional_order,median_weeks_to_conditional_order,mean_weeks_to_final_order,median_weeks_to_final_order,fr_applications_total,fr_applications_contested,fr_applications_uncontested,fr_disposals_total,fr_disposals_contested,fr_disposals_initially_contested,fr_disposals_uncontested,fr_uncontested_share_pct
2003,170741,156210,152236,24.718,17.143,42.541,31.0,,,,,,,,
2004,165133,154305,152595,24.631,16.857,43.922,31.0,,,,,,,,
2005,149821,141803,141401,24.432,16.286,45.104,31.286,,,,,,,,
2006,146765,134705,132310,24.584,16.571,45.727,31.571,69254,26815,42439,74197,12818,15676,45703,61.3
2007,135853,133113,128679,25.077,16.857,46.122,31.429,65373,25367,40006,70519,11539,14640,44340,61.2
2008,128571,120537,122259,24.759,16.143,47.561,32.429,58444,22625,35819,63050,10901,13264,38885,61.3
2009,131896,119347,115015,24.927,16.714,48.004,32.0,52032,20731,31301,56078,10070,12090,33918,60.2
2010,133268,125277,120833,25.503,16.857,48.193,31.571,51681,19578,32103,57105,9674,12492,34939,62.1
2011,129258,122234,119488,25.271,16.714,48.624,32.143,46352,15602,30750,54818,9731,11724,33363,66.3
2012,124395,122337,120516,24.539,15.857,48.961,31.286,47984,16457,31527,53431,9334,10205,33892,65.7
2013,117483,113286,114867,24.51,15.571,49.937,31.0,47502,17017,30485,51265,8831,10086,32348,64.2
2014,112559,109656,111800,23.887,15.143,49.227,30.0,42367,13296,29071,47854,7557,9437,30860,68.6
2015,114504,99082,102154,24.641,16.143,49.106,29.0,42383,13876,28507,43814,6504,7738,29572,67.3
2016,114039,114123,108255,25.466,17.714,50.05,30.429,46624,14402,32222,45455,6346,7508,31601,69.1
2017,109266,103120,102801,24.834,16.571,49.981,30.714,46275,14644,31631,47687,6954,7979,32754,68.4
2018,118346,91991,91983,29.733,22.286,55.118,35.143,43151,14098,29053,47123,7317,8660,31146,67.3
2019,116628,115240,107308,31.544,24.429,56.581,39.571,42058,13909,28149,48534,7039,8136,33359,66.9
2020,113070,106649,103975,27.569,18.857,50.874,34.429,39946,12078,27868,46572,6372,6057,34143,69.8
2021,108532,114077,113841,25.09,13.286,51.439,29.286,49048,12445,36603,48558,6628,7147,34783,74.6
2022,122484,80234,80417,35.118,26.143,60.548,35.429,40081,11685,28396,36782,5928,4349,26505,70.8
2023,113073,104942,103475,39.634,28.857,64.284,39.143,44286,12635,31651,41041,6175,4024,30842,71.5
2024,110428,107024,105438,40.464,29.286,65.643,41.571,45563,11841,33722,47041,10171,4119,32751,74.0
2025,109184,117687,105704,40.811,30.286,68.552,42.0,49067,12555,36512,46651,8913,4313,33425,74.4
