type,year,quarter,application,order_type,adopter,adopted_child_sex,adopted_child_age,count
Application,2011,1,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2011,1,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2011,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2011,3,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2011,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2012,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2012,2,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2012,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2012,4,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2012,4,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2013,1,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2013,1,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2013,2,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2013,2,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2013,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2013,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2013,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2013,4,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2013,4,Adoption,Convention,Same sex couple,n/a,n/a,1
Application,2014,1,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2014,2,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2014,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2014,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2014,4,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2015,1,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2015,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2015,3,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2015,3,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2015,3,Adoption,Convention,Same sex couple,n/a,n/a,1
Application,2015,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2015,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2016,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2016,1,Adoption,Convention,Step parent,n/a,n/a,1
Application,2016,2,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2016,4,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2016,4,Adoption,Convention,Other or not stated,n/a,n/a,2
Application,2016,4,Adoption,Convention,Step parent,n/a,n/a,1
Application,2017,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2017,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2017,2,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2017,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2017,4,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2017,4,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2018,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2018,1,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2018,4,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2019,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2019,1,Adoption,Convention,Sole applicant,n/a,n/a,2
Application,2019,2,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2019,2,Adoption,Convention,Sole applicant,n/a,n/a,2
Application,2019,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2019,4,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2020,1,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2020,2,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2020,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2020,4,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2020,4,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2021,1,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2021,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2021,2,Adoption,Convention,Same sex couple,n/a,n/a,1
Application,2021,3,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2021,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2021,4,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2022,1,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2022,2,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2022,3,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2022,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2022,4,Adoption,Convention,Other or not stated,n/a,n/a,2
Application,2022,4,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2023,1,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2023,1,Adoption,Convention,Same sex couple,n/a,n/a,1
