YEAR,Qtr,Type,Count_type,Public_private,Disposal_type,Order_type,Order_type_code,Sex,age_band,Applicants_in_case,Respondents_in_case,HC_INDICATOR,Count
2011,1,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,5161
2011,1,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,297
2011,1,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,63
2011,1,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,329
2011,1,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,16
2011,1,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,210
2011,1,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,110
2011,1,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,63
2011,1,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,33
2011,1,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,524
2011,1,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,5
2011,1,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,6
2011,1,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,62
2011,1,Application,Children,Private law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,1560
2011,1,Application,Children,Public law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,75
2011,1,Application,Children,Private law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,410
2011,1,Application,Children,Public law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,73
2011,1,Application,Children,Private law,N/A,Parental Order,28,N/A,N/A,N/A,N/A,N/A,163
2011,1,Application,Children,Private law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,11293
2011,1,Application,Children,Public law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,207
2011,1,Application,Children,Private law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,9802
2011,1,Application,Children,Public law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,217
2011,1,Application,Children,Private law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,4635
2011,1,Application,Children,Public law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,15
2011,1,Application,Children,Private law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,2277
2011,1,Application,Children,Public law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,83
2011,1,Application,Children,Private law,N/A,Financial Application,34,N/A,N/A,N/A,N/A,N/A,216
2011,1,Application,Children,Private law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,252
2011,1,Application,Children,Private law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,14
2011,1,Application,Children,Private law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,30
2011,1,Application,Children,Private law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,22
2011,1,Application,Children,Private law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,112
2011,1,Application,Children,Public law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,1
2011,1,Application,Children,Private law,N/A,Enforcement - Order for Financial Compensation,36,N/A,N/A,N/A,N/A,N/A,60
2011,1,Application,Children,Private law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,9
2011,1,Application,Children,Private law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,20398
2011,1,Application,Children,Public law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,483
2011,2,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,4922
2011,2,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,223
2011,2,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,80
2011,2,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,308
2011,2,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,24
2011,2,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,142
2011,2,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,150
2011,2,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,53
2011,2,Application,Children,Public law,N/A,Extension of Education Supervision Order,11,N/A,N/A,N/A,N/A,N/A,3
2011,2,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,39
2011,2,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,507
2011,2,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,10
2011,2,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,1
2011,2,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,33
2011,2,Application,Children,Private law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,1140
2011,2,Application,Children,Public law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,70
2011,2,Application,Children,Private law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,352
2011,2,Application,Children,Public law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,65
2011,2,Application,Children,Private law,N/A,Parental Order,28,N/A,N/A,N/A,N/A,N/A,138
2011,2,Application,Children,Private law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,7606
2011,2,Application,Children,Public law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,233
2011,2,Application,Children,Private law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,8015
2011,2,Application,Children,Public law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,206
2011,2,Application,Children,Private law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,4349
2011,2,Application,Children,Public law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,16
2011,2,Application,Children,Private law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,2222
2011,2,Application,Children,Public law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,66
