category,stage,year,quarter,dfj_new,region,count,cases
Divorce,Decree Absolute,2011,1,Birmingham DJF,MIDLANDS,608,
Divorce,Decree Absolute,2011,1,Bishop Auckland,NORTH EAST,65,
Divorce,Decree Absolute,2011,1,Bournemouth and Poole DFJ,SOUTH WEST,416,
Divorce,Decree Absolute,2011,1,Brighton DFJ,SOUTH EAST,818,
Divorce,Decree Absolute,2011,1,Bristol DFJ,SOUTH WEST,1507,
Divorce,Decree Absolute,2011,1,Burton Upon Trent,MIDLANDS,170,
Divorce,Decree Absolute,2011,1,Caernarfon DFJ,WALES,94,
Divorce,Decree Absolute,2011,1,Carlisle DFJ,NORTH WEST,259,
Divorce,Decree Absolute,2011,1,Central Family Court,LONDON,1715,
Divorce,Decree Absolute,2011,1,Chelmsford DFJ,SOUTH EAST,810,
Divorce,Decree Absolute,2011,1,Chorley,NORTH WEST,70,
Divorce,Decree Absolute,2011,1,Cleveland and South Durham DFJ,NORTH EAST,476,
Divorce,Decree Absolute,2011,1,Consett,NORTH EAST,49,
Divorce,Decree Absolute,2011,1,Coventry DFJ,MIDLANDS,434,
Divorce,Decree Absolute,2011,1,Derby DFJ,MIDLANDS,464,
Divorce,Decree Absolute,2011,1,Devon DFJ,SOUTH WEST,722,
Divorce,Decree Absolute,2011,1,Dewsbury,NORTH EAST,104,
Divorce,Decree Absolute,2011,1,East London Family Court,LONDON,1403,
Divorce,Decree Absolute,2011,1,Epsom,SOUTH EAST,61,
Divorce,Decree Absolute,2011,1,Guildford DFJ,SOUTH EAST,335,
Divorce,Decree Absolute,2011,1,Harlow,SOUTH EAST,154,
Divorce,Decree Absolute,2011,1,Hitchin,SOUTH EAST,104,
Divorce,Decree Absolute,2011,1,Ilford,LONDON,174,
Divorce,Decree Absolute,2011,1,Keighley,NORTH EAST,42,
Divorce,Decree Absolute,2011,1,Kingston-upon-Hull DFJ,NORTH EAST,459,
Divorce,Decree Absolute,2011,1,Leeds DFJ,NORTH EAST,936,
Divorce,Decree Absolute,2011,1,Leicester DFJ,MIDLANDS,500,
Divorce,Decree Absolute,2011,1,Leigh,NORTH WEST,40,
Divorce,Decree Absolute,2011,1,Lincoln DFJ,MIDLANDS,523,
Divorce,Decree Absolute,2011,1,Liverpool DFJ,NORTH WEST,1124,
Divorce,Decree Absolute,2011,1,Lowestoft,SOUTH EAST,104,
Divorce,Decree Absolute,2011,1,Luton DFJ,SOUTH EAST,354,
Divorce,Decree Absolute,2011,1,Manchester DFJ,NORTH WEST,1293,
Divorce,Decree Absolute,2011,1,Medway DFJ,SOUTH EAST,1024,
Divorce,Decree Absolute,2011,1,Milton Keynes DFJ,SOUTH EAST,274,
Divorce,Decree Absolute,2011,1,Newcastle upon Tyne DFJ,NORTH EAST,839,
Divorce,Decree Absolute,2011,1,Northampton DFJ,MIDLANDS,298,
Divorce,Decree Absolute,2011,1,Norwich DFJ,SOUTH EAST,816,
Divorce,Decree Absolute,2011,1,Nottingham DFJ,MIDLANDS,495,
Divorce,Decree Absolute,2011,1,Oxford DFJ,SOUTH EAST,372,
Divorce,Decree Absolute,2011,1,Penrith,NORTH WEST,20,
Divorce,Decree Absolute,2011,1,Penzance,SOUTH WEST,26,
Divorce,Decree Absolute,2011,1,Peterborough DFJ,SOUTH EAST,473,
Divorce,Decree Absolute,2011,1,Pontefract,NORTH EAST,112,
