type,order_type,year,quarter,proceeding_type,law,contested,count
Order made,Decree Absolute,2003,1,Nullity of Marriage,Old,No,47
Order made,Decree Absolute,2003,1,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2003,1,Dissolution of Marriage,Old,No,38402
Order made,Decree Absolute,2003,1,Dissolution of Marriage,Old,Yes,409
Order made,Decree Nisi,2003,1,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2003,1,Dissolution of Marriage,Old,Yes,423
Order made,Decree Nisi,2003,1,Nullity of Marriage,Old,No,49
Order made,Decree Nisi,2003,1,Dissolution of Marriage,Old,No,38659
Order made,Judicial Separations Granted,2003,1,Judicial Separation,Old,No,114
Order made,Judicial Separations Granted,2003,1,Judicial Separation,Old,Yes,2
Petitions,,2003,1,Dissolution of Marriage,Old,,45536
Petitions,,2003,1,Judicial Separation,Old,,234
Petitions,,2003,1,Nullity of Marriage,Old,,93
Order made,Decree Absolute,2003,2,Dissolution of Marriage,Old,Yes,398
Order made,Decree Absolute,2003,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2003,2,Dissolution of Marriage,Old,No,37522
Order made,Decree Absolute,2003,2,Nullity of Marriage,Old,No,56
Order made,Decree Nisi,2003,2,Dissolution of Marriage,Old,Yes,439
Order made,Decree Nisi,2003,2,Nullity of Marriage,Old,No,54
Order made,Decree Nisi,2003,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2003,2,Dissolution of Marriage,Old,No,38641
Order made,Judicial Separations Granted,2003,2,Judicial Separation,Old,Yes,4
Order made,Judicial Separations Granted,2003,2,Judicial Separation,Old,No,99
Petitions,,2003,2,Dissolution of Marriage,Old,,41501
Petitions,,2003,2,Nullity of Marriage,Old,,128
Petitions,,2003,2,Judicial Separation,Old,,193
Order made,Decree Absolute,2003,3,Dissolution of Marriage,Old,No,37436
Order made,Decree Absolute,2003,3,Nullity of Marriage,Old,No,43
Order made,Decree Absolute,2003,3,Dissolution of Marriage,Old,Yes,417
Order made,Decree Nisi,2003,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2003,3,Dissolution of Marriage,Old,Yes,415
Order made,Decree Absolute,2004,2,Nullity of Marriage,Old,No,70
Order made,Decree Absolute,2004,2,Dissolution of Marriage,Old,No,37308
Order made,Decree Nisi,2004,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2004,2,Nullity of Marriage,Old,No,75
Order made,Decree Nisi,2004,2,Dissolution of Marriage,Old,Yes,441
Order made,Decree Nisi,2004,2,Dissolution of Marriage,Old,No,38539
Order made,Judicial Separations Granted,2004,2,Judicial Separation,Old,No,96
Order made,Judicial Separations Granted,2004,2,Judicial Separation,Old,Yes,4
Petitions,,2004,2,Judicial Separation,Old,,156
Petitions,,2004,2,Dissolution of Marriage,Old,,40464
Petitions,,2004,2,Nullity of Marriage,Old,,114
Order made,Decree Absolute,2004,3,Dissolution of Marriage,Old,No,38474
Order made,Decree Absolute,2004,3,Nullity of Marriage,Old,No,56
Order made,Decree Absolute,2004,3,Dissolution of Marriage,Old,Yes,425
Order made,Decree Absolute,2004,3,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2004,3,Nullity of Marriage,Old,No,58
Order made,Decree Nisi,2004,3,Dissolution of Marriage,Old,No,40093
Order made,Decree Nisi,2004,3,Dissolution of Marriage,Old,Yes,478
Order made,Decree Nisi,2004,3,Nullity of Marriage,Old,Yes,2
Order made,Judicial Separations Granted,2004,3,Judicial Separation,Old,No,95
Order made,Judicial Separations Granted,2004,3,Judicial Separation,Old,Yes,2
Petitions,,2004,3,Dissolution of Marriage,Old,,41418
Petitions,,2004,3,Nullity of Marriage,Old,,132
Petitions,,2004,3,Judicial Separation,Old,,205
Order made,Decree Absolute,2004,4,Nullity of Marriage,Old,No,60
Order made,Decree Absolute,2004,4,Dissolution of Marriage,Old,No,36531
Order made,Decree Absolute,2004,4,Dissolution of Marriage,Old,Yes,360
Order made,Decree Nisi,2004,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2004,4,Dissolution of Marriage,Old,Yes,387
Order made,Decree Nisi,2004,4,Nullity of Marriage,Old,No,82
Order made,Decree Nisi,2004,4,Dissolution of Marriage,Old,No,34733
Order made,Judicial Separations Granted,2004,4,Judicial Separation,Old,No,79
Order made,Judicial Separations Granted,2004,4,Judicial Separation,Old,Yes,1
Petitions,,2004,4,Nullity of Marriage,Old,,114
Petitions,,2004,4,Dissolution of Marriage,Old,,38432
Petitions,,2004,4,Judicial Separation,Old,,170
