case,stage,year,quarter,applicant,main_applicant_gender,other_applicant_gender,count,mean_weeks,median_weeks
Civil Partnership,Application,2022,,Joint,Female,Female,133,,
Civil Partnership,Application,2022,,Sole,Female,N/A,243,,
Civil Partnership,Application,2022,,Sole,Male,N/A,204,,
Civil Partnership,Application,2022,,Joint,Male,Female,22,,
Civil Partnership,Application,2022,,Joint,Female,Male,23,,
Civil Partnership,Application,2022,,Joint,Unknown,Unknown,19,,
Civil Partnership,Application,2022,,All,All,All,815,,
Civil Partnership,Application,2022,,Joint,All,All,337,,
Civil Partnership,Application,2022,,Sole,All,All,478,,
Civil Partnership,Application,2022,,All,Male,Male,325,,
Civil Partnership,Application,2022,,All,Unknown,Unknown,50,,
Civil Partnership,Application,2022,,All,Female,Female,352,,
Civil Partnership,Application,2022,,All,Male,Female,41,,
Civil Partnership,Application,2022,,Joint,Male,Male,140,,
Civil Partnership,Application,2022,,Sole,Unknown,N/A,31,,
Civil Partnership,Application,2022,,All,Female,Male,47,,
Civil Partnership,Application,2023,,Joint,Unknown,Unknown,24,,
Civil Partnership,Application,2023,,Joint,Female,Female,133,,
Civil Partnership,Application,2023,,Joint,Male,Female,57,,
Civil Partnership,Application,2023,,Joint,Male,Male,143,,
Civil Partnership,Application,2023,,Sole,Female,N/A,283,,
Civil Partnership,Application,2023,,All,All,All,954,,
Civil Partnership,Application,2023,,Joint,All,All,400,,
Civil Partnership,Application,2023,,Sole,All,All,554,,
Civil Partnership,Application,2023,,All,Male,Female,104,,
Civil Partnership,Application,2023,,All,Male,Male,343,,
Civil Partnership,Application,2023,,All,Female,Male,82,,
Civil Partnership,Application,2023,,All,Male,Unknown,1,,
Civil Partnership,Application,2023,,All,Unknown,Unknown,48,,
Civil Partnership,Application,2023,,All,Female,Female,376,,
Civil Partnership,Application,2023,,Joint,Male,Unknown,1,,
Civil Partnership,Application,2023,,Joint,Female,Male,42,,
Civil Partnership,Application,2023,,Sole,Male,N/A,247,,
Civil Partnership,Application,2023,,Sole,Unknown,N/A,24,,
Civil Partnership,Application,2024,,Joint,Unknown,Unknown,24,,
Civil Partnership,Application,2024,,Joint,Male,Male,155,,
Civil Partnership,Application,2024,,Sole,Male,N/A,236,,
Civil Partnership,Application,2024,,All,All,All,915,,
Civil Partnership,Application,2024,,Joint,All,All,413,,
Civil Partnership,Application,2024,,Sole,All,All,502,,
Civil Partnership,Application,2024,,All,Female,Male,118,,
Civil Partnership,Application,2024,,All,Female,Female,308,,
Civil Partnership,Application,2024,,All,Male,Female,120,,
Civil Partnership,Application,2024,,Joint,Male,Female,59,,
Civil Partnership,Application,2024,,Joint,Female,Male,60,,
Civil Partnership,Application,2024,,Joint,Female,Female,115,,
Civil Partnership,Application,2024,,Sole,Unknown,N/A,15,,
Civil Partnership,Application,2024,,Sole,Female,N/A,251,,
Civil Partnership,Application,2024,,All,Unknown,Unknown,39,,
Civil Partnership,Application,2024,,All,Male,Male,330,,
Civil Partnership,Application,2025,,Joint,Male,Female,88,,
Civil Partnership,Application,2025,,Joint,Unknown,Unknown,22,,
Civil Partnership,Application,2025,,Joint,Female,Female,125,,
Civil Partnership,Application,2025,,Joint,Female,Male,95,,
Civil Partnership,Application,2025,,All,All,All,941,,
Civil Partnership,Application,2025,,Joint,All,All,484,,
Civil Partnership,Application,2025,,Sole,All,All,457,,
Civil Partnership,Application,2025,,All,Female,Male,179,,
Civil Partnership,Application,2025,,All,Male,Female,171,,
Civil Partnership,Application,2025,,All,Female,Female,271,,
Civil Partnership,Application,2025,,Joint,Male,Male,154,,
Civil Partnership,Application,2025,,Sole,Male,N/A,214,,
Civil Partnership,Application,2025,,Sole,Female,N/A,230,,
Civil Partnership,Application,2025,,Sole,Unknown,N/A,13,,
Civil Partnership,Application,2025,,All,Male,Male,285,,
Civil Partnership,Application,2025,,All,Unknown,Unknown,35,,
Civil Partnership,Application,,2022 Q2,All,Unknown,Unknown,21,,
Civil Partnership,Application,,2022 Q2,Joint,Female,Male,7,,
Civil Partnership,Application,,2022 Q2,Joint,Female,Female,44,,
Civil Partnership,Application,,2022 Q2,Joint,Male,Female,5,,
Civil Partnership,Application,,2022 Q2,All,All,All,287,,
Civil Partnership,Application,,2022 Q2,All,Male,Female,11,,
Civil Partnership,Application,,2022 Q2,All,Male,Male,112,,
Civil Partnership,Application,,2022 Q2,Sole,Male,N/A,66,,
Civil Partnership,Application,,2022 Q2,All,Female,Male,17,,
Civil Partnership,Application,,2022 Q2,All,Female,Female,126,,
Civil Partnership,Application,,2022 Q2,Sole,Unknown,N/A,12,,
Civil Partnership,Application,,2022 Q2,Joint,Unknown,Unknown,9,,
Civil Partnership,Application,,2022 Q2,Sole,Female,N/A,92,,
Civil Partnership,Application,,2022 Q2,Joint,Male,Male,52,,
