year,quarter,stage,quarters_after_application,number
2003,1,AR Application,9 to 10,282
2003,1,AR Application,10 to 11,176
2003,1,AR Application,11 to 12,134
2003,1,AR Application,12 to 13,111
2003,1,AR Application,13 to 14,90
2003,1,AR Application,14 to 15,48
2003,1,AR Application,15 to 16,50
2003,1,AR Application,40 to 41,4
2003,1,AR Application,41 to 42,3
2003,1,AR Application,42 to 43,3
2003,1,AR Application,44 to 45,2
2003,1,AR Application,45 to 46,4
2003,1,AR Application,46 to 47,2
2003,1,AR Application,47 to 48,2
2003,1,AR Application,48 to 49,2
2003,1,AR Application,49 to 50,2
2003,1,AR Application,50 to 51,3
2003,1,AR Application,51 to 52,2
2003,1,AR Application,54 to 55,1
2003,1,AR Application,55 to 56,1
2003,1,AR Application,56 to 57,4
2003,1,AR Application,58 to 59,4
2003,1,AR Application,59 to 60,1
2003,1,AR Application,61 to 62,1
2003,1,AR Application,62 to 63,1
2003,1,AR Application,63 to 64,1
2003,1,AR Application,64 to 65,1
2003,1,AR Application,65 to 66,1
2003,1,AR Application,67 to 68,5
2003,1,AR Application,68 to 69,1
2003,1,AR Application,72 to 73,1
2003,1,AR Application,73 to 74,2
2003,1,AR Application,75 to 76,1
2003,1,AR Application,76 to 77,1
2003,1,AR Application,77 to 78,1
2003,1,AR Application,81 to 82,2
2003,1,AR Application,85 to 86,1
2003,1,AR Application,87 to 88,1
2003,1,AR Application,89 to 90,2
2003,1,AR Application,24 to 25,6
2003,1,AR Application,25 to 26,15
2003,1,AR Application,26 to 27,5
2003,1,AR Application,27 to 28,7
2003,1,AR Application,28 to 29,9
2003,1,AR Application,29 to 30,7
2003,1,AR Application,30 to 31,4
2003,1,AR Application,31 to 32,4
2003,1,AR Application,32 to 33,5
2003,1,AR Application,33 to 34,4
2003,1,AR Application,34 to 35,10
2003,1,AR Application,35 to 36,1
2003,1,AR Application,36 to 37,2
2003,1,AR Application,37 to 38,5
2003,1,AR Application,38 to 39,1
2003,1,AR Application,39 to 40,2
2003,1,AR Application,16 to 17,33
2003,1,AR Application,17 to 18,39
2003,1,AR Application,18 to 19,22
2003,1,AR Application,19 to 20,22
2003,1,AR Application,20 to 21,13
2003,1,AR Application,21 to 22,20
2003,1,AR Application,22 to 23,19
2003,1,AR Application,23 to 24,17
2003,1,AR Order,43 to 44,2
2003,1,AR Order,45 to 46,5
2003,1,AR Order,46 to 47,2
2003,1,AR Order,47 to 48,1
2003,1,AR Order,48 to 49,2
2003,1,AR Order,50 to 51,4
2003,1,AR Order,51 to 52,5
2003,1,AR Order,52 to 53,3
2003,1,AR Order,53 to 54,3
2003,1,AR Order,54 to 55,2
2003,1,AR Order,55 to 56,1
2003,1,AR Order,56 to 57,3
2003,1,AR Order,58 to 59,5
2003,1,AR Order,59 to 60,2
2003,1,AR Order,60 to 61,1
2003,1,AR Order,61 to 62,3
2003,1,AR Order,62 to 63,1
2003,1,AR Order,63 to 64,2
2003,1,AR Order,64 to 65,1
2003,1,AR Order,66 to 67,2
2003,1,AR Order,67 to 68,4
2003,1,AR Order,68 to 69,1
2003,1,AR Order,71 to 72,1
2003,1,AR Order,72 to 73,1
2003,1,AR Order,91 to 92,1
2003,1,Decree Absolute,10 to 11,348
2003,1,Decree Absolute,9 to 10,501
2003,1,Decree Absolute,8 to 9,654
2003,1,Decree Absolute,7 to 8,936
2003,1,Decree Absolute,6 to 7,1409
2003,1,Decree Absolute,5 to 6,2034
2003,1,Decree Absolute,4 to 5,3115
2003,1,Decree Absolute,3 to 4,4734
2003,1,Decree Absolute,2 to 3,9202
2003,1,Decree Absolute,1 to 2,15608
2003,1,Decree Absolute,0 to 1,826
2003,1,Decree Absolute,90 to 91,1
2003,1,Decree Absolute,89 to 90,1
2003,1,Decree Absolute,87 to 88,1
2003,1,Decree Absolute,85 to 86,4
2003,1,Decree Absolute,83 to 84,2
2003,1,Decree Absolute,80 to 81,1
