stage,year,quarter,case_type,law,count,mean_weeks,median_weeks
Petition,2016,,Paper,Old,114039,,
Petition,2010,,Paper,Old,133268,,
Petition,2013,,Paper,Old,117483,,
Petition,2006,,Paper,Old,146765,,
Petition,2022,,Digital,Old,26724,,
Petition,2020,,Paper,Old,51885,,
Petition,2025,,Paper,New,3158,,
Petition,2019,,Paper,Old,104188,,
Petition,2018,,Paper,Old,118346,,
Petition,2022,,Paper,Old,3889,,
Petition,2025,,Digital,New,106026,,
Petition,2023,,Digital,New,107278,,
Petition,2015,,Paper,Old,114504,,
Petition,2003,,Paper,Old,170741,,
Petition,2005,,Paper,Old,149821,,
Petition,2009,,Paper,Old,131896,,
Petition,2012,,Paper,Old,124395,,
Petition,2020,,Digital,Old,61185,,
Petition,2021,,Paper,Old,26657,,
Petition,2008,,Paper,Old,128571,,
Petition,2023,,Paper,New,5795,,
Petition,2024,,Digital,New,106294,,
Petition,2022,,Paper,New,3694,,
Petition,2024,,Paper,New,4134,,
Petition,2021,,Digital,Old,81875,,
Petition,2011,,Paper,Old,129258,,
Petition,2014,,Paper,Old,112559,,
Petition,2017,,Paper,Old,109266,,
Petition,2007,,Paper,Old,135853,,
Petition,2004,,Paper,Old,165133,,
Petition,2019,,Digital,Old,12440,,
Petition,2022,,Digital,New,88177,,
Decree Absolute,,2007 Q4,All,Old,27809,46.594,31.286
Decree Absolute,,2021 Q2,All,Old,30566,48.915,28.429
Decree Absolute,,2016 Q4,All,Old,24810,52.857,30.714
Decree Absolute,,2011 Q2,All,Old,29026,49.003,32.429
Decree Absolute,,2014 Q4,All,Old,27135,48.637,28.571
Decree Absolute,,2019 Q2,All,Old,24221,58.167,40.857
Decree Absolute,,2008 Q2,All,Old,30851,47.813,33.714
Decree Absolute,,2022 Q2,All,Old,19716,55.925,31.143
Decree Absolute,,2007 Q1,All,Old,34612,46.189,31.571
Decree Absolute,,2007 Q2,All,Old,33129,45.835,31.571
Decree Absolute,,2005 Q3,All,Old,35876,45.077,31.143
Decree Absolute,,2021 Q4,All,Old,25753,52.395,27.857
Decree Absolute,,2019 Q1,All,Old,23968,60.482,39.857
Decree Absolute,,2010 Q2,All,Old,29764,48.449,32.357
Decree Absolute,,2006 Q3,All,Old,32816,45.945,31.429
Decree Absolute,,2025 Q1,All,New,20244,57.205,42.857
Decree Absolute,,2012 Q2,All,Old,29549,48.795,31.571
Decree Absolute,,2011 Q3,All,Old,30174,47.82,31.857
Decree Absolute,,2010 Q3,All,Old,30520,48.095,31.429
Decree Absolute,,2003 Q1,All,Old,38811,42.121,31.143
Decree Absolute,,2005 Q1,All,Old,35922,44.748,31.286
Decree Absolute,,2004 Q2,All,Old,37714,43.739,31.143
Decree Absolute,,2017 Q1,All,Old,27963,50.163,31.714
Decree Absolute,,2018 Q4,All,Old,24102,56.228,36.857
Decree Absolute,,2013 Q1,All,Old,28683,49.039,31.143
Decree Absolute,,2013 Q3,All,Old,29808,50.728,30.143
Decree Absolute,,2023 Q1,All,Old,9263,117.098,88.286
Decree Absolute,,2021 Q1,All,Old,30133,50.473,30.714
Decree Absolute,,2025 Q1,All,Old,1862,261.529,208.786
