YEAR,QUARTER,CASE_TYPE,Type,Order_type,Exparte_or_On_Notice,Power_of_arrest,Total
2011,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,3466
2011,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,3516
2011,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,3691
2011,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,3302
2012,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,3503
2012,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,3493
2012,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,3663
2012,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,3460
2013,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,3658
2013,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,3989
2013,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,4453
2013,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,4355
2014,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,4157
2014,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,4104
2014,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,4336
2014,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,4087
2015,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,3908
2015,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,3885
2015,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,4159
2015,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,3967
2016,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,3757
2016,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,4255
2016,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,4117
2016,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,3919
2017,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,4032
2017,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,4124
2017,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,4508
2017,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,4221
2018,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,4156
2018,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,4137
2018,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,4453
2018,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,4390
2019,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,4843
2019,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,4771
2019,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,5307
2019,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,5281
2020,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,5333
2020,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,5668
2020,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,6548
2020,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,6402
2021,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,6327
2021,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,5828
2021,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,5987
2021,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,5847
2022,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,5897
2022,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,5745
2022,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,5988
2022,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,5669
