Year,Quarter,Type,Total
2018,1,Application,14
2018,1,Cases concluded,6
2018,1,Cases started,14
2018,1,Order made,11
2018,2,Application,26
2018,2,Cases concluded,15
2018,2,Cases started,26
2018,2,Order made,52
2018,3,Application,39
2018,3,Cases concluded,20
2018,3,Cases started,39
2018,3,Order made,54
2018,4,Application,36
2018,4,Cases concluded,28
2018,4,Cases started,36
2018,4,Order made,80
2019,1,Application,39
2019,1,Cases concluded,18
2019,1,Cases started,39
2019,1,Order made,71
2019,2,Application,25
2019,2,Cases concluded,17
2019,2,Cases started,25
2019,2,Order made,68
2019,3,Application,43
2019,3,Cases concluded,40
2019,3,Cases started,43
2019,3,Order made,110
2019,4,Application,23
2019,4,Cases concluded,23
2019,4,Cases started,23
2019,4,Order made,60
2020,1,Application,19
2020,1,Cases concluded,14
2020,1,Cases started,19
2020,1,Order made,52
2020,2,Application,16
2020,2,Cases concluded,7
2020,2,Cases started,16
2020,2,Order made,47
2020,3,Application,12
2020,3,Cases concluded,13
2020,3,Cases started,12
2020,3,Order made,38
2020,4,Application,14
2020,4,Cases concluded,17
2020,4,Cases started,14
2020,4,Order made,47
2021,1,Application,10
2021,1,Cases concluded,7
2021,1,Cases started,10
2021,1,Order made,31
2021,2,Application,19
2021,2,Cases concluded,15
2021,2,Cases started,19
2021,2,Order made,51
2021,3,Application,11
2021,3,Cases concluded,8
2021,3,Cases started,11
2021,3,Order made,41
2021,4,Application,8
2021,4,Cases concluded,11
2021,4,Cases started,8
2021,4,Order made,26
2022,1,Application,13
2022,1,Cases concluded,13
2022,1,Cases started,13
2022,1,Order made,40
2022,2,Application,12
2022,2,Cases concluded,8
2022,2,Cases started,12
2022,2,Order made,25
2022,3,Application,20
2022,3,Cases concluded,11
2022,3,Cases started,20
2022,3,Order made,81
2022,4,Application,16
2022,4,Cases concluded,11
2022,4,Cases started,16
2022,4,Order made,22
2023,1,Application,20
2023,1,Cases concluded,17
2023,1,Cases started,20
2023,1,Order made,48
2023,2,Application,10
2023,2,Cases concluded,14
2023,2,Cases started,10
2023,2,Order made,26
2023,3,Application,13
2023,3,Cases concluded,15
2023,3,Cases started,13
2023,3,Order made,32
2023,4,Application,18
2023,4,Cases concluded,11
2023,4,Cases started,18
2023,4,Order made,26
2024,1,Application,17
2024,1,Cases concluded,12
2024,1,Cases started,17
2024,1,Order made,34
2024,2,Application,17
2024,2,Cases concluded,10
2024,2,Cases started,17
2024,2,Order made,29
2024,3,Application,15
2024,3,Cases concluded,12
2024,3,Cases started,15
2024,3,Order made,35
2024,4,Application,12
2024,4,Cases concluded,7
2024,4,Cases started,12
2024,4,Order made,28
2025,1,Application,23
2025,1,Cases concluded,12
2025,1,Cases started,23
2025,1,Order made,32
2025,2,Application,20
2025,2,Cases concluded,12
2025,2,Cases started,20
2025,2,Order made,43
2025,3,Application,39
2025,3,Cases concluded,18
2025,3,Cases started,39
2025,3,Order made,70
2025,4,Application,27
2025,4,Cases concluded,38
2025,4,Cases started,27
2025,4,Order made,82
