type,year,qtr,consent,count
Applications,2006,1,Uncontested,11072
Applications,2006,1,Contested,6826
Cases closed,2006,1,,13306
Cases started,2006,1,,15601
Disposals,2006,1,Uncontested,12158
Disposals,2006,1,Contested,3562
Disposals,2006,1,Initially Contested,4334
Applications,2006,2,Uncontested,10563
Applications,2006,2,Contested,6720
Cases closed,2006,2,,12284
Cases started,2006,2,,15199
Disposals,2006,2,Contested,3184
Disposals,2006,2,Initially Contested,3984
Disposals,2006,2,Uncontested,11320
Applications,2006,3,Uncontested,10533
Cases started,2007,1,,15376
Disposals,2007,1,Contested,3118
Disposals,2007,1,Uncontested,11668
Disposals,2007,1,Initially Contested,3850
Applications,2007,2,Contested,6444
Applications,2007,2,Uncontested,10500
Cases closed,2007,2,,12383
Cases started,2007,2,,14861
Disposals,2007,2,Contested,2914
Disposals,2007,2,Initially Contested,3729
Disposals,2007,2,Uncontested,11495
Applications,2007,3,Contested,6370
Applications,2007,3,Uncontested,10049
Cases closed,2007,3,,12156
Cases started,2007,3,,14329
Disposals,2007,3,Contested,2743
Disposals,2007,3,Uncontested,11155
Disposals,2007,3,Initially Contested,3681
Applications,2007,4,Uncontested,8822
Applications,2007,4,Contested,5687
Cases closed,2007,4,,10867
Cases started,2007,4,,12632
Disposals,2007,4,Contested,2764
Disposals,2007,4,Initially Contested,3380
Disposals,2007,4,Uncontested,10022
Applications,2008,1,Uncontested,9161
Applications,2008,1,Contested,5940
Cases closed,2008,1,,10954
Cases started,2008,1,,13262
Disposals,2008,1,Contested,2853
Disposals,2008,1,Uncontested,9954
Disposals,2008,1,Initially Contested,3501
Applications,2006,3,Contested,6756
Cases closed,2006,3,,12073
Cases started,2006,3,,15153
Disposals,2006,3,Contested,3142
Disposals,2006,3,Uncontested,11226
Disposals,2006,3,Initially Contested,3626
Applications,2006,4,Contested,6513
Applications,2006,4,Uncontested,10271
Cases closed,2006,4,,11993
Cases started,2006,4,,14677
Disposals,2006,4,Contested,2930
Disposals,2006,4,Initially Contested,3732
Disposals,2006,4,Uncontested,10999
Applications,2007,1,Uncontested,10635
Applications,2007,1,Contested,6866
Cases closed,2007,1,,12516
Applications,2008,2,Uncontested,9397
Applications,2008,2,Contested,5960
Cases closed,2008,2,,11022
Cases started,2008,2,,13414
Disposals,2008,2,Contested,2744
Disposals,2008,2,Uncontested,10319
Disposals,2008,2,Initially Contested,3322
Applications,2008,3,Contested,5593
Applications,2008,3,Uncontested,9067
Cases closed,2008,3,,10732
Cases started,2008,3,,12679
Disposals,2008,3,Contested,2814
Disposals,2008,3,Uncontested,9761
Disposals,2008,3,Initially Contested,3377
Applications,2008,4,Uncontested,8194
Applications,2008,4,Contested,5132
Cases closed,2008,4,,9750
Cases started,2008,4,,11560
Disposals,2008,4,Contested,2490
Disposals,2008,4,Initially Contested,3064
Disposals,2008,4,Uncontested,8851
Applications,2009,1,Contested,5216
Applications,2009,1,Uncontested,7572
Cases closed,2009,1,,9627
Cases started,2009,1,,11083
Disposals,2009,1,Contested,2681
Disposals,2009,1,Initially Contested,3119
Disposals,2009,1,Uncontested,8436
Applications,2009,2,Contested,5180
Applications,2009,2,Uncontested,7639
Cases closed,2009,2,,9199
Cases started,2009,2,,11140
Disposals,2009,2,Contested,2541
Disposals,2009,2,Initially Contested,2978
Disposals,2009,2,Uncontested,8175
Applications,2009,3,Uncontested,7983
Applications,2009,3,Contested,5153
Cases closed,2009,3,,9658
Cases started,2009,3,,11537
Disposals,2009,3,Contested,2550
Disposals,2009,3,Initially Contested,3104
Disposals,2009,3,Uncontested,8672
Applications,2009,4,Contested,5182
Applications,2009,4,Uncontested,8107
Cases closed,2009,4,,9439
Cases started,2009,4,,11685
Disposals,2009,4,Contested,2298
Disposals,2009,4,Initially Contested,2889
Disposals,2009,4,Uncontested,8635
Applications,2010,1,Uncontested,8291
Applications,2010,1,Contested,5161
Cases closed,2010,1,,9623
Cases started,2010,1,,11883
Disposals,2010,1,Contested,2472
Disposals,2010,1,Uncontested,8628
Disposals,2010,1,Initially Contested,3136
Applications,2010,2,Contested,4968
Applications,2010,2,Uncontested,7943
Cases closed,2010,2,,9805
Cases started,2010,2,,11405
Disposals,2010,2,Contested,2278
Disposals,2010,2,Uncontested,8800
Disposals,2010,2,Initially Contested,3110
Applications,2010,3,Contested,4907
Applications,2010,3,Uncontested,7936
Cases closed,2010,3,,10010
Cases started,2010,3,,11394
Disposals,2010,3,Contested,2437
Disposals,2010,3,Uncontested,8903
Disposals,2010,3,Initially Contested,3246
Applications,2010,4,Uncontested,7933
Applications,2010,4,Contested,4542
Cases closed,2010,4,,9542
Cases started,2010,4,,11066
Disposals,2010,4,Contested,2487
Disposals,2010,4,Uncontested,8608
Disposals,2010,4,Initially Contested,3000
Applications,2011,1,Uncontested,8285
Applications,2011,1,Contested,4908
Cases closed,2011,1,,10188
Cases started,2011,1,,11826
Disposals,2011,1,Contested,2639
Disposals,2011,1,Initially Contested,3244
Disposals,2011,1,Uncontested,8810
Applications,2011,2,Contested,2962
Applications,2011,2,Uncontested,6605
Cases closed,2011,2,,8805
Cases started,2011,2,,8461
Disposals,2011,2,Contested,2479
Disposals,2011,2,Uncontested,7489
Disposals,2011,2,Initially Contested,3022
Applications,2011,3,Uncontested,8143
Applications,2011,3,Contested,3690
Cases closed,2011,3,,9547
Cases started,2011,3,,10541
Disposals,2011,3,Contested,2399
Disposals,2011,3,Uncontested,8675
Disposals,2011,3,Initially Contested,2844
Applications,2011,4,Contested,4042
Applications,2011,4,Uncontested,7717
Cases closed,2011,4,,8921
Cases started,2011,4,,10517
Disposals,2011,4,Contested,2214
Disposals,2011,4,Uncontested,8389
Disposals,2011,4,Initially Contested,2614
Applications,2012,1,Uncontested,8249
Applications,2012,1,Contested,4352
Cases closed,2012,1,,9091
Cases started,2012,1,,11163
Disposals,2012,1,Contested,2385
Disposals,2012,1,Uncontested,8907
Disposals,2012,1,Initially Contested,2645
Applications,2012,2,Uncontested,7714
Applications,2012,2,Contested,4026
Cases closed,2012,2,,8432
Cases started,2012,2,,10432
Disposals,2012,2,Contested,2407
Disposals,2012,2,Initially Contested,2442
Disposals,2012,2,Uncontested,8174
Applications,2012,3,Contested,4063
Applications,2012,3,Uncontested,7796
Cases closed,2012,3,,8927
Cases started,2012,3,,10543
Disposals,2012,3,Contested,2313
Disposals,2012,3,Uncontested,8481
Disposals,2012,3,Initially Contested,2504
Applications,2012,4,Contested,4016
Applications,2012,4,Uncontested,7768
Cases closed,2012,4,,8981
Cases started,2012,4,,10498
Disposals,2012,4,Contested,2229
Disposals,2012,4,Uncontested,8330
Disposals,2012,4,Initially Contested,2614
Applications,2013,1,Uncontested,7308
Applications,2013,1,Contested,4103
Cases closed,2013,1,,8575
Cases started,2013,1,,10207
Disposals,2013,1,Contested,2204
Disposals,2013,1,Uncontested,7855
Disposals,2013,1,Initially Contested,2587
Applications,2013,2,Uncontested,7685
Applications,2013,2,Contested,4747
Cases closed,2013,2,,8768
Cases started,2013,2,,11214
Disposals,2013,2,Contested,2247
Disposals,2013,2,Uncontested,7887
Disposals,2013,2,Initially Contested,2551
Applications,2013,3,Contested,4203
Applications,2013,3,Uncontested,7886
Cases closed,2013,3,,9321
Cases started,2013,3,,10860
Disposals,2013,3,Contested,2238
Disposals,2013,3,Uncontested,8505
Disposals,2013,3,Initially Contested,2484
Applications,2013,4,Uncontested,7606
Applications,2013,4,Contested,3964
Cases closed,2013,4,,8851
Cases started,2013,4,,10385
Disposals,2013,4,Contested,2142
Disposals,2013,4,Uncontested,8101
Disposals,2013,4,Initially Contested,2464
Applications,2014,1,Contested,4078
Applications,2014,1,Uncontested,7427
Cases closed,2014,1,,8603
Cases started,2014,1,,10203
Disposals,2014,1,Contested,2124
Disposals,2014,1,Initially Contested,2607
Disposals,2014,1,Uncontested,7986
Applications,2014,2,Contested,2826
Applications,2014,2,Uncontested,7155
Cases closed,2014,2,,8136
Cases started,2014,2,,8729
Disposals,2014,2,Contested,2004
Disposals,2014,2,Uncontested,7560
Disposals,2014,2,Initially Contested,2414
Applications,2014,3,Contested,3100
Applications,2014,3,Uncontested,7315
Cases closed,2014,3,,8506
Cases started,2014,3,,9210
Disposals,2014,3,Contested,1796
Disposals,2014,3,Uncontested,7696
Disposals,2014,3,Initially Contested,2306
Applications,2014,4,Uncontested,7174
Applications,2014,4,Contested,3292
Cases closed,2014,4,,8240
Cases started,2014,4,,9280
