case_type,year,quarter,category,party,gender,representation,count
Adoption,2017,3,Party,Applicant,Female,N,1028
Adoption,2011,1,Party,Applicant,Male,N,1037
Adoption,2018,1,Party,Applicant,Female,N,920
Adoption,2018,2,Party,Applicant,Male,N,1104
Adoption,2011,2,Party,Applicant,Male,N,887
Adoption,2011,4,Party,Applicant,Female,N,814
Adoption,2014,2,Party,Applicant,Male,N,1461
Adoption,2013,1,Party,Applicant,Male,N,1287
Adoption,2012,1,Party,Applicant,Male,N,1120
Adoption,2011,3,Party,Applicant,Female,Y,74
Adoption,2012,3,Party,Applicant,Female,N,997
Adoption,2014,4,Party,Applicant,Female,N,1217
Adoption,2014,4,Party,Applicant,Male,Y,58
Adoption,2015,2,Party,Applicant,Female,N,1109
Adoption,2016,1,Party,Applicant,Male,N,1309
Adoption,2022,1,Party,Applicant,Female,Y,22
Adoption,2022,3,Party,Applicant,Male,N,847
Adoption,2022,4,Party,Applicant,Male,N,810
Adoption,2022,4,Party,Applicant,Female,N,699
Adoption,2023,1,Party,Applicant,Female,N,795
Adoption,2024,3,Party,Applicant,Male,N,796
Adoption,2019,1,Party,Applicant,Male,Y,37
Adoption,2024,1,Party,Applicant,Male,Y,23
Adoption,2018,4,Party,Applicant,Female,Y,23
Adoption,2025,2,Party,Applicant,Female,Y,17
Adoption,2025,2,Party,Applicant,Female,N,643
Adoption,2025,3,Party,Applicant,Female,Y,14
Adoption,2025,3,Party,Applicant,Female,N,676
Adoption,2025,4,Party,Applicant,Male,N,695
Adoption,2025,4,Party,Applicant,Female,N,613
Adoption,2019,4,Party,Applicant,Male,Y,45
Adoption,2020,4,Party,Applicant,Female,Y,21
Adoption,2023,4,Party,Applicant,Female,Y,18
Adoption,2020,1,Party,Applicant,Male,Y,24
Adoption,2025,1,Party,Applicant,Female,Y,21
Adoption,2022,3,Party,Applicant,Female,Y,28
Adoption,2023,2,Party,Applicant,Male,Y,26
Adoption,2023,2,Party,Applicant,Female,Y,22
Adoption,2020,2,Party,Applicant,Male,Y,21
Adoption,2024,2,Party,Applicant,Female,Y,29
Adoption,2016,1,Party,Applicant,Female,Y,41
Adoption,2017,2,Party,Applicant,Female,Y,26
Adoption,2025,3,Party,Applicant,Unknown,N,9
Adoption,2016,1,Party,Applicant,Male,Y,52
Adoption,2021,1,Party,Applicant,Male,Y,19
Adoption,2021,1,Party,Applicant,Female,Y,17
Adoption,2016,4,Party,Applicant,Unknown,N,8
Adoption,2016,2,Party,Applicant,Male,Y,44
Adoption,2012,1,Party,Applicant,Male,Y,60
Adoption,2011,4,Party,Applicant,Female,Y,76
Adoption,2014,3,Party,Applicant,Female,Y,70
Adoption,2018,4,Party,Applicant,Male,N,1126
Adoption,2018,4,Party,Applicant,Female,N,988
Adoption,2019,1,Party,Applicant,Male,N,1112
Adoption,2019,2,Party,Applicant,Male,N,1070
Adoption,2019,3,Party,Applicant,Male,N,1047
Adoption,2019,4,Party,Applicant,Male,N,1023
Adoption,2020,2,Party,Applicant,Female,N,639
Adoption,2020,3,Party,Applicant,Male,N,956
Adoption,2020,3,Party,Applicant,Female,N,767
Adoption,2021,2,Party,Applicant,Female,N,764
Adoption,2021,3,Party,Applicant,Male,N,775
Adoption,2021,4,Party,Applicant,Male,N,916
Adoption,2016,3,Party,Applicant,Unknown,N,7
Adoption,2017,1,Party,Applicant,Unknown,N,3
Adoption,2023,2,Party,Applicant,Unknown,N,4
Adoption,2015,1,Party,Applicant,Unknown,N,3
Adoption,2019,3,Party,Applicant,Unknown,N,1
Adoption,2014,2,Party,Applicant,Unknown,N,1
Adoption,2020,4,Party,Applicant,Unknown,Y,1
Adoption,2017,3,Party,Applicant,Male,N,1193
Adoption,2011,2,Party,Applicant,Female,Y,74
Adoption,2013,3,Party,Applicant,Male,N,1313
Adoption,2014,2,Party,Applicant,Female,N,1386
Adoption,2011,3,Party,Applicant,Female,N,788
Adoption,2011,1,Party,Applicant,Male,Y,89
Adoption,2011,1,Party,Applicant,Female,Y,81
Adoption,2012,2,Party,Applicant,Male,N,999
Adoption,2013,2,Party,Applicant,Male,N,1336
Adoption,2011,4,Party,Applicant,Male,N,881
Adoption,2012,2,Party,Applicant,Female,Y,70
Adoption,2012,3,Party,Applicant,Male,N,972
Adoption,2012,4,Party,Applicant,Female,N,1091
Adoption,2011,3,Party,Applicant,Male,Y,73
Adoption,2012,4,Party,Applicant,Female,Y,75
Adoption,2014,1,Party,Applicant,Female,Y,77
Adoption,2014,3,Party,Applicant,Male,N,1414
Adoption,2014,4,Party,Applicant,Male,N,1282
Adoption,2015,1,Party,Applicant,Female,N,1374
Adoption,2015,2,Party,Applicant,Male,N,1223
Adoption,2015,3,Party,Applicant,Male,N,1337
Adoption,2015,4,Party,Applicant,Male,N,1214
Adoption,2016,4,Party,Applicant,Male,N,1209
Adoption,2013,3,Party,Applicant,Unknown,N,7
Adoption,2013,3,Party,Applicant,Female,Y,54
Adoption,2013,3,Party,Applicant,Male,Y,60
Adoption,2017,2,Party,Applicant,Male,N,1093
Adoption,2017,4,Party,Applicant,Female,N,1002
Adoption,2019,1,Party,Applicant,Female,N,976
Adoption,2019,2,Party,Applicant,Female,N,904
Adoption,2019,3,Party,Applicant,Female,N,915
Adoption,2020,1,Party,Applicant,Male,N,921
Adoption,2020,1,Party,Applicant,Female,N,834
Adoption,2020,4,Party,Applicant,Male,N,1001
Adoption,2021,2,Party,Applicant,Male,N,893
Adoption,2021,2,Party,Applicant,Female,Y,29
Adoption,2021,3,Party,Applicant,Female,N,707
Adoption,2022,1,Party,Applicant,Female,N,768
Adoption,2022,1,Party,Applicant,Male,N,869
Adoption,2022,3,Party,Applicant,Female,N,735
Adoption,2023,2,Party,Applicant,Male,N,869
Adoption,2023,2,Party,Applicant,Female,N,729
Adoption,2023,4,Party,Applicant,Female,N,795
Adoption,2023,4,Party,Applicant,Male,N,977
Adoption,2017,1,Party,Applicant,Male,Y,46
Adoption,2016,4,Party,Applicant,Female,Y,33
Adoption,2018,3,Party,Applicant,Male,Y,34
Adoption,2022,2,Party,Applicant,Female,Y,24
Adoption,2024,1,Party,Applicant,Female,Y,24
Adoption,2025,1,Party,Applicant,Male,N,836
Adoption,2025,2,Party,Applicant,Male,N,745
Adoption,2025,3,Party,Applicant,Male,N,753
Adoption,2024,4,Party,Applicant,Male,Y,20
Adoption,2013,4,Party,Applicant,Female,Y,60
Adoption,2013,4,Party,Applicant,Male,Y,54
Adoption,2013,1,Party,Applicant,Female,Y,59
Adoption,2018,2,Party,Applicant,Male,Y,58
Adoption,2022,2,Party,Applicant,Female,N,661
Adoption,2023,3,Party,Applicant,Male,N,868
Adoption,2023,3,Party,Applicant,Female,N,718
Adoption,2024,1,Party,Applicant,Female,N,741
Adoption,2024,1,Party,Applicant,Male,N,867
Adoption,2017,1,Party,Applicant,Female,Y,34
Adoption,2018,1,Party,Applicant,Female,Y,41
Adoption,2019,3,Party,Applicant,Male,Y,25
Adoption,2024,2,Party,Applicant,Male,N,846
Adoption,2024,2,Party,Applicant,Female,N,770
Adoption,2024,4,Party,Applicant,Female,N,746
Adoption,2018,3,Party,Applicant,Female,Y,31
Adoption,2022,2,Party,Applicant,Male,Y,15
Adoption,2017,3,Party,Applicant,Male,Y,44
Adoption,2025,1,Party,Applicant,Female,N,682
Adoption,2025,2,Party,Applicant,Male,Y,21
Adoption,2025,3,Party,Applicant,Male,Y,15
Adoption,2012,3,Party,Applicant,Male,Y,42
Adoption,2022,4,Party,Applicant,Male,Y,24
Adoption,2022,4,Party,Applicant,Female,Y,26
Adoption,2015,1,Party,Applicant,Female,Y,62
Adoption,2015,1,Party,Applicant,Male,Y,63
Adoption,2024,3,Party,Applicant,Male,Y,24
Adoption,2016,3,Party,Applicant,Male,Y,36
Adoption,2024,3,Party,Applicant,Female,Y,18
Adoption,2024,4,Party,Applicant,Unknown,N,29
Adoption,2015,2,Party,Applicant,Female,Y,55
Adoption,2015,2,Party,Applicant,Male,Y,52
Adoption,2018,1,Party,Applicant,Male,Y,41
Adoption,2021,4,Party,Applicant,Male,Y,37
Adoption,2017,2,Party,Applicant,Male,Y,28
Adoption,2019,2,Party,Applicant,Male,Y,27
Adoption,2021,4,Party,Applicant,Female,Y,24
Adoption,2025,4,Party,Applicant,Unknown,N,10
Adoption,2020,3,Party,Applicant,Female,Y,30
Adoption,2017,4,Party,Applicant,Unknown,N,2
Adoption,2025,4,Party,Applicant,Male,Y,20
Adoption,2011,3,Party,Applicant,Unknown,N,1
Adoption,2013,2,Party,Applicant,Unknown,N,2
Adoption,2011,1,Party,Applicant,Unknown,Y,2
Adoption,2013,1,Party,Applicant,Unknown,Y,1
Adoption,2011,2,Party,Applicant,Unknown,Y,1
Adoption,2023,1,Party,Applicant,Unknown,N,2
Adoption,2022,1,Party,Applicant,Unknown,N,4
Adoption,2021,4,Party,Applicant,Unknown,N,2
Adoption,2022,4,Party,Applicant,Unknown,N,2
Adoption,2012,4,Party,Applicant,Unknown,N,2
Adoption,2022,3,Party,Applicant,Unknown,N,2
Adoption,2014,4,Party,Applicant,Unknown,N,1
Adoption,2019,1,Party,Applicant,Unknown,N,8
Adoption,2024,1,Party,Applicant,Unknown,N,12
Adoption,2022,3,Party,Applicant,Male,Y,26
Adoption,2017,2,Party,Applicant,Unknown,N,3
Adoption,2021,2,Party,Applicant,Unknown,N,3
Adoption,2024,4,Party,Applicant,Female,Y,16
Adoption,2024,3,Party,Applicant,Unknown,N,31
Adoption,2025,2,Party,Applicant,Unknown,N,13
Adoption,2019,2,Party,Applicant,Female,Y,20
Adoption,2021,3,Party,Applicant,Male,Y,29
Adoption,2023,1,Party,Applicant,Female,Y,20
Adoption,2023,1,Party,Applicant,Male,Y,23
Adoption,2020,3,Party,Applicant,Male,Y,29
