year,country,ua_county,application_count,,
2011,Confidentiality requested,Confidentiality requested,2031,,
2011,England,Bath and North East Somerset UA,328,,
2011,England,Bedford UA,343,,
2011,England,Blackburn with Darwen UA,270,,
2011,England,Blackpool UA,357,,
2011,England,"Bournemouth, Christchurch and Poole UA",907,,
2011,England,Bracknell Forest UA,286,,
2011,England,Brighton and Hove UA,528,,
2011,England,"Bristol, City of UA",763,,
2011,England,Buckinghamshire UA,1100,,
2011,England,Cambridgeshire,1318,,
2011,England,Central Bedfordshire UA,629,,
2011,England,Cheshire East UA,785,,
2011,England,Cheshire West and Chester UA,730,,
2011,England,Cornwall & Isles of Scilly,1286,,
2011,England,County Durham UA,868,,
2011,England,Cumberland UA,516,,
2011,England,Darlington UA,211,,
2011,England,Derby UA,501,,
2011,England,Derbyshire,1723,,
2011,England,Devon,1659,,
2011,England,Dorset UA,838,,
2011,England,East Riding of Yorkshire UA,708,,
2011,England,East Sussex,1164,,
2011,England,Essex,3044,,
2011,England,Gloucestershire,1328,,
2011,England,Greater Manchester (Met County),5184,,
2011,England,Halton UA,235,,
2011,England,Hampshire,3161,,
2011,England,Hartlepool UA,142,,
2011,England,"Herefordshire, County of UA",350,,
2011,England,Hertfordshire,2170,,
2011,England,Inner London,6140,,
2011,England,Isle of Wight UA,346,,
2011,England,Kent,3058,,
2011,England,"Kingston upon Hull, City of UA",505,,
2011,England,Lancashire,2478,,
2011,England,Leicester UA,542,,
2011,England,Leicestershire,1284,,
2011,England,Lincolnshire,1635,,
2011,England,Luton UA,395,,
2011,England,Medway UA,587,,
2011,England,Merseyside (Met County),2227,,
2011,England,Middlesbrough UA,272,,
2011,England,Milton Keynes UA,651,,
2011,England,Norfolk,1976,,
2011,England,North East Lincolnshire UA,286,,
2011,England,North Lincolnshire UA,414,,
2011,England,North Northamptonshire UA,706,,
2011,England,North Somerset UA,444,,
2011,England,North Yorkshire UA,1258,,
2011,England,Northumberland UA,577,,
2011,England,Nottingham UA,506,,
2011,England,Nottinghamshire,1730,,
2011,England,Outer London,9385,,
2011,England,Oxfordshire,1346,,
2011,England,Peterborough UA,447,,
2011,England,Plymouth UA,602,,
2011,England,Portsmouth UA,468,,
2011,England,Reading UA,351,,
2011,England,Redcar and Cleveland UA,281,,
2011,England,Rutland UA,87,,
2011,England,Shropshire UA,560,,
2011,England,Slough UA,332,,
2011,England,Somerset UA,1206,,
2011,England,South Gloucestershire UA,565,,
2011,England,South Yorkshire (Met County),2487,,
2011,England,Southampton UA,465,,
2011,England,Southend-on-Sea UA,370,,
2011,England,Staffordshire,1858,,
2011,England,Stockton-on-Tees UA,361,,
2011,England,Stoke-on-Trent UA,629,,
2011,England,Suffolk,1697,,
2011,England,Surrey,2224,,
2011,England,Swindon UA,543,,
2011,England,Telford and Wrekin UA,404,,
2011,England,Thurrock UA,367,,
2011,England,Torbay UA,347,,
2011,England,Tyne and Wear (Met County),2013,,
2011,England,Warrington UA,416,,
2011,England,Warwickshire,1168,,
2011,England,West Berkshire UA,342,,
2011,England,West Midlands (Met County),4936,,
2011,England,West Northamptonshire UA,903,,
2011,England,West Sussex,1779,,
2011,England,West Yorkshire (Met County),4607,,
2011,England,Westmorland and Furness UA,428,,
2011,England,Wiltshire UA,1070,,
2011,England,Windsor and Maidenhead UA,410,,
2011,England,Wokingham UA,307,,
2011,England,Worcestershire,1272,,
2011,England,York UA,380,,
2011,Invalid postcode or foreign,Invalid postcode or foreign,1641,,
2011,Unknown,Unknown,11397,,
2011,Wales,Blaenau Gwent,129,,
2011,Wales,Bridgend,290,,
2011,Wales,Caerphilly,375,,
2011,Wales,Cardiff,778,,
2011,Wales,Carmarthenshire,349,,
2011,Wales,Ceredigion,129,,
2011,Wales,Conwy,222,,
2011,Wales,Denbighshire,193,,
2011,Wales,Flintshire,325,,
2011,Wales,Gwynedd,174,,
2011,Wales,Isle of Anglesey,122,,
2011,Wales,Merthyr Tydfil,98,,
2011,Wales,Monmouthshire,199,,
2011,Wales,Neath Port Talbot,292,,
2011,Wales,Newport,289,,
2011,Wales,Pembrokeshire,232,,
2011,Wales,Powys,196,,
2011,Wales,Rhondda Cynon Taf,405,,
2011,Wales,Swansea,424,,
2011,Wales,Torfaen,237,,
2011,Wales,Vale of Glamorgan,251,,
2011,Wales,Wrexham,192,,
2012,Confidentiality requested,Confidentiality requested,2544,,
2012,England,Bath and North East Somerset UA,319,,
2012,England,Bedford UA,370,,
2012,England,Blackburn with Darwen UA,281,,
2012,England,Blackpool UA,319,,
2012,England,"Bournemouth, Christchurch and Poole UA",864,,
2012,England,Bracknell Forest UA,266,,
2012,England,Brighton and Hove UA,495,,
2012,England,"Bristol, City of UA",703,,
2012,England,Buckinghamshire UA,1058,,
2012,England,Cambridgeshire,1246,,
2012,England,Central Bedfordshire UA,598,,
2012,England,Cheshire East UA,846,,
2012,England,Cheshire West and Chester UA,679,,
2012,England,Cornwall & Isles of Scilly,1264,,
2012,England,County Durham UA,967,,
2012,England,Cumberland UA,487,,
2012,England,Darlington UA,250,,
2012,England,Derby UA,490,,
2012,England,Derbyshire,1738,,
2012,England,Devon,1631,,
2012,England,Dorset UA,840,,
2012,England,East Riding of Yorkshire UA,714,,
2012,England,East Sussex,1113,,
2012,England,Essex,2921,,
2012,England,Gloucestershire,1283,,
2012,England,Greater Manchester (Met County),5092,,
2012,England,Halton UA,245,,
2012,England,Hampshire,3085,,
2012,England,Hartlepool UA,177,,
2012,England,"Herefordshire, County of UA",383,,
2012,England,Hertfordshire,2140,,
2012,England,Inner London,5799,,
2012,England,Isle of Wight UA,311,,
2012,England,Kent,3113,,
2012,England,"Kingston upon Hull, City of UA",539,,
2012,England,Lancashire,2462,,
2012,England,Leicester UA,568,,
2012,England,Leicestershire,1318,,
2012,England,Lincolnshire,1736,,
2012,England,Luton UA,438,,
2012,England,Medway UA,588,,
2012,England,Merseyside (Met County),2187,,
2012,England,Middlesbrough UA,250,,
2012,England,Milton Keynes UA,624,,
2012,England,Norfolk,1898,,
2012,England,North East Lincolnshire UA,379,,
2012,England,North Lincolnshire UA,423,,
2012,England,North Northamptonshire UA,630,,
2012,England,North Somerset UA,462,,
2012,England,North Yorkshire UA,1236,,
2012,England,Northumberland UA,641,,
2012,England,Nottingham UA,586,,
2012,England,Nottinghamshire,1795,,
2012,England,Outer London,9185,,
2012,England,Oxfordshire,1330,,
2012,England,Peterborough UA,381,,
2012,England,Plymouth UA,547,,
2012,England,Portsmouth UA,473,,
2012,England,Reading UA,323,,
2012,England,Redcar and Cleveland UA,282,,
2012,England,Rutland UA,75,,
2012,England,Shropshire UA,670,,
2012,England,Slough UA,368,,
2012,England,Somerset UA,1156,,
2012,England,South Gloucestershire UA,537,,
2012,England,South Yorkshire (Met County),2554,,
2012,England,Southampton UA,459,,
2012,England,Southend-on-Sea UA,367,,
2012,England,Staffordshire,1761,,
2012,England,Stockton-on-Tees UA,415,,
2012,England,Stoke-on-Trent UA,475,,
2012,England,Suffolk,1552,,
2012,England,Surrey,2250,,
2012,England,Swindon UA,953,,
2012,England,Telford and Wrekin UA,456,,
2012,England,Thurrock UA,324,,
2012,England,Torbay UA,312,,
2012,England,Tyne and Wear (Met County),1862,,
2012,England,Warrington UA,429,,
2012,England,Warwickshire,1161,,
2012,England,West Berkshire UA,284,,
2012,England,West Midlands (Met County),4853,,
2012,England,West Northamptonshire UA,869,,
2012,England,West Sussex,1808,,
2012,England,West Yorkshire (Met County),4429,,
2012,England,Westmorland and Furness UA,410,,
2012,England,Wiltshire UA,1110,,
2012,England,Windsor and Maidenhead UA,312,,
2012,England,Wokingham UA,321,,
2012,England,Worcestershire,1183,,
2012,England,York UA,347,,
2012,Invalid postcode or foreign,Invalid postcode or foreign,1524,,
2012,Unknown,Unknown,7697,,
2012,Wales,Blaenau Gwent,118,,
2012,Wales,Bridgend,296,,
2012,Wales,Caerphilly,381,,
2012,Wales,Cardiff,633,,
2012,Wales,Carmarthenshire,340,,
2012,Wales,Ceredigion,100,,
2012,Wales,Conwy,242,,
2012,Wales,Denbighshire,202,,
2012,Wales,Flintshire,337,,
2012,Wales,Gwynedd,172,,
2012,Wales,Isle of Anglesey,130,,
2012,Wales,Merthyr Tydfil,83,,
2012,Wales,Monmouthshire,190,,
2012,Wales,Neath Port Talbot,243,,
2012,Wales,Newport,308,,
2012,Wales,Pembrokeshire,292,,
2012,Wales,Powys,254,,
2012,Wales,Rhondda Cynon Taf,423,,
2012,Wales,Swansea,451,,
2012,Wales,Torfaen,173,,
2012,Wales,Vale of Glamorgan,229,,
2012,Wales,Wrexham,276,,
2013,Confidentiality requested,Confidentiality requested,2533,,
2013,England,Bath and North East Somerset UA,283,,
2013,England,Bedford UA,335,,
2013,England,Blackburn with Darwen UA,247,,
2013,England,Blackpool UA,325,,
2013,England,"Bournemouth, Christchurch and Poole UA",840,,
2013,England,Bracknell Forest UA,252,,
2013,England,Brighton and Hove UA,540,,
2013,England,"Bristol, City of UA",717,,
2013,England,Buckinghamshire UA,1002,,
2013,England,Cambridgeshire,1236,,
2013,England,Central Bedfordshire UA,610,,
2013,England,Cheshire East UA,759,,
2013,England,Cheshire West and Chester UA,632,,
2013,England,Cornwall & Isles of Scilly,1132,,
2013,England,County Durham UA,939,,
2013,England,Cumberland UA,486,,
2013,England,Darlington UA,205,,
2013,England,Derby UA,467,,
2013,England,Derbyshire,1596,,
2013,England,Devon,1606,,
2013,England,Dorset UA,783,,
2013,England,East Riding of Yorkshire UA,690,,
2013,England,East Sussex,1008,,
2013,England,Essex,2866,,
2013,England,Gloucestershire,1230,,
2013,England,Greater Manchester (Met County),4729,,
2013,England,Halton UA,228,,
2013,England,Hampshire,2950,,
2013,England,Hartlepool UA,170,,
2013,England,"Herefordshire, County of UA",362,,
2013,England,Hertfordshire,2064,,
2013,England,Inner London,5038,,
2013,England,Isle of Wight UA,324,,
2013,England,Kent,2998,,
2013,England,"Kingston upon Hull, City of UA",448,,
2013,England,Lancashire,2282,,
2013,England,Leicester UA,535,,
2013,England,Leicestershire,1331,,
2013,England,Lincolnshire,1631,,
2013,England,Luton UA,360,,
2013,England,Medway UA,551,,
2013,England,Merseyside (Met County),1982,,
2013,England,Middlesbrough UA,205,,
2013,England,Milton Keynes UA,561,,
2013,England,Norfolk,1789,,
2013,England,North East Lincolnshire UA,322,,
2013,England,North Lincolnshire UA,378,,
2013,England,North Northamptonshire UA,666,,
2013,England,North Somerset UA,435,,
2013,England,North Yorkshire UA,1281,,
2013,England,Northumberland UA,568,,
2013,England,Nottingham UA,513,,
2013,England,Nottinghamshire,1648,,
2013,England,Outer London,8620,,
2013,England,Oxfordshire,1258,,
2013,England,Peterborough UA,382,,
2013,England,Plymouth UA,497,,
2013,England,Portsmouth UA,420,,
2013,England,Reading UA,293,,
2013,England,Redcar and Cleveland UA,268,,
2013,England,Rutland UA,77,,
2013,England,Shropshire UA,576,,
2013,England,Slough UA,329,,
2013,England,Somerset UA,1096,,
2013,England,South Gloucestershire UA,510,,
2013,England,South Yorkshire (Met County),2444,,
2013,England,Southampton UA,430,,
2013,England,Southend-on-Sea UA,349,,
2013,England,Staffordshire,1765,,
2013,England,Stockton-on-Tees UA,348,,
2013,England,Stoke-on-Trent UA,420,,
2013,England,Suffolk,1540,,
2013,England,Surrey,2126,,
2013,England,Swindon UA,1064,,
2013,England,Telford and Wrekin UA,366,,
2013,England,Thurrock UA,332,,
2013,England,Torbay UA,259,,
2013,England,Tyne and Wear (Met County),1734,,
2013,England,Warrington UA,409,,
2013,England,Warwickshire,1110,,
2013,England,West Berkshire UA,295,,
2013,England,West Midlands (Met County),4647,,
2013,England,West Northamptonshire UA,807,,
2013,England,West Sussex,1753,,
2013,England,West Yorkshire (Met County),4102,,
2013,England,Westmorland and Furness UA,409,,
2013,England,Wiltshire UA,1078,,
2013,England,Windsor and Maidenhead UA,278,,
2013,England,Wokingham UA,293,,
2013,England,Worcestershire,1104,,
2013,England,York UA,386,,
2013,Invalid postcode or foreign,Invalid postcode or foreign,1327,,
2013,Unknown,Unknown,7638,,
2013,Wales,Blaenau Gwent,118,,
2013,Wales,Bridgend,282,,
2013,Wales,Caerphilly,329,,
2013,Wales,Cardiff,578,,
2013,Wales,Carmarthenshire,341,,
2013,Wales,Ceredigion,108,,
2013,Wales,Conwy,239,,
2013,Wales,Denbighshire,184,,
2013,Wales,Flintshire,330,,
2013,Wales,Gwynedd,163,,
2013,Wales,Isle of Anglesey,117,,
2013,Wales,Merthyr Tydfil,83,,
