Category,Type,Year,Quarter,Count
Application Type,EPA,2008,Q1,5364
Application Type,EPA,2008,Q2,5830
Application Type,EPA,2008,Q3,5751
Application Type,EPA,2008,Q4,4847
Application Type,EPA,2009,Q1,3829
Application Type,EPA,2009,Q2,5775
Application Type,EPA,2009,Q3,4988
Application Type,EPA,2009,Q4,4692
Application Type,EPA,2010,Q1,4519
Application Type,EPA,2010,Q2,5122
Application Type,EPA,2010,Q3,4873
Application Type,EPA,2010,Q4,4344
Application Type,EPA,2011,Q1,4524
Application Type,EPA,2011,Q2,4364
Application Type,EPA,2011,Q3,3979
Application Type,EPA,2011,Q4,3520
Application Type,EPA,2012,Q1,4581
Application Type,EPA,2012,Q2,4421
Application Type,EPA,2012,Q3,3954
Application Type,EPA,2012,Q4,4390
Application Type,EPA,2013,Q1,3936
Application Type,EPA,2013,Q2,4230
Application Type,EPA,2013,Q3,3787
Application Type,EPA,2013,Q4,3530
Application Type,EPA,2014,Q1,3756
Application Type,EPA,2014,Q2,3521
Application Type,EPA,2014,Q3,3464
Application Type,EPA,2014,Q4,3865
Application Type,EPA,2015,Q1,3477
Application Type,EPA,2015,Q2,3741
Application Type,EPA,2015,Q3,3273
Application Type,EPA,2015,Q4,2927
Application Type,EPA,2016,Q1,3177
Application Type,EPA,2016,Q2,3035
Application Type,EPA,2016,Q3,3078
Application Type,EPA,2016,Q4,2900
Application Type,EPA,2017,Q1,3131
Application Type,EPA,2017,Q2,2953
Application Type,EPA,2017,Q3,2822
Application Type,EPA,2017,Q4,2381
Application Type,EPA,2018,Q1,2647
Application Type,EPA,2018,Q2,2712
Application Type,EPA,2018,Q3,2446
Application Type,EPA,2018,Q4,2233
Application Type,EPA,2019,Q1,2233
Application Type,EPA,2019,Q2,2223
Application Type,EPA,2019,Q3,2183
Application Type,EPA,2019,Q4,1983
Application Type,EPA,2020,Q1,1920
Application Type,EPA,2020,Q2,1637
Application Type,EPA,2020,Q3,1613
Application Type,EPA,2020,Q4,1851
Application Type,EPA,2021,Q1,1981
Application Type,EPA,2021,Q2,1809
Application Type,EPA,2021,Q3,1822
Application Type,EPA,2021,Q4,1185
Application Type,EPA,2022,Q1,1458
Application Type,EPA,2022,Q2,1840
Application Type,EPA,2022,Q3,1501
Application Type,EPA,2022,Q4,1689
Application Type,EPA,2023,Q1,1480
Application Type,EPA,2023,Q2,1839
Application Type,EPA,2023,Q3,1508
Application Type,EPA,2023,Q4,1234
Application Type,EPA,2024,Q1,1585
Application Type,EPA,2024,Q2,1394
Application Type,EPA,2024,Q3,1299
Application Type,EPA,2024,Q4,1198
Application Type,EPA,2025,Q1,1199
Application Type,EPA,2025,Q2,1111
Application Type,EPA,2025,Q3,1035
Application Type,EPA,2025,Q4,1064
Application Type,LPA,2008,Q1,1084
Application Type,LPA,2008,Q2,3876
Application Type,LPA,2008,Q3,13709
Application Type,LPA,2008,Q4,17536
Application Type,LPA,2009,Q1,14317
Application Type,LPA,2009,Q2,20502
Application Type,LPA,2009,Q3,22206
Application Type,LPA,2009,Q4,20494
Application Type,LPA,2010,Q1,21802
Application Type,LPA,2010,Q2,38755
Application Type,LPA,2010,Q3,35595
Application Type,LPA,2010,Q4,32595
Application Type,LPA,2011,Q1,45378
Application Type,LPA,2011,Q2,36543
Application Type,LPA,2011,Q3,49635
Application Type,LPA,2011,Q4,45481
Application Type,LPA,2012,Q1,50836
Application Type,LPA,2012,Q2,50671
Application Type,LPA,2012,Q3,61410
Application Type,LPA,2012,Q4,61506
Application Type,LPA,2013,Q1,55272
Application Type,LPA,2013,Q2,70957
Application Type,LPA,2013,Q3,69202
Application Type,LPA,2013,Q4,62534
Application Type,LPA,2014,Q1,57627
Application Type,LPA,2014,Q2,71340
Application Type,LPA,2014,Q3,116798
Application Type,LPA,2014,Q4,106390
Application Type,LPA,2015,Q1,100751
Application Type,LPA,2015,Q2,120974
Application Type,LPA,2015,Q3,112875
Application Type,LPA,2015,Q4,110145
Application Type,LPA,2016,Q1,127276
Application Type,LPA,2016,Q2,135062
Application Type,LPA,2016,Q3,171446
Application Type,LPA,2016,Q4,165516
Application Type,LPA,2017,Q1,162414
Application Type,LPA,2017,Q2,161452
Application Type,LPA,2017,Q3,177912
Application Type,LPA,2017,Q4,182840
Application Type,LPA,2018,Q1,177575
Application Type,LPA,2018,Q2,180983
Application Type,LPA,2018,Q3,192858
Application Type,LPA,2018,Q4,176043
Application Type,LPA,2019,Q1,192732
Application Type,LPA,2019,Q2,205195
Application Type,LPA,2019,Q3,227789
Application Type,LPA,2019,Q4,208443
Application Type,LPA,2020,Q1,224830
Application Type,LPA,2020,Q2,99861
Application Type,LPA,2020,Q3,162922
Application Type,LPA,2020,Q4,183126
Application Type,LPA,2021,Q1,190590
Application Type,LPA,2021,Q2,160199
Application Type,LPA,2021,Q3,169329
Application Type,LPA,2021,Q4,188189
Application Type,LPA,2022,Q1,202406
Application Type,LPA,2022,Q2,192446
Application Type,LPA,2022,Q3,200683
Application Type,LPA,2022,Q4,249687
Application Type,LPA,2023,Q1,269178
Application Type,LPA,2023,Q2,275164
Application Type,LPA,2023,Q3,301943
Application Type,LPA,2023,Q4,315185
Application Type,LPA,2024,Q1,378333
Application Type,LPA,2024,Q2,379239
Application Type,LPA,2024,Q3,411632
Application Type,LPA,2024,Q4,321011
Application Type,LPA,2025,Q1,299689
Application Type,LPA,2025,Q2,292320
Application Type,LPA,2025,Q3,383848
Application Type,LPA,2025,Q4,356705
Case Subtype,Health and Welfare,2008,Q1,190
Case Subtype,Health and Welfare,2008,Q2,651
Case Subtype,Health and Welfare,2008,Q3,2351
Case Subtype,Health and Welfare,2008,Q4,3165
Case Subtype,Health and Welfare,2009,Q1,2469
Case Subtype,Health and Welfare,2009,Q2,3502
Case Subtype,Health and Welfare,2009,Q3,3753
Case Subtype,Health and Welfare,2009,Q4,3515
Case Subtype,Health and Welfare,2010,Q1,4048
Case Subtype,Health and Welfare,2010,Q2,7420
Case Subtype,Health and Welfare,2010,Q3,6810
Case Subtype,Health and Welfare,2010,Q4,6404
Case Subtype,Health and Welfare,2011,Q1,9371
Case Subtype,Health and Welfare,2011,Q2,7681
Case Subtype,Health and Welfare,2011,Q3,10633
Case Subtype,Health and Welfare,2011,Q4,10405
Case Subtype,Health and Welfare,2012,Q1,11744
Case Subtype,Health and Welfare,2012,Q2,12172
Case Subtype,Health and Welfare,2012,Q3,15001
Case Subtype,Health and Welfare,2012,Q4,15428
Case Subtype,Health and Welfare,2013,Q1,14315
Case Subtype,Health and Welfare,2013,Q2,18753
Case Subtype,Health and Welfare,2013,Q3,19048
Case Subtype,Health and Welfare,2013,Q4,18009
Case Subtype,Health and Welfare,2014,Q1,17030
Case Subtype,Health and Welfare,2014,Q2,21631
Case Subtype,Health and Welfare,2014,Q3,36498
Case Subtype,Health and Welfare,2014,Q4,35166
Case Subtype,Health and Welfare,2015,Q1,34251
Case Subtype,Health and Welfare,2015,Q2,40984
Case Subtype,Health and Welfare,2015,Q3,39644
Case Subtype,Health and Welfare,2015,Q4,39842
Case Subtype,Health and Welfare,2016,Q1,46938
Case Subtype,Health and Welfare,2016,Q2,50756
Case Subtype,Health and Welfare,2016,Q3,65358
Case Subtype,Health and Welfare,2016,Q4,64809
Case Subtype,Health and Welfare,2017,Q1,63984
