Type,Year,Qtr,CAFCASS or MoJ,Count,,,,
Private Law cases,2011,1,CAFCASS,"11,103",,,,
Private Law cases,2011,2,CAFCASS,"9,082",,,,
Private Law cases,2011,3,CAFCASS,"10,670",,,,
Private Law cases,2011,4,CAFCASS,"10,613",,,,
Private Law cases,2012,1,CAFCASS,"11,422",,,,
Private Law cases,2012,2,CAFCASS,"10,691",,,,
Private Law cases,2012,3,CAFCASS,"11,750",,,,
Private Law cases,2012,4,CAFCASS,"11,445",,,,
Private Law cases,2013,1,CAFCASS,"11,719",,,,
Private Law cases,2013,2,CAFCASS,"13,547",,,,
Private Law cases,2013,3,CAFCASS,"12,366",,,,
Private Law cases,2013,4,CAFCASS,"10,303",,,,
Private Law cases,2014,1,CAFCASS,"10,420",,,,
Private Law cases,2014,2,CAFCASS,"7,908",,,,
Private Law cases,2014,3,CAFCASS,"8,223",,,,
Private Law cases,2014,4,CAFCASS,"9,124",,,,
Private Law cases,2015,1,CAFCASS,"8,859",,,,
Private Law cases,2015,2,CAFCASS,"9,034",,,,
Private Law cases,2015,3,CAFCASS,"9,348",,,,
Private Law cases,2015,4,CAFCASS,"9,484",,,,
Private Law cases,2016,1,CAFCASS,"9,544",,,,
Private Law cases,2016,2,CAFCASS,"10,114",,,,
Private Law cases,2016,3,CAFCASS,"10,304",,,,
Private Law cases,2016,4,CAFCASS,"9,712",,,,
Private Law cases,2017,1,CAFCASS,"10,378",,,,
Private Law cases,2017,2,CAFCASS,"10,576",,,,
Private Law cases,2017,3,CAFCASS,"10,804",,,,
Private Law cases,2017,4,CAFCASS,"10,302",,,,
Private Law cases,2018,1,CAFCASS,"10,126",,,,
Private Law cases,2018,2,CAFCASS,"10,491",,,,
Private Law cases,2018,3,CAFCASS,"11,055",,,,
Private Law cases,2018,4,CAFCASS,"11,033",,,,
Private Law cases,2019,1,CAFCASS,"11,251",,,,
Private Law cases,2019,2,CAFCASS,"11,081",,,,
Private Law cases,2019,3,CAFCASS,"11,713",,,,
Private Law cases,2019,4,CAFCASS,"11,430",,,,
Private Law cases,2020,1,CAFCASS,"11,188",,,,
Private Law cases,2020,2,CAFCASS,"9,648",,,,
Private Law cases,2020,3,CAFCASS,"12,345",,,,
Private Law cases,2020,4,CAFCASS,"11,583",,,,
Private Law cases,2021,1,CAFCASS,"11,799",,,,
Private Law cases,2021,2,CAFCASS,"10,968",,,,
Private Law cases,2021,3,CAFCASS,"10,519",,,,
Private Law cases,2021,4,CAFCASS,"9,864",,,,
Private Law cases,2022,1,CAFCASS,"10,318",,,,
Private Law cases,2022,2,CAFCASS,"9,460",,,,
Private Law cases,2022,3,CAFCASS,"10,139",,,,
Private Law cases,2022,4,CAFCASS,"9,940",,,,
Private Law cases,2023,1,CAFCASS,"10,416",,,,
Private Law cases,2023,2,CAFCASS,"9,576",,,,
Private Law cases,2023,3,CAFCASS,"9,725",,,,
Private Law cases,2023,4,CAFCASS,"9,646",,,,
Private Law cases,2024,1,CAFCASS,"10,507",,,,
Private Law cases,2024,2,CAFCASS,"9,486",,,,
Private Law cases,2024,3,CAFCASS,9930,,,,
Private Law cases,2024,4,CAFCASS,9434,,,,
Private Law cases,2025,1,CAFCASS,10105,,,,
Private Law cases,2025,2,CAFCASS,"9,679",,,,
Private Law cases,2025,3,CAFCASS,"10,266",,,,
Private Law cases,2025,4,CAFCASS,"10,499",,,,
Private Law cases,2011,1,MoJ,"12,589",,,,
Private Law cases,2011,2,MoJ,"9,879",,,,
Private Law cases,2011,3,MoJ,"11,978",,,,
Private Law cases,2011,4,MoJ,"11,438",,,,
Private Law cases,2012,1,MoJ,"12,311",,,,
Private Law cases,2012,2,MoJ,"11,562",,,,
Private Law cases,2012,3,MoJ,"12,745",,,,
Private Law cases,2012,4,MoJ,"11,899",,,,
Private Law cases,2013,1,MoJ,"12,614",,,,
Private Law cases,2013,2,MoJ,"14,362",,,,
Private Law cases,2013,3,MoJ,"13,028",,,,
Private Law cases,2013,4,MoJ,"10,792",,,,
Private Law cases,2014,1,MoJ,"11,192",,,,
Private Law cases,2014,2,MoJ,"8,612",,,,
Private Law cases,2014,3,MoJ,"9,961",,,,
Private Law cases,2014,4,MoJ,"9,629",,,,
Private Law cases,2015,1,MoJ,"9,839",,,,
Private Law cases,2015,2,MoJ,"9,822",,,,
Private Law cases,2015,3,MoJ,"10,359",,,,
Private Law cases,2015,4,MoJ,"10,480",,,,
Private Law cases,2016,1,MoJ,"10,743",,,,
Private Law cases,2016,2,MoJ,"11,406",,,,
Private Law cases,2016,3,MoJ,"11,884",,,,
Private Law cases,2016,4,MoJ,"11,042",,,,
Private Law cases,2017,1,MoJ,"12,009",,,,
Private Law cases,2017,2,MoJ,"11,911",,,,
Private Law cases,2017,3,MoJ,"12,352",,,,
Private Law cases,2017,4,MoJ,"11,257",,, , 
Private Law cases,2018,1,MoJ,"11,473",,,,
Private Law cases,2018,2,MoJ,"12,218",,,,
Private Law cases,2018,3,MoJ,"12,706",,,,
Private Law cases,2018,4,MoJ,"12,248",,,,
Private Law cases,2019,1,MoJ,"12,926",,,,
Private Law cases,2019,2,MoJ,"12,628",,,,
Private Law cases,2019,3,MoJ,"13,410",,,,
Private Law cases,2019,4,MoJ,"12,788",,,,
Private Law cases,2020,1,MoJ,"12,889",,,,
Private Law cases,2020,2,MoJ,"11,823",,,,
Private Law cases,2020,3,MoJ,"14,494",,,, 
Private Law cases,2020,4,MoJ,"13,070",,,, 
Private Law cases,2021,1,MoJ,"13,543",,,, 
Private Law cases,2021,2,MoJ,"13,099",,,,
Private Law cases,2021,3,MoJ,"12,892",,,,
Private Law cases,2021,4,MoJ,"11,620",,,,
