YEAR,QUARTER,DIGITAL_PAPER_CHANNEL,APPLICANT TYPE,GRANT TYPE,GRANTS_ISSUED,APPLICATIONS_MADE
2019,3,All,All,All grant types,66701,60529
2019,3,All,Personal,All grant types,24099,23805
2019,3,All,Solicitor,All grant types,42602,36724
2019,3,All,All,Grant of Administration,9885,9641
2019,3,All,Personal,Grant of Administration,4282,4403
2019,3,All,Solicitor,Grant of Administration,5603,5238
2019,3,All,All,Grant of Administration with Will annexed,3413,3010
2019,3,All,Personal,Grant of Administration with Will annexed,764,696
2019,3,All,Solicitor,Grant of Administration with Will annexed,2649,2314
2019,3,All,All,Grant of Probate,53403,47878
2019,3,All,Personal,Grant of Probate,19053,18706
2019,3,All,Solicitor,Grant of Probate,34350,29172
2019,3,All,All,Standing Search,708,:
2019,3,All,Personal,Standing Search,:,:
2019,3,All,Solicitor,Standing Search,:,:
2019,3,Digital,All,All grant types,7224,9827
2019,3,Digital,Personal,All grant types,7049,9565
2019,3,Digital,Solicitor,All grant types,175,262
2019,3,Digital,All,Grant of Administration,36,673
2019,3,Digital,Personal,Grant of Administration,30,668
2019,3,Digital,Solicitor,Grant of Administration,6,5
2019,3,Digital,All,Grant of Administration with Will annexed,27,12
2019,3,Digital,Personal,Grant of Administration with Will annexed,18,8
2019,3,Digital,Solicitor,Grant of Administration with Will annexed,9,4
2019,3,Digital,All,Grant of Probate,7161,9142
2019,3,Digital,Personal,Grant of Probate,7001,8889
2019,3,Digital,Solicitor,Grant of Probate,160,253
2019,3,Digital,All,Standing Search,:,:
2019,3,Digital,Personal,Standing Search,:,:
2019,3,Digital,Solicitor,Standing Search,:,:
2019,3,Paper,All,All grant types,59306,50610
2019,3,Paper,Personal,All grant types,17012,14214
2019,3,Paper,Solicitor,All grant types,42294,36396
2019,3,Paper,All,Grant of Administration,9812,8949
2019,3,Paper,Personal,Grant of Administration,4244,3727
2019,3,Paper,Solicitor,Grant of Administration,5568,5222
2019,3,Paper,All,Grant of Administration with Will annexed,3375,2992
2019,3,Paper,Personal,Grant of Administration with Will annexed,742,686
2019,3,Paper,Solicitor,Grant of Administration with Will annexed,2633,2306
2019,3,Paper,All,Grant of Probate,46119,38669
2019,3,Paper,Personal,Grant of Probate,12026,9801
2019,3,Paper,Solicitor,Grant of Probate,34093,28868
2019,3,Paper,All,Standing Search,708,:
2019,3,Paper,Personal,Standing Search,:,:
2019,3,Paper,Solicitor,Standing Search,:,:
2019,4,All,All,All grant types,67885,57232
2019,4,All,Personal,All grant types,26468,22108
2019,4,All,Solicitor,All grant types,41417,35124
2019,4,All,All,Grant of Administration,10218,8772
2019,4,All,Personal,Grant of Administration,4303,3818
2019,4,All,Solicitor,Grant of Administration,5915,4954
2019,4,All,All,Grant of Administration with Will annexed,3283,2685
2019,4,All,Personal,Grant of Administration with Will annexed,717,674
2019,4,All,Solicitor,Grant of Administration with Will annexed,2566,2011
2019,4,All,All,Grant of Probate,54384,45775
2019,4,All,Personal,Grant of Probate,21448,17616
2019,4,All,Solicitor,Grant of Probate,32936,28159
2019,4,All,All,Standing Search,1164,:
2019,4,All,Personal,Standing Search,:,:
2019,4,All,Solicitor,Standing Search,:,:
2019,4,Digital,All,All grant types,12040,9601
2019,4,Digital,Personal,All grant types,11756,9257
2019,4,Digital,Solicitor,All grant types,284,344
2019,4,Digital,All,Grant of Administration,976,1000
2019,4,Digital,Personal,Grant of Administration,965,987
2019,4,Digital,Solicitor,Grant of Administration,11,13
2019,4,Digital,All,Grant of Administration with Will annexed,11,17
2019,4,Digital,Personal,Grant of Administration with Will annexed,9,14
2019,4,Digital,Solicitor,Grant of Administration with Will annexed,2,3
2019,4,Digital,All,Grant of Probate,11053,8584
2019,4,Digital,Personal,Grant of Probate,10782,8256
2019,4,Digital,Solicitor,Grant of Probate,271,328
2019,4,Digital,All,Standing Search,:,:
2019,4,Digital,Personal,Standing Search,:,:
2019,4,Digital,Solicitor,Standing Search,:,:
2019,4,Paper,All,All grant types,55718,47507
2019,4,Paper,Personal,All grant types,14688,12823
2019,4,Paper,Solicitor,All grant types,41030,34684
2019,4,Paper,All,Grant of Administration,9225,7754
2019,4,Paper,Personal,Grant of Administration,3332,2829
2019,4,Paper,Solicitor,Grant of Administration,5893,4925
2019,4,Paper,All,Grant of Administration with Will annexed,3261,2658
2019,4,Paper,Personal,Grant of Administration with Will annexed,707,657
2019,4,Paper,Solicitor,Grant of Administration with Will annexed,2554,2001
2019,4,Paper,All,Grant of Probate,43232,37095
2019,4,Paper,Personal,Grant of Probate,10649,9337
2019,4,Paper,Solicitor,Grant of Probate,32583,27758
2019,4,Paper,All,Standing Search,1164,:
2019,4,Paper,Personal,Standing Search,:,:
2019,4,Paper,Solicitor,Standing Search,:,:
2020,,All,All,All grant types,256706,273246
2020,,All,Personal,All grant types,106246,110845
2020,,All,Solicitor,All grant types,150460,162401
2020,,All,All,Grant of Administration,36693,40295
2020,,All,Personal,Grant of Administration,17387,19109
2020,,All,Solicitor,Grant of Administration,19306,21186
2020,,All,All,Grant of Administration with Will annexed,10082,11681
2020,,All,Personal,Grant of Administration with Will annexed,2382,2970
2020,,All,Solicitor,Grant of Administration with Will annexed,7700,8711
2020,,All,All,Grant of Probate,209931,221270
2020,,All,Personal,Grant of Probate,86477,88766
2020,,All,Solicitor,Grant of Probate,123454,132504
2020,,All,All,Standing Search,2900,:
2020,,All,Personal,Standing Search,:,:
2020,,All,Solicitor,Standing Search,:,:
2020,,Digital,All,All grant types,73698,87141
2020,,Digital,Personal,All grant types,56759,60843
2020,,Digital,Solicitor,All grant types,16939,26298
2020,,Digital,All,Grant of Administration,8164,9476
2020,,Digital,Personal,Grant of Administration,7380,8217
2020,,Digital,Solicitor,Grant of Administration,784,1259
2020,,Digital,All,Grant of Administration with Will annexed,366,1196
2020,,Digital,Personal,Grant of Administration with Will annexed,158,584
2020,,Digital,Solicitor,Grant of Administration with Will annexed,208,612
2020,,Digital,All,Grant of Probate,65168,76469
2020,,Digital,Personal,Grant of Probate,49221,52042
2020,,Digital,Solicitor,Grant of Probate,15947,24427
2020,,Digital,All,Standing Search,:,:
2020,,Digital,Personal,Standing Search,:,:
2020,,Digital,Solicitor,Standing Search,:,:
2020,,Paper,All,All grant types,182283,185229
2020,,Paper,Personal,All grant types,49311,49797
2020,,Paper,Solicitor,All grant types,132972,135432
2020,,Paper,All,Grant of Administration,28373,30618
2020,,Paper,Personal,Grant of Administration,9980,10853
2020,,Paper,Solicitor,Grant of Administration,18393,19765
2020,,Paper,All,Grant of Administration with Will annexed,9675,10428
2020,,Paper,Personal,Grant of Administration with Will annexed,2214,2378
2020,,Paper,Solicitor,Grant of Administration with Will annexed,7461,8050
2020,,Paper,All,Grant of Probate,144235,144183
2020,,Paper,Personal,Grant of Probate,37117,36566
2020,,Paper,Solicitor,Grant of Probate,107118,107617
2020,,Paper,All,Standing Search,2900,:
2020,,Paper,Personal,Standing Search,:,:
2020,,Paper,Solicitor,Standing Search,:,:
2020,1,All,All,All grant types,61839,66987
2020,1,All,Personal,All grant types,24679,28182
2020,1,All,Solicitor,All grant types,37160,38805
2020,1,All,All,Grant of Administration,9300,10112
2020,1,All,Personal,Grant of Administration,4163,4717
2020,1,All,Solicitor,Grant of Administration,5137,5395
2020,1,All,All,Grant of Administration with Will annexed,2775,2972
2020,1,All,Personal,Grant of Administration with Will annexed,701,815
2020,1,All,Solicitor,Grant of Administration with Will annexed,2074,2157
2020,1,All,All,Grant of Probate,49764,53903
2020,1,All,Personal,Grant of Probate,19815,22650
2020,1,All,Solicitor,Grant of Probate,29949,31253
2020,1,All,All,Standing Search,957,:
2020,1,All,Personal,Standing Search,:,:
2020,1,All,Solicitor,Standing Search,:,:
2020,1,Digital,All,All grant types,12254,13421
2020,1,Digital,Personal,All grant types,11804,12888
2020,1,Digital,Solicitor,All grant types,450,533
2020,1,Digital,All,Grant of Administration,1465,1562
2020,1,Digital,Personal,Grant of Administration,1445,1540
2020,1,Digital,Solicitor,Grant of Administration,20,22
2020,1,Digital,All,Grant of Administration with Will annexed,9,52
2020,1,Digital,Personal,Grant of Administration with Will annexed,8,51
2020,1,Digital,Solicitor,Grant of Administration with Will annexed,1,1
2020,1,Digital,All,Grant of Probate,10780,11807
2020,1,Digital,Personal,Grant of Probate,10351,11297
2020,1,Digital,Solicitor,Grant of Probate,429,510
2020,1,Digital,All,Standing Search,:,:
2020,1,Digital,Personal,Standing Search,:,:
2020,1,Digital,Solicitor,Standing Search,:,:
2020,1,Paper,All,All grant types,49466,53408
2020,1,Paper,Personal,All grant types,12849,15244
2020,1,Paper,Solicitor,All grant types,36617,38164
2020,1,Paper,All,Grant of Administration,7812,8520
2020,1,Paper,Personal,Grant of Administration,2714,3168
2020,1,Paper,Solicitor,Grant of Administration,5098,5352
2020,1,Paper,All,Grant of Administration with Will annexed,2756,2914
2020,1,Paper,Personal,Grant of Administration with Will annexed,689,761
2020,1,Paper,Solicitor,Grant of Administration with Will annexed,2067,2153
2020,1,Paper,All,Grant of Probate,38898,41974
2020,1,Paper,Personal,Grant of Probate,9446,11315
2020,1,Paper,Solicitor,Grant of Probate,29452,30659
2020,1,Paper,All,Standing Search,957,:
2020,1,Paper,Personal,Standing Search,:,:
2020,1,Paper,Solicitor,Standing Search,:,:
2020,2,All,All,All grant types,56361,63900
2020,2,All,Personal,All grant types,23575,28549
2020,2,All,Solicitor,All grant types,32786,35351
2020,2,All,All,Grant of Administration,8428,9198
2020,2,All,Personal,Grant of Administration,3997,4853
2020,2,All,Solicitor,Grant of Administration,4431,4345
2020,2,All,All,Grant of Administration with Will annexed,2439,2563
2020,2,All,Personal,Grant of Administration with Will annexed,592,717
2020,2,All,Solicitor,Grant of Administration with Will annexed,1847,1846
2020,2,All,All,Grant of Probate,45494,52139
2020,2,All,Personal,Grant of Probate,18986,22979
2020,2,All,Solicitor,Grant of Probate,26508,29160
2020,2,All,All,Standing Search,526,:
2020,2,All,Personal,Standing Search,:,:
2020,2,All,Solicitor,Standing Search,:,:
2020,2,Digital,All,All grant types,12422,20744
2020,2,Digital,Personal,All grant types,11566,17355
2020,2,Digital,Solicitor,All grant types,856,3389
2020,2,Digital,All,Grant of Administration,1444,2627
2020,2,Digital,Personal,Grant of Administration,1384,2474
2020,2,Digital,Solicitor,Grant of Administration,60,153
2020,2,Digital,All,Grant of Administration with Will annexed,29,221
2020,2,Digital,Personal,Grant of Administration with Will annexed,24,154
2020,2,Digital,Solicitor,Grant of Administration with Will annexed,5,67
2020,2,Digital,All,Grant of Probate,10949,17896
2020,2,Digital,Personal,Grant of Probate,10158,14727
2020,2,Digital,Solicitor,Grant of Probate,791,3169
2020,2,Digital,All,Standing Search,:,:
2020,2,Digital,Personal,Standing Search,:,:
2020,2,Digital,Solicitor,Standing Search,:,:
2020,2,Paper,All,All grant types,43837,43015
2020,2,Paper,Personal,All grant types,11974,11144
2020,2,Paper,Solicitor,All grant types,31863,31871
2020,2,Paper,All,Grant of Administration,6971,6543
2020,2,Paper,Personal,Grant of Administration,2608,2372
2020,2,Paper,Solicitor,Grant of Administration,4363,4171
2020,2,Paper,All,Grant of Administration with Will annexed,2408,2332
2020,2,Paper,Personal,Grant of Administration with Will annexed,568,559
