year,quarter,applicant_type,digital_paper_channel,total_open_caseload,total_non_workable_open_caseload,total_workable_open_caseload,total_open_caseload_probate,total_open_caseload_admin,total_open_caseload_admin_will,open_caseload_up_to_6m,open_caseload_6m_to_12m,open_caseload_12m_to_24m,open_caseload_over_24m
2023,,All,All,78104,26152,51952,56881,16219,5004,67329,7133,2220,1422
2023,,All,Digital,52598,18753,33845,48105,3828,665,47903,3377,991,327
2023,,All,Paper,25436,7395,18041,8708,12390,4338,19424,3756,1228,1028
2023,,Personal,All,34346,15083,19263,25261,7555,1530,28440,3810,1366,730
2023,,Personal,Digital,22934,10450,12484,19573,3032,329,19788,2241,701,204
2023,,Personal,Paper,11360,4629,6731,5637,4523,1200,8651,1569,664,476
2023,,Solicitor,All,43758,11069,32689,31620,8664,3474,38889,3323,854,692
2023,,Solicitor,Digital,29664,8303,21361,28532,796,336,28115,1136,290,123
2023,,Solicitor,Paper,14076,2766,11310,3071,7867,3138,10773,2187,564,552
2023,Q1,All,All,78787,33054,45733,56426,16692,5669,68319,7214,1659,1595
2023,Q1,All,Digital,49979,21964,28015,44754,4168,1057,45538,3333,731,377
2023,Q1,All,Paper,28737,11085,17652,11604,12522,4611,22779,3879,928,1151
2023,Q1,Personal,All,45312,15769,29543,36081,7369,1862,38681,4722,1040,869
2023,Q1,Personal,Digital,31707,11202,20505,27803,3348,556,28310,2624,489,284
2023,Q1,Personal,Paper,13552,4562,8990,8227,4020,1305,10370,2096,551,535
2023,Q1,Solicitor,All,33475,17285,16190,20345,9323,3807,29638,2492,619,726
2023,Q1,Solicitor,Digital,18272,10762,7510,16951,820,501,17228,709,242,93
2023,Q1,Solicitor,Paper,15185,6523,8662,3377,8502,3306,12409,1783,377,616
2023,Q2,All,All,91515,39435,52080,67054,18743,5718,80735,6700,2295,1785
2023,Q2,All,Digital,62201,27761,34440,56126,5285,790,57371,3281,1082,467
2023,Q2,All,Paper,29244,11670,17574,10861,13456,4927,23362,3418,1213,1251
2023,Q2,Personal,All,43716,19153,24563,33790,8349,1577,36808,4441,1496,971
2023,Q2,Personal,Digital,31107,13907,17200,26702,3971,434,27436,2586,770,315
2023,Q2,Personal,Paper,12557,5242,7315,7038,4377,1142,9371,1854,726,606
2023,Q2,Solicitor,All,47799,20282,27517,33264,10394,4141,43927,2259,799,814
2023,Q2,Solicitor,Digital,31094,13854,17240,29424,1314,356,29935,695,312,152
2023,Q2,Solicitor,Paper,16687,6428,10259,3823,9079,3785,13991,1564,487,645
2023,Q3,All,All,93139,26152,66987,68755,18565,5819,81283,8174,2202,1480
2023,Q3,All,Digital,62670,17013,45657,57704,4264,702,57231,4135,947,357
2023,Q3,All,Paper,30401,9136,21265,10984,14301,5116,24051,4039,1255,1056
2023,Q3,Personal,All,41594,14439,27155,31832,8016,1746,34385,5100,1352,757
2023,Q3,Personal,Digital,28176,9697,18479,24400,3393,383,24070,3217,660,229
2023,Q3,Personal,Paper,13367,4739,8628,7382,4623,1362,10314,1883,692,478
2023,Q3,Solicitor,All,51545,11713,39832,36923,10549,4073,46898,3074,850,723
2023,Q3,Solicitor,Digital,34494,7316,27178,33304,871,319,33161,918,287,128
2023,Q3,Solicitor,Paper,17034,4397,12637,3602,9678,3754,13737,2156,563,578
2023,Q4,All,All,78104,26152,51952,56881,16219,5004,67329,7133,2220,1422
2023,Q4,All,Digital,52598,18753,33845,48105,3828,665,47903,3377,991,327
2023,Q4,All,Paper,25436,7395,18041,8708,12390,4338,19424,3756,1228,1028
2023,Q4,Personal,All,34346,15083,19263,25261,7555,1530,28440,3810,1366,730
2023,Q4,Personal,Digital,22934,10450,12484,19573,3032,329,19788,2241,701,204
2023,Q4,Personal,Paper,11360,4629,6731,5637,4523,1200,8651,1569,664,476
2023,Q4,Solicitor,All,43758,11069,32689,31620,8664,3474,38889,3323,854,692
2023,Q4,Solicitor,Digital,29664,8303,21361,28532,796,336,28115,1136,290,123
2023,Q4,Solicitor,Paper,14076,2766,11310,3071,7867,3138,10773,2187,564,552
2024,,All,All,39429,27250,12179,25103,10355,3971,30841,5097,2208,1283
2024,,All,Digital,22976,18883,4093,19682,2775,519,19336,2372,898,370
2024,,All,Paper,16396,8365,8031,5365,7580,3451,11505,2725,1310,856
2024,,Personal,All,21824,16595,5229,14710,5930,1184,16542,3107,1381,794
2024,,Personal,Digital,14401,11947,2454,11731,2407,263,11675,1793,640,293
2024,,Personal,Paper,7383,4646,2737,2940,3523,920,4867,1314,741,461
2024,,Solicitor,All,17605,10655,6950,10393,4425,2787,14299,1990,827,489
2024,,Solicitor,Digital,8575,6936,1639,7951,368,256,7661,579,258,77
2024,,Solicitor,Paper,9013,3719,5294,2425,4057,2531,6638,1411,569,395
2024,Q1,All,All,69170,33089,36081,46987,17259,4924,58598,6815,2372,1385
2024,Q1,All,Digital,45305,25581,19724,38973,5603,729,40669,3220,1059,357
2024,Q1,All,Paper,23797,7505,16292,7947,11656,4194,17929,3595,1312,961
2024,Q1,Personal,All,35161,18774,16387,24705,8876,1580,29169,3777,1458,757
2024,Q1,Personal,Digital,24392,14239,10153,19814,4266,312,21385,1990,777,240
2024,Q1,Personal,Paper,10718,4532,6186,4841,4610,1267,7784,1787,680,467
2024,Q1,Solicitor,All,34009,14315,19694,22282,8383,3344,29429,3038,914,628
2024,Q1,Solicitor,Digital,20913,11342,9571,19159,1337,417,19284,1230,282,117
2024,Q1,Solicitor,Paper,13079,2973,10106,3106,7046,2927,10145,1808,632,494
2024,Q2,All,All,62077,32084,29993,40573,16303,5201,51019,6992,2593,1473
2024,Q2,All,Digital,38364,23479,14885,32929,4530,905,33346,3415,1176,427
2024,Q2,All,Paper,23646,8603,15043,7578,11773,4295,17673,3577,1417,979
