YEAR,QUARTER,DIGITAL_PAPER,APPLICATION_TYPE,STOPPED,GRANTS_ISSUED,SUB_TO_ISS_MEAN,SUB_TO_ISS_MEDIAN,DOC_TO_ISS_MEAN,DOC_TO_ISS_MEDIAN
2019,2,All,All grants,All,45416,8.056,7.286,7.961,7.143
2019,2,All,All grants,NOT STOPPED,39150,7.738,7,7.665,6.857
2019,2,All,All grants,STOPPED,6266,10.041,9.143,9.813,9
2019,2,All,Letter of Administration,All,5565,8.793,7.286,8.793,7.286
2019,2,All,Letter of Administration,NOT STOPPED,4913,8.495,7,8.495,7
2019,2,All,Letter of Administration,STOPPED,652,11.043,9.857,11.043,9.857
2019,2,All,Letter of Administration with will annexed,All,1991,9.699,8.429,9.698,8.429
2019,2,All,Letter of Administration with will annexed,NOT STOPPED,1641,9.352,8,9.352,8
2019,2,All,Letter of Administration with will annexed,STOPPED,350,11.327,10,11.32,10
2019,2,All,Probate,All,37860,7.861,7.143,7.748,7
2019,2,All,Probate,NOT STOPPED,32596,7.543,7,7.455,6.714
2019,2,All,Probate,STOPPED,5264,9.831,9.143,9.56,8.857
2019,2,Digital,All grants,All,6541,7.858,7.286,7.201,6.429
2019,2,Digital,All grants,NOT STOPPED,4560,7.207,6.857,6.577,6.143
2019,2,Digital,All grants,STOPPED,1981,9.356,8.714,8.636,8
2019,2,Digital,Letter of Administration,All,20,16.393,13.5,16.393,13.5
2019,2,Digital,Letter of Administration,NOT STOPPED,18,16.81,14.214,16.81,14.214
2019,2,Digital,Letter of Administration,STOPPED,2,12.643,12.643,12.643,12.643
2019,2,Digital,Letter of Administration with will annexed,All,42,14.357,11.643,14.299,11.643
2019,2,Digital,Letter of Administration with will annexed,NOT STOPPED,25,15.549,12.429,15.549,12.429
2019,2,Digital,Letter of Administration with will annexed,STOPPED,17,12.605,11,12.462,11
2019,2,Digital,Probate,All,6479,7.789,7.286,7.126,6.429
2019,2,Digital,Probate,NOT STOPPED,4517,7.122,6.857,6.487,6.143
2019,2,Digital,Probate,STOPPED,1962,9.324,8.714,8.599,8
2019,2,Paper,All grants,All,38584,8.108,7.286,8.108,7.286
2019,2,Paper,All grants,NOT STOPPED,34335,7.828,7,7.828,7
2019,2,Paper,All grants,STOPPED,4249,10.373,9.571,10.373,9.571
2019,2,Paper,Letter of Administration,All,5497,8.798,7.286,8.798,7.286
2019,2,Paper,Letter of Administration,NOT STOPPED,4851,8.497,7,8.497,7
2019,2,Paper,Letter of Administration,STOPPED,646,11.061,9.857,11.061,9.857
2019,2,Paper,Letter of Administration with will annexed,All,1942,9.615,8.286,9.615,8.286
2019,2,Paper,Letter of Administration with will annexed,NOT STOPPED,1609,9.274,8,9.274,8
2019,2,Paper,Letter of Administration with will annexed,STOPPED,333,11.261,10,11.261,10
2019,2,Paper,Probate,All,31145,7.892,7.143,7.892,7.143
2019,2,Paper,Probate,NOT STOPPED,27875,7.628,7,7.628,7
2019,2,Paper,Probate,STOPPED,3270,10.147,9.429,10.147,9.429
2019,3,All,All grants,All,66701,9.832,8.143,9.711,8.143
2019,3,All,All grants,NOT STOPPED,50978,8.624,7.857,8.536,7.857
2019,3,All,All grants,STOPPED,15723,13.746,13,13.52,12.714
2019,3,All,Letter of Administration,All,9885,10.729,8.429,10.729,8.429
