year,quarter,Region,total_open_caseload,open_caseload_up_to_26w,open_caseload_26w_to_52w,open_caseload_52w_to_90w,open_caseload_over_90w
2011,NULL,England and Wales,13253,6116,3918,2284,935
2011,NULL,London,2009,833,612,375,189
2011,NULL,Midlands,2064,1047,596,320,101
2011,NULL,North East,2403,1267,690,347,99
2011,NULL,North West,1968,859,587,373,149
2011,NULL,South East,2698,1132,787,509,270
2011,NULL,South West,1206,582,376,198,50
2011,NULL,Wales,905,396,270,162,77
2011,1,England and Wales,13157,6258,3954,2167,778
2011,1,London,1970,1109,429,254,178
2011,1,Midlands,2029,921,649,327,132
2011,1,North East,2188,1133,725,256,74
2011,1,North West,2094,856,671,420,147
2011,1,South East,2677,1218,824,498,137
2011,1,South West,1279,625,382,216,56
2011,1,Wales,920,396,274,196,54
2011,2,England and Wales,13248,5886,4245,2350,767
2011,2,London,1995,834,710,278,173
2011,2,Midlands,1984,935,626,328,95
2011,2,North East,2217,1119,714,316,68
2011,2,North West,2096,874,627,450,145
2011,2,South East,2788,1153,876,584,175
2011,2,South West,1270,604,399,217,50
2011,2,Wales,898,367,293,177,61
2011,3,England and Wales,13247,5964,4114,2340,829
2011,3,London,1945,817,680,278,170
2011,3,Midlands,2041,1031,574,341,95
2011,3,North East,2343,1180,725,359,79
2011,3,North West,2024,857,589,423,155
2011,3,South East,2684,1111,841,541,191
2011,3,South West,1297,580,420,226,71
2011,3,Wales,913,388,285,172,68
2011,4,England and Wales,13253,6116,3918,2284,935
2011,4,London,2009,833,612,375,189
2011,4,Midlands,2064,1047,596,320,101
2011,4,North East,2403,1267,690,347,99
2011,4,North West,1968,859,587,373,149
2011,4,South East,2698,1132,787,509,270
2011,4,South West,1206,582,376,198,50
2011,4,Wales,905,396,270,162,77
2012,NULL,England and Wales,11628,6253,2904,1607,864
2012,NULL,London,2151,913,580,382,276
2012,NULL,Midlands,1834,1141,420,209,64
2012,NULL,North East,1918,1077,470,244,127
2012,NULL,North West,1623,981,397,167,78
2012,NULL,South East,2161,1034,547,359,221
2012,NULL,South West,1195,711,305,141,38
2012,NULL,Wales,746,396,185,105,60
2012,1,England and Wales,12894,6137,3835,2052,870
2012,1,London,2093,898,594,399,202
2012,1,Midlands,1975,1062,603,239,71
2012,1,North East,2291,1157,714,301,119
2012,1,North West,1872,893,554,296,129
2012,1,South East,2525,1095,748,464,218
2012,1,South West,1227,621,356,202,48
2012,1,Wales,911,411,266,151,83
2012,2,England and Wales,12730,6047,3776,2018,889
2012,2,London,2149,889,618,407,235
2012,2,Midlands,1951,1095,551,239,66
2012,2,North East,2212,1085,708,296,123
2012,2,North West,1802,915,526,264,97
2012,2,South East,2500,1020,763,478,239
2012,2,South West,1223,632,359,179,53
2012,2,Wales,893,411,251,155,76
2012,3,England and Wales,12376,6105,3490,1896,885
2012,3,London,2186,871,634,402,279
2012,3,Midlands,1914,1120,500,226,68
2012,3,North East,2100,1101,594,276,129
2012,3,North West,1679,906,470,217,86
2012,3,South East,2419,1033,686,478,222
2012,3,South West,1238,667,353,174,44
2012,3,Wales,840,407,253,123,57
2012,4,England and Wales,11628,6253,2904,1607,864
2012,4,London,2151,913,580,382,276
2012,4,Midlands,1834,1141,420,209,64
2012,4,North East,1918,1077,470,244,127
2012,4,North West,1623,981,397,167,78
2012,4,South East,2161,1034,547,359,221
2012,4,South West,1195,711,305,141,38
2012,4,Wales,746,396,185,105,60
2013,NULL,England and Wales,8465,5405,1633,668,759
2013,NULL,London,1520,818,424,186,92
2013,NULL,Midlands,1476,990,267,120,99
2013,NULL,North East,1221,810,208,73,130
2013,NULL,North West,1402,964,265,91,82
2013,NULL,South East,1540,894,268,113,265
2013,NULL,South West,867,615,158,58,36
2013,NULL,Wales,439,314,43,27,55
2013,1,England and Wales,11543,6264,2829,1504,946
2013,1,London,2237,955,546,402,334
2013,1,Midlands,1853,1127,458,197,71
2013,1,North East,1833,1071,426,215,121
2013,1,North West,1596,991,363,156,86
2013,1,South East,2149,1021,567,322,239
2013,1,South West,1180,712,306,122,40
2013,1,Wales,695,387,163,90,55
2013,2,England and Wales,10448,6176,2382,1096,794
2013,2,London,1802,907,479,252,164
2013,2,Midlands,1779,1151,381,166,81
