case_type,region,representation,quarter,number_of_cases,mean_duration,median_duration
Adoption,England & Wales,1 Both,2011-Q1,19,32.3,25.1
Adoption,England & Wales,1 Both,2011-Q2,18,32.6,31.1
Adoption,England & Wales,1 Both,2011-Q3,27,26.4,20.4
Adoption,England & Wales,1 Both,2011-Q4,31,27.1,27.3
Adoption,England & Wales,1 Both,2012-Q1,13,27.3,17.9
Adoption,England & Wales,1 Both,2012-Q2,15,30.1,24.1
Adoption,England & Wales,1 Both,2012-Q3,22,27.9,31.7
Adoption,England & Wales,1 Both,2012-Q4,22,26.7,23.7
Adoption,England & Wales,1 Both,2013-Q1,22,37.4,29
Adoption,England & Wales,1 Both,2013-Q2,21,21.5,15.1
Adoption,England & Wales,1 Both,2013-Q3,13,29.7,21.9
Adoption,England & Wales,1 Both,2013-Q4,17,22.6,22
Adoption,England & Wales,1 Both,2014-Q1,5,20.3,22
Adoption,England & Wales,1 Both,2014-Q2,15,34.3,27
Adoption,England & Wales,1 Both,2014-Q3,18,28.8,29.5
Adoption,England & Wales,1 Both,2014-Q4,18,30.7,30.9
Adoption,England & Wales,1 Both,2015-Q1,13,27.8,25.3
Adoption,England & Wales,1 Both,2015-Q2,20,28,25.2
Adoption,England & Wales,1 Both,2015-Q3,16,28.7,24.8
Adoption,England & Wales,1 Both,2015-Q4,10,30.7,32.4
Adoption,England & Wales,1 Both,2016-Q1,20,44.3,37.9
Adoption,England & Wales,1 Both,2016-Q2,15,37.4,35.6
Adoption,England & Wales,1 Both,2016-Q3,12,27.5,23.9
Adoption,England & Wales,1 Both,2016-Q4,10,27.3,26.6
Adoption,England & Wales,1 Both,2017-Q1,5,41.7,43.1
Adoption,England & Wales,1 Both,2017-Q2,8,44.9,39.2
Adoption,England & Wales,1 Both,2017-Q3,7,33.7,28.7
Adoption,England & Wales,1 Both,2017-Q4,10,30.4,21.7
Adoption,England & Wales,1 Both,2018-Q1,5,37.5,28.3
Adoption,England & Wales,1 Both,2018-Q2,12,31.4,33.3
Adoption,England & Wales,1 Both,2018-Q3,7,29.1,37
Adoption,England & Wales,1 Both,2018-Q4,12,38.3,34.5
Adoption,England & Wales,1 Both,2019-Q1,15,49.9,41.9
Adoption,England & Wales,1 Both,2019-Q2,10,42.3,35.1
Adoption,England & Wales,1 Both,2019-Q3,8,37.6,38.3
Adoption,England & Wales,1 Both,2019-Q4,6,38.8,40.9
Adoption,England & Wales,1 Both,2020-Q1,4,32.7,31.8
Adoption,England & Wales,1 Both,2020-Q2,3,35,28.7
Adoption,England & Wales,1 Both,2020-Q3,7,49.4,43.6
Adoption,England & Wales,1 Both,2020-Q4,7,63.7,63
Adoption,England & Wales,1 Both,2021-Q1,3,40.8,38
Adoption,England & Wales,1 Both,2021-Q2,9,54.7,65.9
Adoption,England & Wales,1 Both,2021-Q3,5,94,98.6
Adoption,England & Wales,1 Both,2021-Q4,3,62.6,63.4
Adoption,England & Wales,1 Both,2022-Q1,6,39.3,41.9
Adoption,England & Wales,1 Both,2022-Q2,4,52.6,51.6
Adoption,England & Wales,1 Both,2022-Q3,4,47.7,44.3
Adoption,England & Wales,1 Both,2022-Q4,7,39,45
Adoption,England & Wales,1 Both,2023-Q1,6,24.8,26.8
Adoption,England & Wales,1 Both,2023-Q2,6,19.5,16.6
Adoption,England & Wales,1 Both,2023-Q3,9,38.7,41.7
Adoption,England & Wales,1 Both,2023-Q4,7,28.4,21.4
Adoption,England & Wales,1 Both,2024-Q1,5,35,35
Adoption,England & Wales,1 Both,2024-Q2,3,44.1,33
Adoption,England & Wales,1 Both,2024-Q3,2,23.4,23.4
Adoption,England & Wales,1 Both,2024-Q4,4,38.2,41.2
Adoption,England & Wales,1 Both,2025-Q1,1,32.3,32.3
Adoption,England & Wales,1 Both,2025-Q2,9,47.1,53.4
Adoption,England & Wales,1 Both,2025-Q3,2,46.8,46.8
Adoption,England & Wales,1 Both,2025-Q4,5,33.5,40.7
Adoption,England & Wales,2 Applicant Only,2011-Q1,63,22,13.3
Adoption,England & Wales,2 Applicant Only,2011-Q2,51,19.6,15.1
Adoption,England & Wales,2 Applicant Only,2011-Q3,61,17.2,17.1
Adoption,England & Wales,2 Applicant Only,2011-Q4,74,19.1,14.9
Adoption,England & Wales,2 Applicant Only,2012-Q1,59,22.7,15
Adoption,England & Wales,2 Applicant Only,2012-Q2,63,26.3,15.9
Adoption,England & Wales,2 Applicant Only,2012-Q3,52,21.3,16.8
Adoption,England & Wales,2 Applicant Only,2012-Q4,55,22.4,17.9
Adoption,England & Wales,2 Applicant Only,2013-Q1,54,21.3,13.4
Adoption,England & Wales,2 Applicant Only,2013-Q2,56,18.2,12.1
Adoption,England & Wales,2 Applicant Only,2013-Q3,59,19.3,11.4
Adoption,England & Wales,2 Applicant Only,2013-Q4,38,25,18.4
Adoption,England & Wales,2 Applicant Only,2014-Q1,52,18.1,15.6
Adoption,England & Wales,2 Applicant Only,2014-Q2,56,24.8,21.9
Adoption,England & Wales,2 Applicant Only,2014-Q3,64,21,17.7
Adoption,England & Wales,2 Applicant Only,2014-Q4,67,24.8,20.3
Adoption,England & Wales,2 Applicant Only,2015-Q1,62,21,16.5
Adoption,England & Wales,2 Applicant Only,2015-Q2,36,18.4,13.9
Adoption,England & Wales,2 Applicant Only,2015-Q3,58,22.1,20.8
Adoption,England & Wales,2 Applicant Only,2015-Q4,48,19.2,16.4
Adoption,England & Wales,2 Applicant Only,2016-Q1,43,22.4,17.9
Adoption,England & Wales,2 Applicant Only,2016-Q2,36,22.8,17.8
Adoption,England & Wales,2 Applicant Only,2016-Q3,36,24.7,26
Adoption,England & Wales,2 Applicant Only,2016-Q4,35,21.7,18.1
Adoption,England & Wales,2 Applicant Only,2017-Q1,28,22.3,16
Adoption,England & Wales,2 Applicant Only,2017-Q2,45,26.2,19.3
Adoption,England & Wales,2 Applicant Only,2017-Q3,41,24.2,22.9
Adoption,England & Wales,2 Applicant Only,2017-Q4,35,23.8,19.9
Adoption,England & Wales,2 Applicant Only,2018-Q1,28,32.4,18.4
Adoption,England & Wales,2 Applicant Only,2018-Q2,25,25.6,20.9
Adoption,England & Wales,2 Applicant Only,2018-Q3,35,28.4,25.9
Adoption,England & Wales,2 Applicant Only,2018-Q4,41,24.9,23.4
Adoption,England & Wales,2 Applicant Only,2019-Q1,26,23,19
Adoption,England & Wales,2 Applicant Only,2019-Q2,22,25.4,30.7
Adoption,England & Wales,2 Applicant Only,2019-Q3,26,27.7,25.8
Adoption,England & Wales,2 Applicant Only,2019-Q4,17,25.3,23.3
Adoption,England & Wales,2 Applicant Only,2020-Q1,39,19.3,14.4
Adoption,England & Wales,2 Applicant Only,2020-Q2,12,23.4,18.9
Adoption,England & Wales,2 Applicant Only,2020-Q3,20,28.7,18.7
Adoption,England & Wales,2 Applicant Only,2020-Q4,19,28.4,23.1
Adoption,England & Wales,2 Applicant Only,2021-Q1,23,35.4,31.4
Adoption,England & Wales,2 Applicant Only,2021-Q2,23,29.5,27
Adoption,England & Wales,2 Applicant Only,2021-Q3,19,28.7,23.7
Adoption,England & Wales,2 Applicant Only,2021-Q4,22,24.6,20.9
Adoption,England & Wales,2 Applicant Only,2022-Q1,30,30.7,27
Adoption,England & Wales,2 Applicant Only,2022-Q2,16,22.6,21
Adoption,England & Wales,2 Applicant Only,2022-Q3,15,27.9,17.4
Adoption,England & Wales,2 Applicant Only,2022-Q4,22,31.7,28.6
Adoption,England & Wales,2 Applicant Only,2023-Q1,21,39.8,32
