Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),England & Wales,1 Both,2011-Q1,2253,46.800000,43.600000000
Children Act (Public),England & Wales,2 Applicant Only,2011-Q1,475,16.200000,5.600000000
Children Act (Public),England & Wales,3 Respondent Only,2011-Q1,62,45.600000,40.500000000
Children Act (Public),England & Wales,4 Neither,2011-Q1,42,17.800000,10.200000000
Children Act (Public),England & Wales,All types,2011-Q1,2832,41.200000,38.200000000
Children Act (Public),London,1 Both,2011-Q1,345,34.600000,23.000000000
Children Act (Public),London,2 Applicant Only,2011-Q1,75,12.500000,2.400000000
Children Act (Public),London,3 Respondent Only,2011-Q1,2,117.600000,117.600000000
Children Act (Public),London,4 Neither,2011-Q1,3,17.600000,12.300000000
Children Act (Public),London,All types,2011-Q1,425,31.000000,17.700000000
Children Act (Public),Midlands,1 Both,2011-Q1,426,52.900000,47.100000000
Children Act (Public),Midlands,2 Applicant Only,2011-Q1,84,16.600000,2.600000000
Children Act (Public),Midlands,3 Respondent Only,2011-Q1,11,38.900000,27.600000000
Children Act (Public),Midlands,4 Neither,2011-Q1,10,22.300000,11.900000000
Children Act (Public),Midlands,All types,2011-Q1,531,46.300000,42.700000000
Children Act (Public),North East,1 Both,2011-Q1,487,41.000000,38.100000000
Children Act (Public),North East,2 Applicant Only,2011-Q1,75,15.500000,8.000000000
Children Act (Public),North East,3 Respondent Only,2011-Q1,4,56.700000,55.000000000
Children Act (Public),North East,4 Neither,2011-Q1,2,4.700000,4.700000000
Children Act (Public),North East,All types,2011-Q1,568,37.600000,34.900000000
Children Act (Public),North West,1 Both,2011-Q1,316,54.800000,51.000000000
Children Act (Public),North West,2 Applicant Only,2011-Q1,88,22.900000,18.700000000
Children Act (Public),North West,3 Respondent Only,2011-Q1,5,67.500000,85.400000000
Children Act (Public),North West,4 Neither,2011-Q1,8,13.700000,5.700000000
Children Act (Public),North West,All types,2011-Q1,417,47.400000,45.700000000
Children Act (Public),South East,1 Both,2011-Q1,322,49.300000,45.800000000
Children Act (Public),South East,2 Applicant Only,2011-Q1,94,12.300000,2.000000000
Children Act (Public),South East,3 Respondent Only,2011-Q1,24,37.600000,40.500000000
Children Act (Public),South East,4 Neither,2011-Q1,11,15.700000,3.100000000
Children Act (Public),South East,All types,2011-Q1,451,40.100000,39.600000000
Children Act (Public),South West,1 Both,2011-Q1,212,48.500000,47.300000000
Children Act (Public),South West,2 Applicant Only,2011-Q1,39,14.800000,3.100000000
Children Act (Public),South West,3 Respondent Only,2011-Q1,8,43.400000,45.500000000
Children Act (Public),South West,4 Neither,2011-Q1,4,29.800000,22.800000000
Children Act (Public),South West,All types,2011-Q1,263,43.000000,41.900000000
Children Act (Public),Wales,1 Both,2011-Q1,145,51.600000,48.900000000
Children Act (Public),Wales,2 Applicant Only,2011-Q1,20,22.600000,15.600000000
Children Act (Public),Wales,3 Respondent Only,2011-Q1,8,43.800000,31.900000000
Children Act (Public),Wales,4 Neither,2011-Q1,4,14.700000,14.900000000
Children Act (Public),Wales,All types,2011-Q1,177,47.200000,45.000000000
Children Act (Public),England & Wales,1 Both,2011-Q2,2300,49.900000,46.000000000
Children Act (Public),England & Wales,2 Applicant Only,2011-Q2,469,14.300000,4.700000000
Children Act (Public),England & Wales,3 Respondent Only,2011-Q2,92,55.200000,53.300000000
Children Act (Public),England & Wales,4 Neither,2011-Q2,32,11.000000,4.400000000
Children Act (Public),England & Wales,All types,2011-Q2,2893,43.900000,41.000000000
Children Act (Public),London,1 Both,2011-Q2,311,42.500000,31.400000000
Children Act (Public),London,2 Applicant Only,2011-Q2,90,11.300000,1.100000000
Children Act (Public),London,3 Respondent Only,2011-Q2,11,54.600000,54.900000000
Children Act (Public),London,4 Neither,2011-Q2,2,0.100000,0.100000000
Children Act (Public),London,All types,2011-Q2,414,35.800000,28.400000000
Children Act (Public),Midlands,1 Both,2011-Q2,428,51.900000,46.600000000
Children Act (Public),Midlands,2 Applicant Only,2011-Q2,89,15.900000,1.600000000
Children Act (Public),Midlands,3 Respondent Only,2011-Q2,14,74.900000,67.800000000
Children Act (Public),Midlands,4 Neither,2011-Q2,7,11.200000,7.300000000
Children Act (Public),Midlands,All types,2011-Q2,538,46.000000,42.000000000
Children Act (Public),North East,1 Both,2011-Q2,488,44.100000,42.500000000
Children Act (Public),North East,2 Applicant Only,2011-Q2,103,11.400000,5.100000000
Children Act (Public),North East,3 Respondent Only,2011-Q2,8,90.100000,84.100000000
Children Act (Public),North East,4 Neither,2011-Q2,4,4.500000,3.500000000
Children Act (Public),North East,All types,2011-Q2,603,38.800000,38.900000000
Children Act (Public),North West,1 Both,2011-Q2,332,58.500000,52.700000000
Children Act (Public),North West,2 Applicant Only,2011-Q2,65,20.100000,12.400000000
Children Act (Public),North West,3 Respondent Only,2011-Q2,11,46.300000,53.900000000
Children Act (Public),North West,4 Neither,2011-Q2,1,26.300000,26.300000000
Children Act (Public),North West,All types,2011-Q2,409,52.000000,48.100000000
Children Act (Public),South East,1 Both,2011-Q2,374,50.300000,47.100000000
Children Act (Public),South East,2 Applicant Only,2011-Q2,62,15.300000,5.200000000
Children Act (Public),South East,3 Respondent Only,2011-Q2,23,45.500000,44.100000000
Children Act (Public),South East,4 Neither,2011-Q2,11,11.500000,6.000000000
Children Act (Public),South East,All types,2011-Q2,470,44.600000,44.100000000
Children Act (Public),South West,1 Both,2011-Q2,221,53.100000,49.900000000
Children Act (Public),South West,2 Applicant Only,2011-Q2,39,9.800000,1.100000000
Children Act (Public),South West,3 Respondent Only,2011-Q2,10,42.100000,40.400000000
Children Act (Public),South West,4 Neither,2011-Q2,7,14.600000,3.900000000
Children Act (Public),South West,All types,2011-Q2,277,45.600000,43.300000000
Children Act (Public),Wales,1 Both,2011-Q2,146,53.800000,51.000000000
Children Act (Public),Wales,2 Applicant Only,2011-Q2,21,21.800000,13.000000000
Children Act (Public),Wales,3 Respondent Only,2011-Q2,15,48.900000,36.900000000
Children Act (Public),Wales,All types,2011-Q2,182,49.700000,45.900000000
Children Act (Public),England & Wales,1 Both,2011-Q3,2455,48.500000,44.700000000
Children Act (Public),England & Wales,2 Applicant Only,2011-Q3,544,18.200000,8.900000000
Children Act (Public),England & Wales,3 Respondent Only,2011-Q3,66,52.000000,49.300000000
Children Act (Public),England & Wales,4 Neither,2011-Q3,34,11.400000,5.300000000
Children Act (Public),England & Wales,All types,2011-Q3,3099,42.900000,40.600000000
Children Act (Public),London,1 Both,2011-Q3,307,45.900000,40.300000000
Children Act (Public),London,2 Applicant Only,2011-Q3,108,14.900000,2.600000000
Children Act (Public),London,3 Respondent Only,2011-Q3,3,41.700000,41.000000000
Children Act (Public),London,4 Neither,2011-Q3,4,9.800000,2.600000000
Children Act (Public),London,All types,2011-Q3,422,37.600000,35.000000000
Children Act (Public),Midlands,1 Both,2011-Q3,456,51.000000,46.000000000
Children Act (Public),Midlands,2 Applicant Only,2011-Q3,80,16.400000,8.100000000
Children Act (Public),Midlands,3 Respondent Only,2011-Q3,4,45.300000,43.900000000
Children Act (Public),Midlands,4 Neither,2011-Q3,3,14.500000,19.700000000
Children Act (Public),Midlands,All types,2011-Q3,543,45.700000,41.700000000
Children Act (Public),North East,1 Both,2011-Q3,492,42.000000,40.200000000
Children Act (Public),North East,2 Applicant Only,2011-Q3,97,14.700000,5.100000000
Children Act (Public),North East,3 Respondent Only,2011-Q3,5,30.600000,30.100000000
Children Act (Public),North East,4 Neither,2011-Q3,3,2.800000,0.600000000
Children Act (Public),North East,All types,2011-Q3,597,37.300000,37.100000000
Children Act (Public),North West,1 Both,2011-Q3,344,53.400000,51.200000000
Children Act (Public),North West,2 Applicant Only,2011-Q3,95,25.000000,18.600000000
Children Act (Public),North West,3 Respondent Only,2011-Q3,9,71.500000,65.900000000
Children Act (Public),North West,4 Neither,2011-Q3,7,7.400000,1.400000000
Children Act (Public),North West,All types,2011-Q3,455,47.200000,44.900000000
Children Act (Public),South East,1 Both,2011-Q3,466,49.700000,46.800000000
Children Act (Public),South East,2 Applicant Only,2011-Q3,97,20.700000,6.900000000
Children Act (Public),South East,3 Respondent Only,2011-Q3,28,53.500000,48.300000000
Children Act (Public),South East,4 Neither,2011-Q3,11,15.900000,5.600000000
Children Act (Public),South East,All types,2011-Q3,602,44.600000,42.100000000
Children Act (Public),South West,1 Both,2011-Q3,228,46.600000,44.000000000
Children Act (Public),South West,2 Applicant Only,2011-Q3,53,14.500000,5.600000000
Children Act (Public),South West,3 Respondent Only,2011-Q3,8,53.300000,50.500000000
Children Act (Public),South West,4 Neither,2011-Q3,4,8.200000,7.200000000
Children Act (Public),South West,All types,2011-Q3,293,40.500000,39.400000000
Children Act (Public),Wales,1 Both,2011-Q3,162,55.500000,50.700000000
Children Act (Public),Wales,2 Applicant Only,2011-Q3,14,29.600000,14.800000000
Children Act (Public),Wales,3 Respondent Only,2011-Q3,9,45.200000,46.900000000
Children Act (Public),Wales,4 Neither,2011-Q3,2,18.200000,18.200000000
Children Act (Public),Wales,All types,2011-Q3,187,52.600000,49.700000000
Children Act (Public),England & Wales,1 Both,2011-Q4,2528,50.400000,47.200000000
Children Act (Public),England & Wales,2 Applicant Only,2011-Q4,491,16.800000,6.700000000
Children Act (Public),England & Wales,3 Respondent Only,2011-Q4,90,52.500000,46.800000000
Children Act (Public),England & Wales,4 Neither,2011-Q4,33,13.600000,7.600000000
Children Act (Public),England & Wales,All types,2011-Q4,3142,44.800000,43.000000000
Children Act (Public),London,1 Both,2011-Q4,300,49.700000,48.100000000
Children Act (Public),London,2 Applicant Only,2011-Q4,98,13.100000,2.000000000
Children Act (Public),London,3 Respondent Only,2011-Q4,7,43.400000,11.400000000
Children Act (Public),London,4 Neither,2011-Q4,2,16.000000,16.000000000
Children Act (Public),London,All types,2011-Q4,407,40.600000,43.400000000
Children Act (Public),Midlands,1 Both,2011-Q4,440,50.400000,47.600000000
Children Act (Public),Midlands,2 Applicant Only,2011-Q4,83,16.800000,5.600000000
Children Act (Public),Midlands,3 Respondent Only,2011-Q4,5,32.500000,28.600000000
Children Act (Public),Midlands,4 Neither,2011-Q4,6,15.100000,13.300000000
Children Act (Public),Midlands,All types,2011-Q4,534,44.600000,43.200000000
Children Act (Public),North East,1 Both,2011-Q4,519,45.500000,42.900000000
Children Act (Public),North East,2 Applicant Only,2011-Q4,95,16.400000,6.700000000
Children Act (Public),North East,3 Respondent Only,2011-Q4,12,35.400000,36.200000000
Children Act (Public),North East,4 Neither,2011-Q4,6,1.000000,0.900000000
Children Act (Public),North East,All types,2011-Q4,632,40.500000,38.500000000
Children Act (Public),North West,1 Both,2011-Q4,395,56.700000,52.000000000
Children Act (Public),North West,2 Applicant Only,2011-Q4,75,21.900000,17.100000000
Children Act (Public),North West,3 Respondent Only,2011-Q4,6,43.900000,31.600000000
Children Act (Public),North West,4 Neither,2011-Q4,2,47.800000,47.800000000
Children Act (Public),North West,All types,2011-Q4,478,51.000000,47.600000000
Children Act (Public),South East,1 Both,2011-Q4,468,48.000000,45.100000000
Children Act (Public),South East,2 Applicant Only,2011-Q4,71,15.700000,7.900000000
Children Act (Public),South East,3 Respondent Only,2011-Q4,29,66.600000,57.600000000
Children Act (Public),South East,4 Neither,2011-Q4,9,18.100000,9.900000000
Children Act (Public),South East,All types,2011-Q4,577,44.500000,43.300000000
Children Act (Public),South West,1 Both,2011-Q4,250,53.000000,45.200000000
Children Act (Public),South West,2 Applicant Only,2011-Q4,50,14.900000,5.100000000
Children Act (Public),South West,3 Respondent Only,2011-Q4,15,44.300000,38.600000000
Children Act (Public),South West,4 Neither,2011-Q4,3,11.500000,9.700000000
Children Act (Public),South West,All types,2011-Q4,318,46.200000,40.500000000
Children Act (Public),Wales,1 Both,2011-Q4,156,55.300000,51.900000000
Children Act (Public),Wales,2 Applicant Only,2011-Q4,19,27.000000,17.000000000
Children Act (Public),Wales,3 Respondent Only,2011-Q4,16,60.900000,62.900000000
Children Act (Public),Wales,4 Neither,2011-Q4,5,5.800000,0.700000000
Children Act (Public),Wales,All types,2011-Q4,196,51.800000,49.100000000
Children Act (Public),England & Wales,1 Both,2012-Q1,2684,50.500000,46.900000000
Children Act (Public),England & Wales,2 Applicant Only,2012-Q1,505,16.300000,4.700000000
Children Act (Public),England & Wales,3 Respondent Only,2012-Q1,68,51.000000,53.100000000
Children Act (Public),England & Wales,4 Neither,2012-Q1,23,23.100000,4.100000000
Children Act (Public),England & Wales,All types,2012-Q1,3280,45.100000,42.100000000
Children Act (Public),London,1 Both,2012-Q1,330,53.300000,50.500000000
Children Act (Public),London,2 Applicant Only,2012-Q1,98,11.800000,0.400000000
Children Act (Public),London,3 Respondent Only,2012-Q1,4,30.200000,11.400000000
Children Act (Public),London,All types,2012-Q1,432,43.700000,42.900000000
Children Act (Public),Midlands,1 Both,2012-Q1,537,50.800000,45.100000000
Children Act (Public),Midlands,2 Applicant Only,2012-Q1,80,19.200000,6.200000000
Children Act (Public),Midlands,3 Respondent Only,2012-Q1,6,43.000000,29.200000000
Children Act (Public),Midlands,4 Neither,2012-Q1,6,23.400000,15.600000000
Children Act (Public),Midlands,All types,2012-Q1,629,46.400000,41.100000000
Children Act (Public),North East,1 Both,2012-Q1,577,44.100000,43.300000000
Children Act (Public),North East,2 Applicant Only,2012-Q1,96,15.500000,7.100000000
Children Act (Public),North East,3 Respondent Only,2012-Q1,9,51.700000,51.000000000
Children Act (Public),North East,4 Neither,2012-Q1,7,6.400000,2.000000000
Children Act (Public),North East,All types,2012-Q1,689,39.900000,38.900000000
Children Act (Public),North West,1 Both,2012-Q1,387,58.200000,51.900000000
Children Act (Public),North West,2 Applicant Only,2012-Q1,82,23.700000,13.700000000
Children Act (Public),North West,3 Respondent Only,2012-Q1,10,51.300000,61.700000000
Children Act (Public),North West,4 Neither,2012-Q1,2,4.900000,4.900000000
Children Act (Public),North West,All types,2012-Q1,481,51.900000,46.000000000
Children Act (Public),South East,1 Both,2012-Q1,455,51.100000,47.900000000
Children Act (Public),South East,2 Applicant Only,2012-Q1,77,13.600000,4.600000000
Children Act (Public),South East,3 Respondent Only,2012-Q1,22,57.200000,56.900000000
Children Act (Public),South East,4 Neither,2012-Q1,4,66.300000,56.900000000
Children Act (Public),South East,All types,2012-Q1,558,46.200000,42.900000000
Children Act (Public),South West,1 Both,2012-Q1,231,48.200000,45.900000000
Children Act (Public),South West,2 Applicant Only,2012-Q1,50,12.700000,2.000000000
Children Act (Public),South West,3 Respondent Only,2012-Q1,7,46.300000,54.100000000
Children Act (Public),South West,All types,2012-Q1,288,42.000000,40.100000000
Children Act (Public),Wales,1 Both,2012-Q1,167,50.400000,47.400000000
