type,year,quarter,number_of_disposals,mean_duration,median_duration
Children Act (Private),2011,,42296,31.3,21.9
Children Act (Private),2012,,43369,31.2,21
Children Act (Private),2013,,46986,30.1,21
Children Act (Private),2014,,42644,30.7,21.6
Children Act (Private),2015,,38015,26.1,18.1
Children Act (Private),2016,,40435,22.3,16.6
Children Act (Private),2017,,41482,22.7,17.7
Children Act (Private),2018,,41132,25.1,19.7
Children Act (Private),2019,,44573,27.5,21.3
Children Act (Private),2020,,37058,32.3,25.3
Children Act (Private),2021,,43005,40.2,32.7
Children Act (Private),2022,,43003,44.1,35.3
Children Act (Private),2023,,44040,44.9,33.9
Children Act (Private),2024,,44494,41.8,30.9
Children Act (Private),,2011-Q1,11214,31.6,22.3
Children Act (Private),,2011-Q2,10299,30.7,21.7
Children Act (Private),,2011-Q3,10496,30.9,22
Children Act (Private),,2011-Q4,10287,32,21
Children Act (Private),,2012-Q1,10531,32.4,21.4
Children Act (Private),,2012-Q2,10706,31.6,21.3
Children Act (Private),,2012-Q3,10891,30.2,20.9
Children Act (Private),,2012-Q4,11241,30.8,21
Children Act (Private),,2013-Q1,10802,30.9,21.6
Children Act (Private),,2013-Q2,11477,31.1,21.4
Children Act (Private),,2013-Q3,12428,29.3,20.3
Children Act (Private),,2013-Q4,12279,29.4,21
Children Act (Private),,2014-Q1,11306,30.6,22.9
Children Act (Private),,2014-Q2,11186,31.1,22.1
Children Act (Private),,2014-Q3,10678,31.4,21.9
Children Act (Private),,2014-Q4,9474,29.4,19.1
Children Act (Private),,2015-Q1,9160,28.2,19.3
Children Act (Private),,2015-Q2,9269,27.2,18.7
Children Act (Private),,2015-Q3,9991,25.1,17.4
Children Act (Private),,2015-Q4,9595,24,17.3
Children Act (Private),,2016-Q1,9798,23.5,17.4
Children Act (Private),,2016-Q2,10208,22.7,16.7
Children Act (Private),,2016-Q3,10338,21.3,15.7
Children Act (Private),,2016-Q4,10091,21.8,16.7
Children Act (Private),,2017-Q1,10329,22.5,17.7
Children Act (Private),,2017-Q2,10241,22.8,17.4
Children Act (Private),,2017-Q3,10708,22,17.1
Children Act (Private),,2017-Q4,10204,23.5,18.4
Children Act (Private),,2018-Q1,9802,24.6,19.4
Children Act (Private),,2018-Q2,10528,25.2,19.9
Children Act (Private),,2018-Q3,10429,24.6,19.3
Children Act (Private),,2018-Q4,10373,26.1,20
Children Act (Private),,2019-Q1,10697,27.3,21.3
Children Act (Private),,2019-Q2,11009,27.3,21.3
Children Act (Private),,2019-Q3,11773,27.5,21.3
Children Act (Private),,2019-Q4,11094,28,21.3
Children Act (Private),,2020-Q1,10833,29.7,23
Children Act (Private),,2020-Q2,6366,28.6,22.1
Children Act (Private),,2020-Q3,9601,32.5,26.9
Children Act (Private),,2020-Q4,10258,37,29.9
Children Act (Private),,2021-Q1,10709,38.8,31.1
Children Act (Private),,2021-Q2,10963,39.6,32.7
Children Act (Private),,2021-Q3,10957,40.3,32.9
Children Act (Private),,2021-Q4,10376,42.2,34.3
Children Act (Private),,2022-Q1,10663,43.4,35.9
Children Act (Private),,2022-Q2,10581,44,35.1
Children Act (Private),,2022-Q3,10897,43.7,35
Children Act (Private),,2022-Q4,10862,45.5,35.1
Children Act (Private),,2023-Q1,11763,45.6,35
Children Act (Private),,2023-Q2,10688,45.3,34.4
Children Act (Private),,2023-Q3,11108,44,33
Children Act (Private),,2023-Q4,10481,44.5,32.9
Children Act (Private),,2024-Q1,11103,43.2,32.1
Children Act (Private),,2024-Q2,11179,42.3,31.4
Children Act (Private),,2024-Q3,11589,40.9,29.6
Children Act (Private),,2024-Q4,10623,40.8,30.4
Children Act (Private),,2025-Q1,10563,40.5,30.1
Children Act (Private),,2025-Q2,9512,38.8,28.1
