keyword,search_volume,cpc,competition,value_index,bucket,source
van insurance quotation,27100,22.28,HIGH,603788.0,motor_fleet,expanded
van insurance quotes,27100,22.28,HIGH,603788.0,motor_fleet,seed
register a company uk,14800,40.57,MEDIUM,600436.0,business_services,expanded
settlement agreement lawyer,9900,41.59,MEDIUM,411741.0,employment_hr,expanded
businesselectricityprices,4400,80.36,MEDIUM,353584.0,business_services,expanded
compare the van insurance,14800,19.92,HIGH,294816.0,motor_fleet,expanded
compare van insurance,14800,19.92,HIGH,294816.0,motor_fleet,expanded
van insurance comparison,14800,19.92,HIGH,294816.0,motor_fleet,expanded
register a company uk companies house,5400,49.48,MEDIUM,267192.0,business_services,expanded
forming a limited company in uk,4400,50.09,HIGH,220396.0,business_services,expanded
limited company setup uk,4400,50.09,HIGH,220396.0,business_services,expanded
business comparison energy,2400,88.43,MEDIUM,212232.0,business_services,expanded
business energy comparison,2400,88.43,MEDIUM,212232.0,business_services,seed
cheap cheap van insurance,9900,20.34,HIGH,201366.0,motor_fleet,expanded
cheap van insurance,9900,20.34,HIGH,201366.0,motor_fleet,expanded
cheapest van for insurance,9900,20.34,HIGH,201366.0,motor_fleet,expanded
business energy compare prices,1900,102.88,MEDIUM,195472.0,business_services,expanded
business energy rates compared,1900,102.88,MEDIUM,195472.0,business_services,expanded
compare business electricity prices,1900,102.88,MEDIUM,195472.0,business_services,expanded
compare business energy prices,1900,102.88,MEDIUM,195472.0,business_services,expanded
compare business energy rates,1900,102.88,MEDIUM,195472.0,business_services,expanded
business electricity comparison,1600,112.82,MEDIUM,180512.0,business_services,expanded
business electricity suppliers comparison,1600,112.82,MEDIUM,180512.0,business_services,expanded
business power comparison,1600,112.82,MEDIUM,180512.0,business_services,expanded
compare business electricity,1600,112.82,MEDIUM,180512.0,business_services,seed
compare business electricity suppliers,1600,112.82,MEDIUM,180512.0,business_services,expanded
cyber essential,9900,17.9,MEDIUM,177210.0,niche_professional,expanded
business rate,18100,7.67,LOW,138827.0,commercial_property,expanded
ltd company registration uk,2900,45.17,HIGH,130993.0,business_services,expanded
register uk limited company,2900,45.17,HIGH,130993.0,business_services,expanded
register uk ltd company,2900,45.17,HIGH,130993.0,business_services,expanded
equity release calculator,6600,18.64,HIGH,123024.0,later_life,seed
health and safety consultant,1600,70.44,MEDIUM,112704.0,niche_professional,seed
health safety consultants,1600,70.44,MEDIUM,112704.0,expanded,expanded
safety and health consultant,1600,70.44,MEDIUM,112704.0,niche_professional,expanded
business electricity rates comparison,880,122.33,MEDIUM,107650.4,business_services,expanded
business electricity tariff comparison,880,122.33,MEDIUM,107650.4,business_services,expanded
compare business electric rates,880,122.33,MEDIUM,107650.4,business_services,expanded
compare business electricity tariffs,880,122.33,MEDIUM,107650.4,business_services,expanded
compare business power prices,880,122.33,MEDIUM,107650.4,business_services,expanded
eicr certificates,18100,5.84,MEDIUM,105704.0,landlord_compliance,expanded
business formation in uk,2900,34.64,MEDIUM,100456.0,business_services,expanded
company formation uk,2900,34.64,MEDIUM,100456.0,business_services,seed
company formation united kingdom,2900,34.64,MEDIUM,100456.0,business_services,expanded
formation of company uk,2900,34.64,MEDIUM,100456.0,business_services,expanded
formation uk company,2900,34.64,MEDIUM,100456.0,business_services,expanded
forming a company uk,2900,34.64,MEDIUM,100456.0,business_services,expanded
uk business formation,2900,34.64,MEDIUM,100456.0,business_services,expanded
united kingdom company formation,2900,34.64,MEDIUM,100456.0,business_services,expanded
business gas rates compare,880,110.44,LOW,97187.2,business_services,expanded
business gas rates comparison,880,110.44,LOW,97187.2,business_services,expanded
compare business gas prices,880,110.44,LOW,97187.2,business_services,expanded
compare commercial gas prices,880,110.44,LOW,97187.2,business_services,expanded
public liability insurance cheapest,1600,60.24,HIGH,96384.0,business_services,expanded
company setup uk,1900,49.15,MEDIUM,93385.0,business_services,expanded
go compare van insurance,6600,13.99,HIGH,92334.0,motor_fleet,expanded
public and liability insurance quotes,1900,48.17,HIGH,91523.0,business_services,expanded
public liability insurance quote,1900,48.17,HIGH,91523.0,business_services,expanded
electric car charging installation,18100,4.98,HIGH,90138.0,green_retrofit,expanded
electric car charging stations installation,18100,4.98,HIGH,90138.0,green_retrofit,expanded
electric vehicle charging installation,18100,4.98,HIGH,90138.0,green_retrofit,expanded
ev charge installation,18100,4.98,HIGH,90138.0,green_retrofit,expanded
ev charging installation,18100,4.98,HIGH,90138.0,green_retrofit,expanded
installing an electric car charging point,18100,4.98,HIGH,90138.0,green_retrofit,expanded
phev charger installation,18100,4.98,HIGH,90138.0,green_retrofit,expanded
settlement agreement solicitor,2900,30.53,MEDIUM,88537.0,employment_hr,seed
compare the market van insurance,9900,8.47,HIGH,83853.0,motor_fleet,expanded
best business electricity rates,880,94.2,MEDIUM,82896.0,business_services,expanded
best business electricity tariffs,880,94.2,MEDIUM,82896.0,business_services,expanded
best electricity prices for business,880,94.2,MEDIUM,82896.0,business_services,expanded
business insurance quote,1600,50.55,HIGH,80880.0,business_services,expanded
commercial business insurance quotes,1600,50.55,HIGH,80880.0,business_services,expanded
insurance for business quote,1600,50.55,HIGH,80880.0,business_services,expanded
quote commercial insurance,1600,50.55,HIGH,80880.0,business_services,expanded
quotes on insurance business,1600,50.55,HIGH,80880.0,business_services,expanded
ip phone systems,1900,38.95,HIGH,74005.0,business_services,expanded
phone voip system,1900,38.95,HIGH,74005.0,business_services,expanded
telephone systems voip,1900,38.95,HIGH,74005.0,business_services,expanded
voice over ip phone system,1900,38.95,HIGH,74005.0,business_services,expanded
voice over ip telephone systems,1900,38.95,HIGH,74005.0,business_services,expanded
voip phone system,1900,38.95,HIGH,74005.0,business_services,expanded
voip telephone systems,1900,38.95,HIGH,74005.0,business_services,expanded
cyber essentials plus,3600,20.54,MEDIUM,73944.0,niche_professional,expanded
cyber essentials certification,2900,24.6,MEDIUM,71340.0,niche_professional,seed
salary sacrifice and cars,12100,5.51,HIGH,66671.0,motor_fleet,expanded
salary sacrifice car,12100,5.51,HIGH,66671.0,motor_fleet,expanded
funeral plans england,2900,22.78,HIGH,66062.0,later_life,expanded
funeral plans in england,2900,22.78,HIGH,66062.0,later_life,expanded
funeral plans uk,2900,22.78,HIGH,66062.0,later_life,seed
business gas and electric comparison,480,133.92,MEDIUM,64281.6,business_services,expanded
compare business gas and electric,480,133.92,MEDIUM,64281.6,business_services,expanded
compare gas and electric business,480,133.92,MEDIUM,64281.6,business_services,expanded
gas and electric comparison business,480,133.92,MEDIUM,64281.6,business_services,expanded
unfair dismissal,9900,5.95,MEDIUM,58905.0,employment_hr,expanded
acas employer advice,1300,43.3,LOW,56290.0,employment_hr,expanded
cheapest energy supplier business,590,92.97,MEDIUM,54852.3,business_services,expanded
cheapest energy supplier for business,590,92.97,MEDIUM,54852.3,business_services,expanded
cheap electricity for business,590,92.73,MEDIUM,54710.7,business_services,expanded
immigration attorney london,2900,18.75,MEDIUM,54375.0,immigration_relocation,expanded
immigration law firms london,2900,18.75,MEDIUM,54375.0,immigration_relocation,expanded
