cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
landlord_commercial_finance,propertytaxpartners (rides authority),pillar,pillar,bridging-loans-guide,bridging loan,18100,147800,1009,loan bridging; bridging a loan; what is a bridging loan; bridging loan uk; bridging loan in uk; uk bridging loan; bridging finance in uk; uk bridging finance; bridging finance uk; bridging finance; bridging loan martin lewis,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",Pillar. Investment/business bridging.
landlord_commercial_finance,propertytaxpartners (rides authority),pillar,pillar,development-finance-guide,development finance,1300,39320,432,housing development finance; housing development finance share price; housing development finance corporation home loan; property development finance in scotland; property development finance; development finance property; housing development finance india; build to rent development finance; development finance lender; development finance brokers; development finance broker,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",Property dev finance (exclude DFI noise).
landlord_commercial_finance,propertytaxpartners (rides authority),pillar,pillar,commercial-mortgages-guide,commercial mortgage,3600,31080,390,interest rates commercial mortgage; commercial mortgage deals; rates for commercial mortgage; commercial mortgage brokers; commercial mortgage broker; commercial mortgage loan broker; commercial mortgage agent; commercial mortgage brokerage; commercial mortgage backed securities; commercial mortgage-backed security; commercial mortgage-backed securities,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",Owner-occupier + investment commercial mortgages.
landlord_commercial_finance,propertytaxpartners (rides authority),calculator,cluster,commercial-mortgage-calculator,commercial mortgage calculator,3600,15210,49,commercial mortgage estimator; commercial mortgage loan calculator; commercial mortgage calculator uk; commercial mortgage uk calculator; uk commercial mortgage calculator; commercial mortgage calculator barclays; barclays commercial mortgage calculator; natwest commercial mortgage calculator; commercial mortgage calculator natwest; commercial mortgage loans calculator; interest-only commercial mortgage calculator,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","3,600/mo. Tool."
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,commercial-mortgage-rates,commercial mortgage rates,1600,15180,100,commercial mortgage loans rates; commercial mortgage interest rates; commercial mortgage lending rates; commercial mortgage loan rate; commercial mortgage rate; commercial mortgage loan rates; uk commercial mortgage rates; commercial mortgage rate uk; commercial mortgage rates uk; best commercial mortgage rates uk; current commercial mortgage rates uk,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",IAR-GATED. Refresh.
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,bridging-loan-rates,bridging loan rates,880,9890,89,bridging loan interest rates; bridging loan interest rate; bridging finance interest rates; bridging finance rate; bridging loan cost; bridging loan costs; how much will a bridging loan cost; how much does bridging loan cost; how much does a bridging loan cost; how much does bridging finance cost; bridging loan rates uk,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",IAR-GATED conversion. Refresh burden — ranges not live table.
landlord_commercial_finance,propertytaxpartners (rides authority),calculator,cluster,bridging-loan-calculator,bridging loan calculator,4400,9070,65,bridging loan calculator uk; bridging loan uk calculator; bridging finance calculator uk; calculate bridging loan; bridging finance calculator; bridging loan calculator martin lewis; bridging loan costs calculator; halifax bridging loan calculator; bridging loan cost calculator; bridging loan calculator natwest; bridging loan repayment calculator,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","4,400/mo KD0. Tool — build now (not a promotion)."
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,bridging-loan-lenders,bridging loan lenders,170,2940,13,bridging loan lenders uk; bridging loan lender; lender bridging finance; bridging finance lender; bridging finance lenders; bridging loan direct lenders; regulated bridging loan lenders; bridging finance lenders uk; bridging finance lenders northern ireland; bridging finance lenders near london; bridging finance principal lenders uk,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",IAR-GATED. Factual lender education.
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,auction-finance,auction finance,480,2050,86,property auction finance; auction property finance; auction finance property; auction finance uk; auction finance calculator; auction finance broker; car auction finance; together auction finance; auction finance loans; auction finance lenders; auction finance bridging loan,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",Fast bridging for auction buys.
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,semi-commercial-mortgages,semi commercial mortgage,480,1290,12,semi-commercial mortgage; semi commercial mortgage rates; semi commercial mortgage calculator; semi commercial mortgage brokers; semi commercial mortgage broker; semi-commercial mortgage broker; semi commercial mortgage lenders; semi commercial mortgage lenders uk; natwest semi commercial mortgage; semi commercial mortgage calculator uk; barclays semi commercial mortgage,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",
