keyword,search_volume,cpc,competition,reg,source
mortgage calculator,450000,1.64,HIGH,?,sitemap_slug
personal loans,49500,9.9,HIGH,?,sitemap_slug
care home,40500,6,LOW,?,sitemap_slug
business loans,27100,66.11,HIGH,?,sitemap_slug
buy now pay later,22200,6.03,HIGH,?,sitemap_slug
quick loans,22200,10.75,HIGH,?,sitemap_slug
bridging loans,18100,19.46,HIGH,?,sitemap_slug
mortgage advisors,14800,18.67,HIGH,?,sitemap_slug
debt management plan,9900,52.13,HIGH,?,sitemap_slug
dentist insurance,9900,3.97,MEDIUM,?,sitemap_slug
buy to let,8100,6.35,MEDIUM,?,sitemap_slug
secured loans,8100,116.47,HIGH,?,sitemap_slug
consolidation loans,6600,28.01,HIGH,?,sitemap_slug
first time buyer,6600,3.24,MEDIUM,?,sitemap_slug
sign up,6600,7.26,LOW,?,sitemap_slug
unsecured loans,6600,14.74,HIGH,?,sitemap_slug
wealth management,6600,22.16,MEDIUM,?,sitemap_slug
financial planning,5400,14.68,MEDIUM,?,sitemap_slug
hire purchase,5400,7.34,HIGH,?,sitemap_slug
home mover,5400,10.49,LOW,?,sitemap_slug
open banking,5400,16.42,LOW,?,sitemap_slug
small business loans,5400,39.82,HIGH,?,sitemap_slug
growth guarantee scheme,4400,21.79,HIGH,?,sitemap_slug
commercial mortgage,3600,21.06,HIGH,?,sitemap_slug
financial services,3600,5.52,LOW,?,sitemap_slug
modern slavery,3600,11.32,LOW,?,sitemap_slug
self employed mortgage,3600,13.34,MEDIUM,?,sitemap_slug
what is a bridging loan,3600,3.79,LOW,?,sitemap_slug
what is a debenture,3600,0.58,LOW,?,sitemap_slug
private ambulances,2900,6.7,LOW,?,sitemap_slug
starting a business,2900,11.58,MEDIUM,?,sitemap_slug
management buyouts,2400,3.04,LOW,?,sitemap_slug
mortgage advice,2400,17.18,MEDIUM,?,sitemap_slug
new business loans,2400,18.93,HIGH,?,sitemap_slug
professional services,2400,10.15,LOW,?,sitemap_slug
asset finance,1900,46.62,MEDIUM,?,sitemap_slug
case studies,1900,9.19,LOW,?,sitemap_slug
engineering and manufacturing,1900,6.64,LOW,?,sitemap_slug
invoice finance,1900,91.41,HIGH,?,sitemap_slug
motorhome finance,1900,7.44,HIGH,?,sitemap_slug
refer a friend,1900,5.96,LOW,?,sitemap_slug
buying land with planning permission,1600,0.64,LOW,?,sitemap_slug
complaints procedure,1600,4.9,LOW,?,sitemap_slug
dental practices for sale,1600,3.12,MEDIUM,?,sitemap_slug
digital and technology,1600,11.5,LOW,?,sitemap_slug
how to get a business loan,1600,14.39,HIGH,?,sitemap_slug
jigsaw finance,1600,2.57,LOW,?,sitemap_slug
request a call back,1600,11.98,MEDIUM,?,sitemap_slug
unsecured business loans,1600,94.22,MEDIUM,?,sitemap_slug
wills probate,1600,7.69,LOW,?,sitemap_slug
get a quote,1300,6.77,HIGH,?,sitemap_slug
prize draw,1300,7.92,MEDIUM,?,sitemap_slug
trade finance,1300,26.54,LOW,?,sitemap_slug
mortgage protection,1000,30.9,HIGH,?,sitemap_slug
revolving credit facility,1000,35.13,MEDIUM,?,sitemap_slug
vehicle finance,1000,18.21,MEDIUM,?,sitemap_slug
classic car finance,880,10.5,HIGH,?,sitemap_slug
classic cars finance,880,10.5,HIGH,?,sitemap_slug
commercial finance,880,38.89,MEDIUM,?,sitemap_slug
contractor mortgages,880,27.88,MEDIUM,?,sitemap_slug
invoice discounting,880,98.82,MEDIUM,?,sitemap_slug
mezzanine finance,880,10.41,LOW,?,sitemap_slug
transport and logistics,880,7.93,LOW,?,sitemap_slug
commercial loans,720,56.81,MEDIUM,?,sitemap_slug
dental accountants,720,14.03,MEDIUM,?,sitemap_slug
dental accounting,720,14.03,MEDIUM,?,sitemap_slug
funding options,720,13.78,MEDIUM,?,sitemap_slug
golf club finance,720,3.46,HIGH,?,sitemap_slug
loans to buy a business,720,27.64,HIGH,?,sitemap_slug
momenta finance,720,24.6,LOW,?,sitemap_slug
mortgage with ccjs,720,24.35,MEDIUM,?,sitemap_slug
pharmacy show,720,1.73,LOW,?,sitemap_slug
pub finance,720,,LOW,?,sitemap_slug
solicitor finance,720,15.14,MEDIUM,?,sitemap_slug
we go together,720,9.26,LOW,?,sitemap_slug
bridging loan broker,590,38.47,MEDIUM,?,sitemap_slug
budget reaction,590,,LOW,?,sitemap_slug
dental marketing,590,15.48,MEDIUM,?,sitemap_slug
finance options,590,9.34,MEDIUM,?,sitemap_slug
make a payment,590,4.08,LOW,?,sitemap_slug
vet insurance,590,22.74,MEDIUM,?,sitemap_slug
what is leveraged finance,590,,LOW,?,sitemap_slug
auction finance,480,15.79,MEDIUM,?,sitemap_slug
electrical equipment,480,2.4,HIGH,?,sitemap_slug
medical malpractice insurance,480,9.65,MEDIUM,?,sitemap_slug
mortgage bridge loan,480,18.23,MEDIUM,?,sitemap_slug
mortgages with defaults,480,26.8,LOW,?,sitemap_slug
