id,name,category,verdict,pages,host,intents,long_questions,vol_total,vol_hire,cpc_head,openness,own_pages,rival_pages,rival_domains,status,flag
135,Nannies and household staff,professional,PAGE,1,generalist,1,0,1900,0,3.48,0.06,0,2,2,new,
163,Farmers,rural,ABSORB,0,generalist,2,0,950,0,,0.28,3,70,10,mapped,
64,Dentists,health,ABSORB,0,Dentists,2,0,730,720,24.41,0.06,93,25,11,live,
125,Cinemas and theatres,leisure,ABSORB,0,generalist,4,0,460,60,,0.17,1,24,7,new,
19,Restaurants,food,ABSORB,0,generalist,3,0,460,350,25,0.16,5,92,12,live,
134,Hotels and guesthouses,leisure,ABSORB,0,generalist,4,0,390,200,,0.39,5,32,10,live,
20,Takeaways,food,ABSORB,0,hospitality,2,0,330,0,,0.22,1,71,11,live,
63,Pharmacies,health,ABSORB,0,pharmacies,3,0,320,300,10.29,0.0,17,42,9,live,
79,Bricklayers,trades,PAGE,1,construction-cis,1,0,320,0,3.32,0.16,0,7,7,new,
101,Air conditioning and refrigeration,energy,PAGE,1,generalist,1,0,320,0,11.01,0.42,0,6,4,new,
123,Bowling and amusement venues,leisure,PAGE,1,generalist,1,0,320,0,,0.44,0,0,0,caution,regulatory review required first
21,Pubs and bars,food,ABSORB,0,generalist,2,0,310,140,,0.05,4,18,8,live,
25,Sub postmasters,services,PAGE,1,generalist,2,0,180,10,,0.39,0,13,5,new,
28,Tailors and alterations,services,PAGE,1,generalist,2,0,180,0,,0.39,0,3,1,new,
41,Vape shops,retail,PAGE,1,generalist,2,0,180,0,,0.5,0,1,1,new,
153,Marketing and recruitment agencies,professional,ABSORB,0,digital-agency,2,0,180,180,24.2,0.28,6,7,4,live,
39,Online resellers and Vinted sellers,retail,PAGE,1,generalist,1,0,170,0,1.21,0.12,0,0,0,new,
69,Spas and treatment rooms,beauty,PAGE,1,generalist,1,0,140,0,,0.26,0,10,6,new,
6,Ice cream vans and parlours,food,PAGE,1,generalist,1,0,110,0,,0.53,0,1,1,new,
51,Independent retail shops,retail,ABSORB,0,generalist,1,0,110,0,3.44,0.33,1,5,2,live,
95,Builders plumbers electricians decorators landscapers,trades,ABSORB,0,construction-cis,2,0,100,70,32.58,0.32,3,37,10,live,
100,Insulation contractors,energy,PAGE,1,generalist,1,0,90,0,,0.17,0,2,2,new,
3,Fish and chip shops,food,PAGE,1,generalist,1,0,70,0,,0.33,0,2,1,new,
5,Sandwich shops,food,PAGE,1,generalist,1,0,70,0,,0.44,0,1,1,new,
116,Driving instructors,motor,ABSORB,0,generalist,2,0,60,50,11.53,0.11,1,6,6,live,
115,Hauliers and HGV drivers,motor,PAGE,1,generalist,1,0,50,0,,0.28,0,6,4,live,
114,Taxi and private hire,motor,ABSORB,0,generalist,2,0,40,0,,0.06,2,12,7,live,
132,DJs entertainers and mobile bars,leisure,PAGE,1,generalist,2,0,40,20,,0.29,0,4,3,new,
11,Micro breweries and taprooms,food,PAGE,1,generalist,3,0,30,20,,0.5,0,8,5,new,
