id	vocab
1	butcher|butchery|meat|abattoir|charcuterie
2	baker|bakery|bread|pastry|patisserie|cake shop
3	fish and chip|chip shop|chippy|fried fish
4	cafe|coffee shop|coffee house|espresso|barista|tea room
5	sandwich|deli counter|baguette|sub shop
6	ice cream|gelato|soft serve|ice lolly|sorbet
7	delicatessen|deli|farm shop|fine food|cheese shop
8	greengrocer|fruit and veg|vegetable shop|produce shop
9	fishmonger|wet fish|seafood shop|shellfish
10	off licence|offie|wine merchant|bottle shop|liquor|alcohol shop
11	brewery|brewer|brewing|taproom|craft beer|microbrewery
12	distillery|distiller|gin|spirits|whisky|rum
13	vineyard|winery|wine making|cider|cidery|orchard
14	street food|food truck|food trailer|mobile catering|market food
15	cake maker|cake business|home baker|celebration cake|cupcake
16	chocolatier|chocolate|confectioner|confectionery|sweet shop|fudge
17	health food|supplement|vitamin shop|wholefood|nutrition shop
18	convenience store|corner shop|c-store|mini market|grocery store
19	restaurant|dining|bistro|eatery|brasserie
20	takeaway|take away|fast food|hot food|delivery food
21	pub|public house|bar|inn|tavern|licensed premises
22	launderette|laundrette|laundromat|laundry|washing machine|coin operated
23	dry cleaner|dry cleaning|dry clean|garment care|solvent
24	newsagent|newspaper|magazine|paper shop|paperboy|paper round
25	post office|postmaster|postmistress|postal|sub post office|counter clerk
26	print shop|printer|printing|copy shop|leaflet|flyer|litho|reprographic
27	sign maker|signage|signwriter|sign writing|shop sign|fascia sign
28	tailor|tailoring|alteration|dressmaker|seamstress|garment|clothing repair
29	shoe repair|cobbler|key cutting|heel bar|locksmith shop
30	locksmith|lock fitting|lock change|key cutting|door lock
31	picture framer|picture framing|bespoke frame|framing shop
32	phone repair|computer repair|screen repair|device repair|it repair
33	funeral director|funeral|undertaker|funeral home|funeral service|burial|cremation
34	monumental mason|headstone|gravestone|memorial|grave marker
35	cleaning company|cleaner|commercial cleaning|contract cleaning|office cleaning
36	charity shop|charity retail|donated goods|gift aid|thrift shop
37	antique dealer|antiques|antique shop|collectable|vintage dealer
38	auction house|auctioneer|auction|saleroom|lot fee|hammer price
39	online reseller|vinted|depop|ebay seller|reselling|flipping|marketplace seller
40	market trader|market stall|market pitch|street market|car boot
41	vape shop|vaping|e cigarette|e liquid|vape|nicotine
42	bookshop|book shop|bookseller|books|bookstore
43	bike shop|bicycle|cycle shop|cycling|cycle to work
44	florist|floristry|flower shop|flowers|bouquet|interflora
45	garden centre|nursery plants|plants|horticulture retail|seeds
46	pet shop|pet food|pet supplies|aquatics|pet store
47	furniture shop|furniture|flooring|carpet|upholstery|soft furnishing
48	kitchen showroom|bathroom showroom|fitted kitchen|fitted bathroom|kitchen design
49	gift shop|toy shop|card shop|greeting card|souvenir|homeware
50	jeweller|jewellery|jewelry|goldsmith|watchmaker|gold buying
51	retail shop|shop|shopkeeper|store|high street|retailer|epos|till
52	aesthetics clinic|aesthetic|botox|dermal filler|cosmetic treatment|skin clinic|medispa
53	osteopath|osteopathy|manual therapy
54	chiropractor|chiropractic|spinal adjustment
55	physiotherapist|physiotherapy|physio|sports rehab
56	podiatrist|podiatry|chiropodist|chiropody|foot care|orthotic
57	acupuncturist|acupuncture|herbalist|herbal medicine|chinese medicine
58	massage therapist|massage|holistic therapy|reflexology|aromatherapy|sports massage
59	counsellor|counselling|psychotherapist|psychotherapy|therapy practice|talking therapy
60	audiologist|audiology|hearing aid|hearing test|hearing care
61	private gp|private doctor|walk in clinic|private clinic|gp practice
62	optician|optometrist|opticians|eye test|spectacles|dispensing optician
63	pharmacy|pharmacist|chemist|dispensing|prescription
64	dentist|dental|dental practice|orthodontic|hygienist
65	veterinary|vet practice|vets|animal practice|veterinarian
66	tattoo|tattooist|tattoo artist|body piercing|piercing studio
67	nail salon|nail bar|nail technician|manicure|pedicure|acrylic nails
68	tanning salon|sunbed|spray tan|tanning shop
69	spa|day spa|treatment room|wellness centre|beauty spa
70	mobile hairdresser|mobile hairdressing|mobile stylist|home hairdressing
